,SUPT4H1 (6827)
ACH-000004,-0.5119209875421188
ACH-000005,-0.6540559198978779
ACH-000007,-0.7640677426415351
ACH-000009,-0.3365231296780292
ACH-000011,-0.4668401651650337
ACH-000012,-0.5194596756587292
ACH-000013,-0.4066567203581588
ACH-000014,-0.4243053035261945
ACH-000015,-0.4602693818294563
ACH-000017,-0.4796804827339422
ACH-000018,-0.21353879731460065
ACH-000019,-0.3772417749646968
ACH-000021,-0.3031654755261462
ACH-000022,-0.4620333781145935
ACH-000025,-0.4652993059889903
ACH-000028,-0.3824318313898317
ACH-000030,-0.3993363608680353
ACH-000035,-0.4198617374440715
ACH-000036,-0.3193969894342977
ACH-000037,-0.3007779171857371
ACH-000039,-0.40460155522153546
ACH-000040,-0.6301697726093691
ACH-000041,-0.4863336326696844
ACH-000042,-0.2862723171462436
ACH-000045,-0.4521622610991337
ACH-000047,-0.3101574834066572
ACH-000052,-0.5710260880561427
ACH-000053,-0.5879338831134902
ACH-000054,-0.5146745115072371
ACH-000055,-0.5602283523560098
ACH-000060,-0.5305018585578689
ACH-000067,-0.4126532139171004
ACH-000070,-0.6280965474111174
ACH-000075,-0.2790558146497289
ACH-000078,-0.009082879027768038
ACH-000082,-0.3693099023995974
ACH-000085,-0.64800579153156
ACH-000086,-0.3874433843739173
ACH-000087,-0.270068288880324
ACH-000092,-0.6467488894450949
ACH-000095,-0.2067824006664424
ACH-000097,-0.1939251930204184
ACH-000098,-0.5094306587156291
ACH-000099,-0.2718659089888529
ACH-000108,-0.4519145300066191
ACH-000113,-0.3933678509181153
ACH-000116,-0.4675540050481442
ACH-000118,-0.43647016839193226
ACH-000120,-0.33535059542703444
ACH-000123,-0.5073299880493731
ACH-000127,-0.2672967671955175
ACH-000128,-0.6319090756631932
ACH-000132,-0.436803556344473
ACH-000133,-0.4394845951096256
ACH-000137,-0.5181306068242425
ACH-000138,-0.3804726683378297
ACH-000142,-0.3274683583196913
ACH-000143,-0.4745436203843633
ACH-000146,-0.5759606756417156
ACH-000148,-0.5479485460097355
ACH-000150,-0.4169314141826779
ACH-000152,-0.5233627357034595
ACH-000153,-0.7391809234883358
ACH-000159,-0.5008108082391378
ACH-000160,-0.19719083323010825
ACH-000163,-0.3602424145709969
ACH-000167,0.19833786765043288
ACH-000168,-0.5773511238089835
ACH-000169,-0.2122033310735041
ACH-000178,-0.5610351883520307
ACH-000183,-0.4864249567740828
ACH-000188,-0.6114918406603782
ACH-000189,-0.3954020445811297
ACH-000190,-0.07522918595978949
ACH-000198,-0.6715974277665671
ACH-000203,-0.9608500064239384
ACH-000204,-0.5597875079143515
ACH-000206,-0.3978985231884127
ACH-000207,-0.4883024276055312
ACH-000208,-0.51986137886936
ACH-000210,-0.2967403418296953
