,CTPS1 (1503)
ACH-000004,-0.9587259067220444
ACH-000005,-0.8598033028695958
ACH-000007,-0.8308067219933442
ACH-000009,-0.4962596293233679
ACH-000011,-0.9547896481170404
ACH-000012,-0.8286215046815789
ACH-000013,-0.23188275472855385
ACH-000014,-0.5284385054595682
ACH-000015,-0.5980886013276641
ACH-000017,-1.1075841147840124
ACH-000018,-0.5961932139371141
ACH-000019,-0.5871907973154132
ACH-000021,-0.623694408110974
ACH-000022,-0.770234712127697
ACH-000025,-0.8728642425330649
ACH-000028,0.009434834937836973
ACH-000030,-0.9635179552100512
ACH-000035,-0.5987263407937062
ACH-000036,-0.3978457060782195
ACH-000037,-0.4548738875438258
ACH-000039,-0.2931025050456986
ACH-000040,-0.5321625452736025
ACH-000041,-0.4552783642539829
ACH-000042,-1.1623656790494024
ACH-000045,-0.7437164489840213
ACH-000047,-0.488019038859223
ACH-000052,-0.5230968014482221
ACH-000053,-0.7899575474647125
ACH-000054,-0.9642938219806864
ACH-000055,-0.5100035305375676
ACH-000060,-0.5998849736267461
ACH-000067,-0.3984881067079781
ACH-000070,-0.8858779532820215
ACH-000075,-0.38528325130363694
ACH-000078,-0.2809413271530874
ACH-000082,-0.35898927391595026
ACH-000085,-0.562628084775244
ACH-000086,-0.4371854900441721
ACH-000087,-0.5153540331200952
ACH-000092,-0.6265134644189151
ACH-000095,-0.5386206819460129
ACH-000097,-0.2045413232004949
ACH-000098,-0.40436594956920907
ACH-000099,-0.8695845741449078
ACH-000108,-0.7401494045233761
ACH-000113,-0.5954100194517978
ACH-000116,-0.36738751295873256
ACH-000118,-0.6260425411888069
ACH-000120,-0.12761862224467618
ACH-000123,-0.3371668105984573
ACH-000127,-0.5619666638099275
ACH-000128,-0.2898656531339168
ACH-000132,-0.4532230382035418
ACH-000133,-0.4054527626677277
ACH-000137,-0.5507382526959761
ACH-000138,-0.6382747625080821
ACH-000142,-0.9873313652934818
ACH-000143,-0.6036525486008953
ACH-000146,-0.6476114488824575
ACH-000148,-0.4062692928953157
ACH-000150,-0.2758814087266511
ACH-000152,-0.6186392710455925
ACH-000153,-0.5990620669521347
ACH-000159,-0.4843900168901321
ACH-000160,-0.6349124446659804
ACH-000163,-0.38650456842028896
ACH-000167,-0.8198980300696125
ACH-000168,-0.5535464191059741
ACH-000169,-0.4605295354460275
ACH-000178,-0.4168677593988856
ACH-000183,-0.7761874008749967
ACH-000188,-0.9011581983509694
ACH-000189,-0.6487588990741534
ACH-000190,-0.4692413200222889
ACH-000198,-0.7885720847759069
ACH-000203,-0.802856098116341
ACH-000204,-0.6042560881672304
ACH-000206,-0.9072354343432668
ACH-000207,-1.0944553230181795
ACH-000208,-0.6735505555497877
ACH-000210,-0.4638225639019654
ACH-000211,-0.22200490230115705
ACH-000215,-0.2591224116216183
ACH-000221,-0.31878205839627466
ACH-000222,-0.9556399700172694
ACH-000223,-0.7895990815532998
ACH-000226,-0.7273465399759951
ACH-000227,-0.5803451141041832
ACH-000228,-0.7055457669986005
ACH-000231,-0.3426253303748376
ACH-000232,-0.09808378702412056
ACH-000233,-1.0023289246370448
ACH-000234,-0.6798703309761319
ACH-000235,-1.0450719032480749
ACH-000237,-0.4693470041589535
ACH-000238,-0.6515667559215776
ACH-000242,-0.5148681363241477
ACH-000243,-0.2738063608008988
ACH-000244,-0.4540111589301557
ACH-000246,-0.1910541186913544
ACH-000248,-0.8097245653091936
ACH-000250,-0.8386251802223456
ACH-000251,-0.5565495128148932
ACH-000252,-0.9131436271127036
ACH-000253,-0.7899384163882953
ACH-000255,-0.40824405159910304
ACH-000256,-0.34463004205376857
ACH-000257,-0.6887490597922616
ACH-000258,-0.7385147570739226
ACH-000259,-0.5083986540287476
ACH-000260,-0.12595985667394585
ACH-000261,-0.42747738562621507
ACH-000262,-0.3507142177080565
ACH-000263,-0.7811773788319167
ACH-000264,-0.2236254784883241
ACH-000265,-0.5007695936501934
ACH-000266,-0.7543781002628376
ACH-000272,-0.6463755726560777
ACH-000274,-0.5627736089339943
ACH-000277,-0.5240470608385785
ACH-000278,-0.7450391161841862
ACH-000279,-0.5996840884872623
ACH-000280,-0.5323015397501877
ACH-000281,-0.5981643083656756
ACH-000288,-0.3930095390588805
ACH-000291,-0.16385131487831348
ACH-000293,-0.5839789016921939
ACH-000294,-1.184397773275327
ACH-000295,-1.016113204778284
ACH-000296,-0.7415982676402246
ACH-000302,-0.3254502427404896
ACH-000304,-0.4760752040624944
ACH-000307,-0.9665681991291732
ACH-000308,-0.3402143991606072
ACH-000310,-0.2713417467207159
ACH-000311,-0.6916912633249824
ACH-000312,-0.4069981679436489
ACH-000315,-0.8432807629739727
ACH-000316,-0.48321569890516297
ACH-000317,-0.9584791024476784
ACH-000318,-0.866458827114304
ACH-000319,-0.4856017662026914
ACH-000320,-0.6869565772075334
ACH-000322,-0.9922264513803528
ACH-000323,-0.5318326940983125
ACH-000324,-0.3242759890605312
ACH-000329,-0.4599979678388946
ACH-000330,-0.6255947957638807
ACH-000331,-0.10496587024272824
ACH-000332,-0.20735628118399632
ACH-000334,-0.781229944885923
ACH-000335,-0.9168409034019296
ACH-000336,-0.7110841655452601
ACH-000337,-0.8596231194416891
ACH-000338,-0.6479623610044741
ACH-000339,-0.8784244440037156
ACH-000341,-0.7586472287376612
ACH-000348,-0.7309119799042461
ACH-000350,-0.2823900719927702
ACH-000352,-0.2717026669296563
ACH-000356,-0.6309330935638022
ACH-000361,-0.6889732933024998
ACH-000362,-0.8578449396828133
ACH-000363,-0.8833726004619691
ACH-000364,-0.40734490189250105
ACH-000365,-0.313031783143595
ACH-000366,-0.4624266222383359
ACH-000368,-0.5313063156420784
ACH-000374,-0.8050279352986488
ACH-000375,-0.5225931232251473
ACH-000376,-0.4340745337327879
ACH-000381,-1.1150660884761738
ACH-000383,-1.160396693960149
ACH-000387,-1.095956511360214
ACH-000389,-0.2395084973626848
ACH-000390,-0.9841899454995192
ACH-000393,-0.5213599593244116
ACH-000395,-0.7260208525020342
ACH-000396,-0.7228385664174342
ACH-000397,-0.6959348224940152
ACH-000401,-0.8110974880020934
ACH-000402,-0.6386501904996845
ACH-000403,-0.6824354864985673
ACH-000404,-0.5909616279917713
ACH-000406,-1.4223960126683963
ACH-000407,-0.4094770641465612
ACH-000408,-0.6064963542909846
ACH-000410,-0.4022597439187261
ACH-000411,-0.5538403539456818
ACH-000414,-0.5675461368263154
ACH-000415,-0.6369937696469639
ACH-000416,-1.052266909156038
ACH-000420,-0.27622224491906794
ACH-000421,-0.7078000073591062
ACH-000424,-0.5305618852962902
ACH-000425,-0.5671957059210658
ACH-000426,-0.6158072134509068
ACH-000427,-0.6776259468744711
ACH-000433,-0.3103724771482723
ACH-000435,-0.8124261452951606
ACH-000436,-0.6644538457039791
ACH-000444,-0.8574747201598815
ACH-000445,-0.8553540708829405
ACH-000448,-0.7632521897223075
ACH-000450,-0.5216454737979178
ACH-000452,-0.9827732088543446
ACH-000454,-0.820912030927593
ACH-000458,-0.4306824977781557
ACH-000459,-0.8595751524793803
ACH-000460,-0.5832344128926827
ACH-000461,-1.1631749170760102
ACH-000463,-0.1921268196058235
ACH-000464,-0.6783695880741225
ACH-000466,-0.5966925095380944
ACH-000467,-0.8359158127797408
ACH-000468,-0.496321096617601
ACH-000469,-0.2039016870720621
ACH-000470,-0.28265147014483644
ACH-000471,-0.43097166162414935
ACH-000472,-0.3056319737419392
ACH-000473,-0.3383924739072856
ACH-000475,-0.4339262509482299
ACH-000476,-0.1896258608374348
ACH-000477,-0.6457028244723971
ACH-000479,-0.4730890646512228
ACH-000480,-0.40668608126834543
ACH-000481,-0.4327271141557952
ACH-000483,-0.7226993485276442
ACH-000484,-0.5358959053218912
ACH-000485,-0.9132927306422592
ACH-000486,-0.6888951981869642
ACH-000487,-0.6207443961965476
ACH-000488,-0.4722734229669656
ACH-000490,-0.34368618791684824
ACH-000491,-0.3494850513893028
ACH-000495,-0.4392535074351976
ACH-000496,-0.776240184271429
ACH-000499,-0.5017728788374161
ACH-000500,-0.8020969894640584
ACH-000502,-1.1201490995666048
ACH-000503,-0.6938250061771637
ACH-000505,-0.384137972332104
ACH-000507,-0.7679043767738051
ACH-000510,-0.8632332310264846
ACH-000511,-0.4241896672701081
ACH-000512,-1.0728016335938886
ACH-000516,-0.35204812612812364
ACH-000517,-0.4077158161279549
ACH-000518,-0.28977611140238857
ACH-000520,-0.3666906109839425
ACH-000521,-0.6347483198033849
ACH-000522,-0.7907965955076144
ACH-000524,-0.2981286936437615
ACH-000527,-0.27494365012096444
ACH-000528,-0.2651864362522906
ACH-000537,-0.5368374054947778
ACH-000541,-0.4959753919044891
ACH-000542,-0.9600507345937928
ACH-000544,-0.7173453989200009
ACH-000545,-0.5298343115888753
ACH-000547,-0.32236012298504946
ACH-000548,-0.5389154333503628
ACH-000549,-0.52604026904236
ACH-000550,-0.7560780921760675
ACH-000552,-0.6797756219535797
ACH-000556,-0.7627762684628868
ACH-000557,-0.8051797044494601
ACH-000569,-0.09940838189477824
ACH-000570,-0.3318151822521219
ACH-000571,-0.4065685842114423
ACH-000573,-0.8543940224817154
ACH-000576,-0.8696023694516634
ACH-000579,-0.3867609955822393
ACH-000580,-0.7894256685906758
ACH-000584,-0.4482386896074956
ACH-000585,-0.8626436311995329
ACH-000588,-0.9544157763023214
ACH-000589,-0.5233225574870445
ACH-000591,-0.5451776672411704
ACH-000593,-0.6169124464273092
ACH-000600,-0.44248261826921453
ACH-000601,-0.7110211566835165
ACH-000605,-0.652903494447022
ACH-000606,-0.3790842031542495
ACH-000608,-0.8305948167019905
ACH-000614,-0.97301759218707
ACH-000616,-0.9798935903119272
ACH-000618,-0.7988726187860755
ACH-000619,-0.6770775789004607
ACH-000620,-1.0295513037305724
ACH-000621,-0.5937911452961196
ACH-000622,-0.7127759765108174
ACH-000623,-0.4907931630269757
ACH-000624,-1.2377001519139574
ACH-000627,-0.8756175255880168
ACH-000630,-0.4747369989911837
ACH-000631,-0.671423474563815
ACH-000632,-0.5153036440002308
ACH-000633,-0.4422278594996341
ACH-000637,-0.3878403986198313
ACH-000638,-0.828052298177318
ACH-000646,-0.4473213614150768
ACH-000647,-0.8840502488063807
ACH-000648,-0.6824603477703849
ACH-000649,-0.5144824747376809
ACH-000651,-0.7756921597040319
ACH-000652,-0.8664155757247797
ACH-000653,-1.0387058181307045
ACH-000657,-0.1227682942846359
ACH-000658,-0.6900506799159549
ACH-000661,-0.6070070547137533
ACH-000662,-0.6765281305798392
ACH-000663,-0.6355194744590535
ACH-000665,-0.6474227717676424
ACH-000671,-0.3553045563143791
ACH-000672,-0.8549114645682896
ACH-000673,-0.2737392440480039
ACH-000676,-0.9445155512715856
ACH-000677,-0.6554575915610525
ACH-000681,-0.3769389835869804
ACH-000683,-0.6829252886509524
ACH-000684,-0.3897609441998312
ACH-000688,-0.5864747654572436
ACH-000693,-0.7169647312267329
ACH-000694,-0.5527022402812232
ACH-000695,-0.4623150466185689
ACH-000696,-0.7850578048848609
