,DCTN2 (10540)
ACH-000004,-0.5638799382487613
ACH-000005,-0.7318787786491026
ACH-000007,-0.6760374900769534
ACH-000009,-0.847781666388669
ACH-000011,-0.7531392104290809
ACH-000012,-0.917898879559404
ACH-000013,-0.8532288698770311
ACH-000014,-0.7383855944883669
ACH-000015,-0.5997636277359261
ACH-000017,-0.490090173371629
ACH-000018,-0.5965015155816109
ACH-000019,-0.448874388535546
ACH-000021,-0.5697119701619648
ACH-000022,-0.8340030607534172
ACH-000025,-0.8489758010422674
ACH-000028,-0.4862041671396684
ACH-000030,-0.8672495648586417
ACH-000035,-0.3629489705113133
ACH-000036,-0.7341518440431041
ACH-000037,-0.8800619420628416
ACH-000039,-0.5667918019528141
ACH-000040,-0.8406751066986338
ACH-000041,-0.5278101701497907
ACH-000042,-0.8782863991413722
ACH-000045,-0.599510591397718
ACH-000047,-0.5405849678963361
ACH-000052,-0.7624001162280227
ACH-000053,-0.6306972243460032
ACH-000054,-0.7412635882533625
ACH-000055,-0.29739386181909605
ACH-000060,-0.6656594838862624
ACH-000067,-1.0063472633580228
ACH-000070,-0.8357481197316253
ACH-000075,-1.0637609329218602
ACH-000078,-0.6798481741523927
ACH-000082,-0.8776369688522382
ACH-000085,-0.6542308429980748
ACH-000086,-0.7532498225698294
ACH-000087,-0.4124634079439968
ACH-000092,-0.8924196264287408
ACH-000095,-0.6442509561198975
ACH-000097,-0.8297350619109892
ACH-000098,-0.7791433375534257
ACH-000099,-0.6900405078661219
ACH-000108,-0.6407569651638685
ACH-000113,-0.7491265757297267
ACH-000116,-0.7073108873364513
ACH-000118,-0.778488768075428
ACH-000120,-0.6719722677489179
ACH-000123,-0.6606382259874672
ACH-000127,-0.5986307859843946
ACH-000128,-0.8027860589998423
ACH-000132,-0.5164072948901653
ACH-000133,-0.6746543012800521
ACH-000137,-0.8425655355839499
ACH-000138,-0.5572203850792887
ACH-000142,-0.7632384402767689
ACH-000143,-0.6789229333434765
ACH-000146,-0.5938986775350141
ACH-000148,-0.8397077189323254
ACH-000150,-0.7768796473528536
ACH-000152,-0.8950636906381664
ACH-000153,-0.6740264089169352
ACH-000159,-0.4369229203052361
ACH-000160,-1.0345693125904205
ACH-000163,-0.6238320869194438
ACH-000167,-1.0360864739852476
ACH-000168,-0.5342143303597362
ACH-000169,-0.6649689813800068
ACH-000178,-0.8097102641405804
ACH-000183,-0.3830308132736153
ACH-000188,-0.6283404209859443
ACH-000189,-0.6615196362299266
ACH-000190,-0.8309842577623541
ACH-000198,-0.5294514147936275
ACH-000203,-0.6690261005708582
ACH-000204,-0.601262120610321
ACH-000206,-0.2878960684983464
ACH-000207,-0.5166374410304486
ACH-000208,-0.6786133014711715
ACH-000210,-0.5564370641267697
ACH-000211,-0.6734708529011606
ACH-000215,-0.7389686338492018
ACH-000221,-0.7409941964811042
ACH-000222,-0.5737852000366782
ACH-000223,-0.6728520517405349
ACH-000226,-0.5853884385744469
ACH-000227,-0.6404619452103589
ACH-000228,-1.017665191280228
ACH-000231,-0.8364203884573381
ACH-000232,-0.7166552344634048
ACH-000233,-0.6326348218806199
ACH-000234,-0.6063232524682274
ACH-000235,-0.6123139738164001
ACH-000237,-0.7819702105786647
ACH-000238,-0.6530296815462759
ACH-000242,-0.7283674966900385
ACH-000243,-0.6247455436408591
ACH-000244,-0.9445956468349742
ACH-000246,-0.6832019339715512
ACH-000248,-0.7185243464604328
ACH-000250,-0.7541547422245062
ACH-000251,-0.6062465140280437
ACH-000252,-0.7614836538224259
ACH-000253,-0.7510749195366676
ACH-000255,-0.72059493582691
ACH-000256,-0.5180538443315338
ACH-000257,-0.6680306919429476
ACH-000258,-0.4112104723638898
ACH-000259,-0.5699039779603723
ACH-000260,-0.7489797238045954
ACH-000261,-0.9433605890000716
ACH-000262,-0.7758757695661352
ACH-000263,-0.5831578213483501
ACH-000264,-0.9263267293268064
ACH-000265,-0.7880847856595111
ACH-000266,-0.7491326785520704
ACH-000272,-0.6896396030797847
ACH-000274,-0.6814256460389544
ACH-000277,-0.5915287777829206
ACH-000278,-0.6348291799306046
ACH-000279,-0.5149094733386083
ACH-000280,-0.6773088763013035
ACH-000281,-0.7831480870351832
ACH-000288,-0.8482727384453188
ACH-000291,-0.8248919734193281
