,PELO (53918)
ACH-000004,-1.0678237999738402
ACH-000005,-1.1682980380121823
ACH-000007,-0.8981514689237804
ACH-000009,-0.6306520366392011
ACH-000011,-0.76023994044065
ACH-000012,-1.1196703494947502
ACH-000013,-0.6405646141911935
ACH-000014,-0.6778892138448881
ACH-000015,-1.2681372837632894
ACH-000017,-0.653860467423765
ACH-000018,-1.1612021361218532
ACH-000019,-0.5833351227854299
ACH-000021,-0.7022917586125403
ACH-000022,-0.7815366247415013
ACH-000025,-1.0989404193726298
ACH-000028,-0.6995851391829288
ACH-000030,-0.9879416103272836
ACH-000035,-1.140895600393792
ACH-000036,-0.6258878574726999
ACH-000037,-0.7470645866431482
ACH-000039,-0.7725095254681708
ACH-000040,-1.289093138393053
ACH-000041,-1.072831729089738
ACH-000042,-0.4096858697802821
ACH-000045,-0.4970494244372581
ACH-000047,-0.4940157884651751
ACH-000052,-1.1795280455286703
ACH-000053,-0.9995049573548982
ACH-000054,-0.5837616315660513
ACH-000055,-0.664227723904218
ACH-000060,-0.4681503166461555
ACH-000067,-0.9752801035797416
ACH-000070,-0.8165946842260248
ACH-000075,-1.1625782260857085
ACH-000078,-0.7813834681132932
ACH-000082,-0.5890283319569056
ACH-000085,-0.7583013320778246
ACH-000086,-0.8993664217405991
ACH-000087,-1.0372847901907372
ACH-000092,-0.8612413351652035
ACH-000095,-0.6270058280282316
ACH-000097,-0.7200272115717093
ACH-000098,-0.7131888655135736
ACH-000099,-0.5196864123283349
ACH-000108,-1.0102101668986507
ACH-000113,-0.8965148933713841
ACH-000116,-1.1320146353863985
ACH-000118,-0.9545303372730171
ACH-000120,-0.7298837952125037
ACH-000123,-0.7424853342422642
ACH-000127,-0.8500754624047034
ACH-000128,-1.0828574983375934
ACH-000132,-1.2149092609321412
ACH-000133,-0.7412096415733387
ACH-000137,-0.9262884741967344
ACH-000138,-0.7384751143802327
ACH-000142,-0.81847249955505
ACH-000143,-0.9914119337774222
ACH-000146,-0.6357110891699732
ACH-000148,-0.8696241550978533
ACH-000150,-0.9222311139188109
ACH-000152,-0.7339421908267415
ACH-000153,-0.9084966066597135
ACH-000159,-0.7889880150484909
ACH-000160,-1.0801872852286751
ACH-000163,-1.1157881150421989
ACH-000167,-1.5276800006798676
ACH-000168,-1.1057217508719008
ACH-000169,-0.9368018417450692
ACH-000178,-0.9963100749075776
ACH-000183,-0.4863099968869738
ACH-000188,-1.0505886948418124
ACH-000189,-1.1109144162419409
ACH-000190,-0.8486754397359636
ACH-000198,-0.7374568858457433
ACH-000203,-0.5841579340872288
ACH-000204,-0.5620744203482773
ACH-000206,-1.2623415731799668
ACH-000207,-0.8513696938261939
ACH-000208,-0.923934497677252
ACH-000210,-0.8205507242383989
ACH-000211,-1.1932255926274349
ACH-000215,-1.086659486459201
ACH-000221,-1.1041733388285158
ACH-000222,-0.8262994396395905
ACH-000223,-0.711146973437952
ACH-000226,-0.8669023229098594
ACH-000227,-0.5111663203181757
ACH-000228,-0.7892924775384612
ACH-000231,-0.5718911171148676
ACH-000232,-0.5929945528175266
ACH-000233,-0.8927516613667794
ACH-000234,-0.7590336324265696
ACH-000235,-0.8618278932801695
ACH-000237,-0.9359454046891644
ACH-000238,-1.0771784304433631
ACH-000242,-1.038392992856201
ACH-000243,-1.0745709323574577
ACH-000244,-1.140448744926149
ACH-000246,-0.6666934582486395
ACH-000248,-0.8402496313341475
ACH-000250,-0.5081717610020653
ACH-000251,-0.8276649286698734
ACH-000252,-0.9501444894046296
ACH-000253,-1.1268463042355998
ACH-000255,-1.0099722154288853
ACH-000256,-0.9838600159730568
ACH-000257,-0.9070558019025332
ACH-000258,-0.6209660949343301
ACH-000259,-0.9066832206101596
ACH-000260,-0.9103903808144408
ACH-000261,-0.8908277429676128
ACH-000262,-0.9522529336576246
ACH-000263,-0.6006884992730261
ACH-000264,-1.150709463413862
ACH-000265,-0.7680718906857316
ACH-000266,-0.5624815934407115
ACH-000272,-0.8547231403717007
ACH-000274,-0.3843237828537779
ACH-000277,-0.3201293262554429
ACH-000278,-1.1536421963289816
ACH-000279,-1.1204007152839697
ACH-000280,-0.6962459437897599
ACH-000281,-0.700150292093277
ACH-000288,-0.7703334161568829
ACH-000291,-0.7801723854072882
ACH-000293,-0.8369947128483854
ACH-000294,-0.6901830994468762
ACH-000295,-0.5463828144049313
ACH-000296,-0.7640956228944469
ACH-000302,-0.5157510978024513
ACH-000304,-0.5986664730992733
ACH-000307,-1.0270075732991009
ACH-000308,-0.5849721851274701
ACH-000310,-0.4403155477341744
ACH-000311,-0.4618262616492568
ACH-000312,-0.5218531899854447
ACH-000315,-0.7128154171177226
ACH-000316,-0.7987881471470831
ACH-000317,-1.1248380515843464
