,PPP1R3E (90673)
ACH-000004,-0.13986481735017647
ACH-000005,-0.3350785768593479
ACH-000007,-0.2631019544619483
ACH-000009,-0.2469955831155293
ACH-000011,-0.3432242481386927
ACH-000012,-0.2045947624727535
ACH-000013,-0.1201872122723823
ACH-000014,-0.28009359743456314
ACH-000015,-0.05608535494972043
ACH-000017,-0.2317206647036412
ACH-000018,-0.21063171705771666
ACH-000019,-0.4821119871108159
ACH-000021,-0.25341994930077105
ACH-000022,-0.12877292048150918
ACH-000025,-0.23235592201766264
ACH-000028,-0.21348433280403464
ACH-000030,-0.3360960538863739
ACH-000035,-0.1599416261289539
ACH-000036,-0.2328521959794536
ACH-000037,-0.2361702485038761
ACH-000039,-0.4400500072215299
ACH-000040,-0.3016193868051204
ACH-000041,-0.29094731857587863
ACH-000042,-0.09634085826936202
ACH-000045,-0.22554391668635826
ACH-000047,-0.22419385040329567
ACH-000052,-0.09183698555992996
ACH-000053,-0.29317883104907216
ACH-000054,-0.3455351740769603
ACH-000055,-0.3066994612384799
ACH-000060,-0.3787458772785078
ACH-000067,-0.22560239010381666
ACH-000070,-0.2366291358888787
ACH-000075,-0.23374337203026535
ACH-000078,-0.26451871028405993
ACH-000082,-0.3452552135023752
ACH-000085,0.06257140993031099
ACH-000086,-0.3062828688683717
ACH-000087,-0.44007623934225854
ACH-000092,-0.37839747894427495
ACH-000095,-0.3018904834761739
ACH-000097,-0.2780580508889818
ACH-000098,-0.19060763918157225
ACH-000099,-0.257280085414545
ACH-000108,-0.09732958491794967
ACH-000113,-0.14563492095642153
ACH-000116,-0.3516040418159476
ACH-000118,-0.3087548472251249
ACH-000120,-0.28589044453636553
ACH-000123,-0.2586723595387772
ACH-000127,-0.2742600657120756
ACH-000128,-0.2306956268973013
ACH-000132,-0.11431193979171968
ACH-000133,-0.30031225989703897
ACH-000137,-0.20936597067107166
ACH-000138,-0.10703612129231346
ACH-000142,-0.20659731471831905
ACH-000143,-0.2868871030004593
ACH-000146,-0.2686862811041927
ACH-000148,-0.2828596243328753
ACH-000150,-0.0950244150246414
ACH-000152,-0.2906274201613205
ACH-000153,-0.7066844453918266
ACH-000159,-0.26678766608772936
ACH-000160,-0.5804067240498386
ACH-000163,-0.3225684744502543
ACH-000167,-0.4190116968712959
ACH-000168,-0.31008880288731444
ACH-000169,-0.2346323806747657
ACH-000178,-0.14796275188233682
ACH-000183,-0.18765116455418016
ACH-000188,-0.1459462173986921
ACH-000189,-0.3301213778138592
ACH-000190,-0.18840951743159315
ACH-000198,-0.19995845235911508
ACH-000203,-0.22723580288650955
ACH-000204,-0.112308872626107
ACH-000206,-0.3369081162072462
ACH-000207,-0.23902309309387645
ACH-000208,-0.1756971932523774
ACH-000210,-0.3583014735015655
ACH-000211,-0.21775416407286327
ACH-000215,-0.21412138331995775
ACH-000221,-0.21732821914372905
ACH-000222,-0.2392316349816159
ACH-000223,-0.19802845212891726
ACH-000226,-0.29129534865833523
ACH-000227,-0.20321058328639705
ACH-000228,-0.3843356215745696
ACH-000231,-0.3347689188701879
ACH-000232,-0.20209542086825694
ACH-000233,-0.11539416142710145
ACH-000234,-0.182823719455638
ACH-000235,-0.2532700001486831
ACH-000237,-0.09946983765140348
ACH-000238,-0.16563770026335914
ACH-000242,-0.4321319512396746
ACH-000243,-0.2362973577577392
ACH-000244,-0.19273276028191613
ACH-000246,-0.24805108705755224
ACH-000248,-0.194600441541326
ACH-000250,-0.2598804714836165
ACH-000251,-0.009654543344602223
ACH-000252,-0.2716275670052597
ACH-000253,-0.15546307806796467
ACH-000255,-0.17530356669676925
ACH-000256,-0.3880758675980331
ACH-000257,0.03649920194522282
ACH-000258,-0.12049390773221455
ACH-000259,-0.2269036095613945
ACH-000260,-0.2487063513451877
ACH-000261,-0.3207416862155032
ACH-000262,-0.22929224973314785
ACH-000263,-0.2595948044114134
ACH-000264,-0.3099010678293907
ACH-000265,-0.12116024849680275
ACH-000266,-0.2414387414866484
ACH-000272,-0.22615025317563095
ACH-000274,-0.12293373967544688
ACH-000277,-0.2255631250285034
ACH-000278,-0.1845333289197564
ACH-000279,-0.24780282029784456
ACH-000280,-0.09201807999257326
ACH-000281,-0.04645669221487282
ACH-000288,-0.2577697862708688
ACH-000291,-0.2572587840409471
ACH-000293,-0.2149834972405648
ACH-000294,-0.3376608145163267
ACH-000295,-0.13469877723646956
ACH-000296,-0.2354380746029807
ACH-000302,-0.1424402188932363
ACH-000304,-0.06937627897029368
ACH-000307,-0.2703607555136857
ACH-000308,-0.13413797991351548
ACH-000310,-0.13909326537363312
ACH-000311,-0.419903740271798
ACH-000312,-0.13953332645384034
ACH-000315,-0.06074758556126913
ACH-000316,-0.23680596673131016
ACH-000317,-0.3828786770757347
ACH-000318,-0.3469784158249799
ACH-000319,-0.2733190113779129
ACH-000320,0.03429908288956108
ACH-000322,-0.11560399888424157
ACH-000323,-0.4411492169281849
ACH-000324,-0.2257556692527979
ACH-000329,-0.26826564738573616
ACH-000330,-0.375581249814841
ACH-000331,-0.11265780428619275
ACH-000332,-0.1674447714300361
ACH-000334,-0.2178716987004476
ACH-000335,-0.4301202241952947
ACH-000336,0.04964015580327037
ACH-000337,-0.3773952344327826
ACH-000338,0.15536163182610946
ACH-000339,-0.2998334970316332
ACH-000341,-0.33933891191058235
ACH-000348,-0.29453744781129776
ACH-000350,-0.19748963161825872
ACH-000352,-0.17573947834003711
ACH-000356,-0.3262527103070484
ACH-000361,-0.1197605685359797
ACH-000362,-0.2837946270266665
ACH-000363,-0.21407255332744726
ACH-000364,-0.3415935655451802
ACH-000365,-0.278299166784486
ACH-000366,-0.3150880230486029
ACH-000368,-0.09831590929875787
ACH-000374,-0.21677359969582874
ACH-000375,-0.2499666623028709
ACH-000376,-0.2746629435042917
ACH-000381,-0.17692862261135042
ACH-000383,-0.20423744927812731
ACH-000387,-0.12657540185550964
ACH-000389,-0.26560601554132685
ACH-000390,-0.14802031861352727
ACH-000393,-0.23048887566225146
ACH-000395,-0.3270833449411541
ACH-000396,0.06579261774741565
ACH-000397,-0.21294196295966455
ACH-000401,-0.3495266649718167
ACH-000402,-0.28716418901061075
ACH-000403,-0.2451028856961558
ACH-000404,0.2599779896258309
ACH-000406,-0.2358194991390085
ACH-000407,-0.21075678060307054
ACH-000408,-0.1623770025019978
ACH-000410,-0.25253176574521063
ACH-000411,-0.14388599314142514
ACH-000414,-0.1535037911972828
ACH-000415,-0.22733614647604225
ACH-000416,-0.1977440243765852
ACH-000420,-0.22865127158088644
ACH-000421,-0.21757613101278656
ACH-000424,-0.3237842831811629
ACH-000425,-0.16835863034471313
ACH-000426,-0.20498738244326187
ACH-000427,-0.27794596657579496
ACH-000433,-0.23984822455134625
ACH-000435,-0.4014558004487271
ACH-000436,-0.2897266659977767
ACH-000444,-0.18104989674521926
ACH-000445,-0.3829363669426188
ACH-000448,-0.17570724344586253
ACH-000450,-0.3221978514402903
ACH-000452,-0.16796348570240138
ACH-000454,-0.3567679890075986
ACH-000458,-0.2399965729718821
ACH-000459,-0.1871551974614908
ACH-000460,-0.2879729404832654
ACH-000461,-0.01439555830444638
ACH-000463,-0.40660450206432575
ACH-000464,-0.16248121443521604
ACH-000466,-0.3091236542540458
ACH-000467,-0.15540624346427315
ACH-000468,-0.16287968172982134
ACH-000469,-0.3508996770410585
ACH-000470,-0.12588501971346236
ACH-000471,-0.31320035071590113
ACH-000472,-0.2578188721662094
ACH-000473,-0.3284004530004627
ACH-000475,-0.26166575162280337
ACH-000476,-0.30444334766727765
ACH-000477,-0.3131273093203863
ACH-000479,-0.2651598627797882
ACH-000480,-0.3740354381867962
ACH-000481,-0.5292242131509873
ACH-000483,-0.22985480675963496
ACH-000484,-0.3414114612475325
ACH-000485,-0.2069282257567923
ACH-000486,-0.4355240212485508
ACH-000487,-0.20557474121779304
ACH-000488,-0.21769972631044635
ACH-000490,-0.17793832298767032
ACH-000491,-0.4637794911410074
ACH-000495,-0.15225361461865727
ACH-000496,-0.2441530354537326
ACH-000499,-0.3882417021375363
ACH-000500,-0.8568026044777938
ACH-000502,-0.2375092039989349
ACH-000503,-0.13714196256203226
ACH-000505,-0.1940205892465134
ACH-000507,-0.33565813175653625
ACH-000510,-0.14226722856879992
ACH-000511,-0.13185965002507602
ACH-000512,-0.07624759536124309
ACH-000516,-0.34528553080981644
ACH-000517,-0.20718245764177012
ACH-000518,-0.15036276754213554
ACH-000520,-0.3723225639860129
ACH-000521,-0.2633842296400078
ACH-000522,-0.2527571122061084
ACH-000524,-0.20356627903920735
ACH-000527,-0.2330175696190305
ACH-000528,-0.1524218582898744
ACH-000537,-0.3221782348062392
ACH-000541,-0.15976141728245266
ACH-000542,-0.25426637197926544
ACH-000544,-0.19177490394132293
ACH-000545,-0.2296170255578797
ACH-000547,-0.20518749515661325
ACH-000548,-0.03497903664737058
ACH-000549,-0.07585707792978579
ACH-000550,-0.15997022478538395
ACH-000552,-0.3518485268900334
ACH-000556,-0.20735125093860265
ACH-000557,-0.18716982777306107
ACH-000569,-0.020617338947596986
ACH-000570,-0.3257034206678143
ACH-000571,-0.3031999305519877
ACH-000573,-0.1996768462308411
ACH-000576,-0.2307165319366221
ACH-000579,-0.2350254349773471
ACH-000580,-0.281514768482888
ACH-000584,-0.32127730207009925
ACH-000585,-0.2712486820224361
ACH-000588,-0.2418579332847138
ACH-000589,-0.13829445471541815
ACH-000591,-0.3282076019437667
ACH-000593,-0.17460254678715828
ACH-000600,-0.29756940742122795
ACH-000601,-0.24642914509012295
ACH-000605,-0.14802345337085376
ACH-000606,-0.2818762571413165
ACH-000608,-0.28827372633520315
ACH-000614,-0.012172655279079415
ACH-000616,-0.22423099941851427
ACH-000618,-0.17114168888143486
ACH-000619,-0.2318119447017203
ACH-000620,-0.17160861594378082
ACH-000621,-0.18163279106581887
ACH-000622,-0.2649889398589351
ACH-000623,-0.312015273519042
ACH-000624,-0.24591980963862814
ACH-000627,-0.21173423043371992
ACH-000630,-0.12800947926601874
ACH-000631,-0.2717667446164761
ACH-000632,-0.2371284152650559
ACH-000633,-0.20344814198912525
ACH-000637,-0.1588159869506338
