,U2SURP (23350)
ACH-000004,-1.0291384782226516
ACH-000005,-1.0118767005273237
ACH-000007,-0.7174101841763685
ACH-000009,-0.6634568250404594
ACH-000011,-0.8484764573461829
ACH-000012,-0.5850531982119367
ACH-000013,-0.7392155316404287
ACH-000014,-0.9439061609284136
ACH-000015,-0.7615258474789776
ACH-000017,-0.8683505452599377
ACH-000018,-0.8191119227134133
ACH-000019,-0.9133557302756744
ACH-000021,-0.9396419957237808
ACH-000022,-0.5204912818829488
ACH-000025,-0.7983471896361001
ACH-000028,-0.8467713365474087
ACH-000030,-0.597944977926645
ACH-000035,-0.9095450866669784
ACH-000036,-0.7461107338862428
ACH-000037,-0.5543251900682548
ACH-000039,-0.9270222372985784
ACH-000040,-0.8528847870831404
ACH-000041,-1.0018608571695025
ACH-000042,-0.8556671411612318
ACH-000045,-0.773776614322323
ACH-000047,-0.6632424130999219
ACH-000052,-0.6623966824923159
ACH-000053,-0.8974414042415183
ACH-000054,-0.6772588976301399
ACH-000055,-0.7805738220780655
ACH-000060,-0.7650892230976979
ACH-000067,-0.6622495020980497
ACH-000070,-0.7601767219506078
ACH-000075,-0.6827644023458703
ACH-000078,-0.8819156601418585
ACH-000082,-0.8045231806530049
ACH-000085,-1.0115395528624989
ACH-000086,-0.8255984865811393
ACH-000087,-0.908885149161172
ACH-000092,-0.620297751111703
ACH-000095,-0.8592023679967938
ACH-000097,-0.7011234731149603
ACH-000098,-0.34574586944727165
ACH-000099,-0.8765572779308635
ACH-000108,-0.8117257004460208
ACH-000113,-0.8930053857107564
ACH-000116,-0.8613428919928292
ACH-000118,-0.8848415552220663
ACH-000120,-0.8570340236523831
ACH-000123,-0.8623836181798505
ACH-000127,-0.7337289601202865
ACH-000128,-1.2137216669621622
ACH-000132,-0.9834216017146128
ACH-000133,-0.953429323672648
ACH-000137,-0.9207163751244032
ACH-000138,-0.7258634032573726
ACH-000142,-0.6196855588106075
ACH-000143,-0.9741314340496584
ACH-000146,-0.9742672552756712
ACH-000148,-0.6065437600094871
ACH-000150,-0.6407913894167536
ACH-000152,-0.6802421034446334
ACH-000153,-0.7952757448163118
ACH-000159,-0.8382943824559755
ACH-000160,-0.6336889911717745
ACH-000163,-0.6959613944702792
ACH-000167,-1.1413119872390791
ACH-000168,-0.6639349873875229
ACH-000169,-0.7362686252884787
ACH-000178,-0.8351364909858302
ACH-000183,-0.6917970097124934
ACH-000188,-0.9207258986278598
ACH-000189,-0.7705860622447681
ACH-000190,-0.8545018524332408
ACH-000198,-0.7992929955753043
ACH-000203,-1.0572931019465204
ACH-000204,-0.5976395805245237
ACH-000206,-0.7906809166909426
ACH-000207,-0.7840078173163609
ACH-000208,-0.9390482245332766
ACH-000210,-0.6444107349868626
ACH-000211,-0.7578373897236704
ACH-000215,-0.6180860697343561
ACH-000221,-1.1102983976516916
ACH-000222,-0.8457322514464634
ACH-000223,-0.830505181913139
ACH-000226,-0.7663903274850684
ACH-000227,-0.7399465985403876
ACH-000228,-0.8200703573578795
ACH-000231,-0.8773172565276379
ACH-000232,-0.7641804135029755
ACH-000233,-0.9528183028975792
ACH-000234,-0.7729241869272544
ACH-000235,-0.8053980058950584
ACH-000237,-0.7786719485185923
ACH-000238,-0.5885080735324479
ACH-000242,-0.5619022489170292
ACH-000243,-0.7246236473781495
ACH-000244,-0.6552523056361078
ACH-000246,-0.7386352834058653
ACH-000248,-0.8575801683495051
ACH-000250,-0.7041619536559902
ACH-000251,-0.7182720363828928
ACH-000252,-0.7944343772979213
ACH-000253,-0.8547193772555304
ACH-000255,-0.7232621858675641
ACH-000256,-0.6430601787753919
ACH-000257,-0.5800832055616478
ACH-000258,-0.5521510119046383
ACH-000259,-0.8927082121987584
ACH-000260,-1.0295949359453362
ACH-000261,-0.795646305492202
ACH-000262,-0.6521476549023297
ACH-000263,-0.7455338243089358
ACH-000264,-1.1154492007408572
ACH-000265,-0.6589881070080027
ACH-000266,-0.8884776517965587
ACH-000272,-0.6689457746860715
ACH-000274,-0.7967961807238059
ACH-000277,-0.6689804255278476
ACH-000278,-0.7031920682842718
ACH-000279,-0.9531251547175379
ACH-000280,-0.5966128449995892
ACH-000281,-0.6804576709491232
ACH-000288,-0.5363349303197613
ACH-000291,-0.8449142742325062
ACH-000293,-0.9653927798486218
ACH-000294,-0.7856661086676231
ACH-000295,-0.6530225858009023
ACH-000296,-0.8112689780180735
ACH-000302,-1.0743211352340254
ACH-000304,-0.9648595822172598
ACH-000307,-0.9116910189492526
ACH-000308,-0.8285842440544868
ACH-000310,-0.7914914670710399
ACH-000311,-0.7961666858264843
ACH-000312,-0.7813757163035198
ACH-000315,-1.244840860868166
ACH-000316,-0.6494172743619442
ACH-000317,-0.9024708684957046
ACH-000318,-0.7554860949289558
ACH-000319,-0.8672209090609844
ACH-000320,-0.6837353872751606
ACH-000322,-0.9603845519524676
ACH-000323,-1.001686642159349
ACH-000324,-0.7718537545254917
ACH-000329,-0.6798533792075927
ACH-000330,-0.7177762328105153
ACH-000331,-0.7748046236114432
ACH-000332,-0.6685123923857028
ACH-000334,-0.9511137611398808
ACH-000335,-0.6278604108270605
ACH-000336,-0.9378002153450491
ACH-000337,-0.7980126281047971
ACH-000338,-0.4586993787500003
ACH-000339,-0.8564599176975564
ACH-000341,-0.8590619791419817
ACH-000348,-0.8148866221591833
ACH-000350,-0.6017601990954212
ACH-000352,-0.8643742239192034
ACH-000356,-0.7161117415098465
ACH-000361,-0.6582896582735979
ACH-000362,-0.8796578472526501
ACH-000363,-0.7940930258671128
ACH-000364,-0.9419950742568616
ACH-000365,-0.6953567753874494
ACH-000366,-0.7149786893478929
ACH-000368,-0.8275301511965696
ACH-000374,-1.0363209862365337
ACH-000375,-0.7890456262780797
ACH-000376,-0.7836770870896139
ACH-000381,-0.6811982622082697
ACH-000383,-0.6390096032697834
ACH-000387,-0.8803932193212514
ACH-000389,-0.7984147054763766
ACH-000390,-0.8077734881742205
ACH-000393,-0.7084287163881818
ACH-000395,-0.7752793105584349
ACH-000396,-0.7071257055387485
ACH-000397,-0.5644193900262926
ACH-000401,-0.5213075891914688
ACH-000402,-0.8418606795544843
ACH-000403,-0.8578224852237201
ACH-000404,-0.8961832535242634
ACH-000406,-0.9021609428466834
ACH-000407,-0.8819468641333921
ACH-000408,-0.7067031210073691
ACH-000410,-0.8428114214817676
ACH-000411,-0.8617524411256349
ACH-000414,-0.9991137173729936
ACH-000415,-0.7404486245418378
ACH-000416,-0.8180714135206668
ACH-000420,-0.9545411554905072
ACH-000421,-0.7930342434976713
ACH-000424,-0.7072393461243317
ACH-000425,-0.7892952958345301
ACH-000426,-0.7389833763563061
ACH-000427,-0.8563710851488043
ACH-000433,-0.7585927016929239
ACH-000435,-0.7135657896163831
ACH-000436,-0.7093294462934293
ACH-000444,-0.8771118052327158
ACH-000445,-0.853263333611836
ACH-000448,-0.7331713628573819
ACH-000450,-0.761867936044364
ACH-000452,-0.6667732990523099
ACH-000454,-0.6842326320010722
ACH-000458,-0.8755923215271469
ACH-000459,-1.062545435632306
ACH-000460,-0.6861272236479418
ACH-000461,-0.8382800496634354
ACH-000463,-0.9936136242484572
ACH-000464,-0.5641550727652852
ACH-000466,-0.6600928772949655
ACH-000467,-0.8191694573963102
ACH-000468,-0.7466391435147105
ACH-000469,-0.8366756800703995
ACH-000470,-0.7977161893999452
ACH-000471,-0.5911475013428235
ACH-000472,-0.5911402619140336
ACH-000473,-0.6631419145154331
ACH-000475,-0.6524177792666614
ACH-000476,-0.9211638713674626
ACH-000477,-0.7104632532969438
