,ZG16 (653808)
ACH-000004,-0.010793752721411221
ACH-000005,0.2486644029405884
ACH-000007,0.18598264746037116
ACH-000009,0.045864579925364066
ACH-000011,-0.05920012304694122
ACH-000012,0.026595663021299103
ACH-000013,-0.00828866159303828
ACH-000014,-0.11391471087458845
ACH-000015,-0.06493381483539308
ACH-000017,0.016019819937579168
ACH-000018,0.0529549494324508
ACH-000019,-0.07850334113866796
ACH-000021,-0.02470857171360997
ACH-000022,0.09328229535953134
ACH-000025,-0.06908240300396187
ACH-000028,-0.11145393303145083
ACH-000030,0.1205464584959557
ACH-000035,-0.04916980389389102
ACH-000036,0.08413788355090727
ACH-000037,-0.016656741002181844
ACH-000039,-0.03873277513819018
ACH-000040,0.06700714752732842
ACH-000041,-0.08441721745633429
ACH-000042,0.1567970589185934
ACH-000045,-0.2476416174708095
ACH-000047,0.08061138971057709
ACH-000052,0.017275917397119284
ACH-000053,0.03391889739615307
ACH-000054,0.03451442711004181
ACH-000055,-0.0961061017796906
ACH-000060,0.2920132895721088
ACH-000067,-0.059701465582712374
ACH-000070,0.034576651848521336
ACH-000075,0.03722738222420209
ACH-000078,-0.055352581646473976
ACH-000082,-0.031371317413000366
ACH-000085,0.21596188577995848
ACH-000086,0.1559752028364157
ACH-000087,0.045802953641497765
ACH-000092,-0.012263493906563276
ACH-000095,0.04761954858864317
ACH-000097,-0.08192495508519497
ACH-000098,-0.06816369542425751
ACH-000099,-0.06537800881325773
ACH-000108,0.10191942037836473
ACH-000113,-0.0287769495986708
ACH-000116,-0.008422450406397781
ACH-000118,-0.036869464676007255
ACH-000120,-0.042564705665535316
ACH-000123,0.03197287830315885
ACH-000127,-0.1309117034910984
ACH-000128,0.09984247770490963
ACH-000132,-0.04295151351106023
ACH-000133,0.13283424582180844
ACH-000137,-0.0486373466540419
ACH-000138,0.13749593377428812
ACH-000142,-0.039867250148703334
ACH-000143,0.005062236935307903
ACH-000146,-0.07187591340680399
ACH-000148,-0.056398850637362274
ACH-000150,-0.06764844292453122
ACH-000152,0.11184508603642186
