,DGKZ (8525)
ACH-000004,-0.23145069023956785
ACH-000005,-0.19753824244978785
ACH-000007,-0.17380280706970852
ACH-000009,-0.02044247171519643
ACH-000011,0.1035521019131529
ACH-000012,-0.29028895319498843
ACH-000013,-0.25147054052041123
ACH-000014,-0.08173300822877234
ACH-000015,-0.004160097995586907
ACH-000017,-0.2894895257763633
ACH-000018,-0.20308234371271672
ACH-000019,-0.07665574298354966
ACH-000021,-0.2475977879058532
ACH-000022,-0.32447866836808004
ACH-000025,-0.14830455321848568
ACH-000028,-0.27387979597447965
ACH-000030,-0.06301530312062632
ACH-000035,-0.4140105371035149
ACH-000036,-0.20112304967166447
ACH-000037,-0.16763030113797392
ACH-000039,-0.10412231114371992
ACH-000040,-0.06683443341207362
ACH-000041,-0.3237615383398542
ACH-000042,-0.12156160824472335
ACH-000045,-0.11271449345209715
ACH-000047,-0.008389857963434203
ACH-000052,-0.3060268397700722
ACH-000053,-0.08307996856449547
ACH-000054,-0.13011026886324756
ACH-000055,-0.04752217266864316
ACH-000060,-0.10153875009710876
ACH-000067,-0.1818942213951341
ACH-000070,-0.09267862146923583
ACH-000075,-0.17729816218274222
ACH-000078,-0.043674562861757985
ACH-000082,-0.08174083883190399
ACH-000085,-0.16732218316104788
ACH-000086,-0.19870898390783787
ACH-000087,-0.3399655948527111
ACH-000092,-0.044650086873942944
ACH-000095,-0.11792245332616826
ACH-000097,-0.10848469281018584
ACH-000098,-0.08215817436125024
ACH-000099,-0.05766713476604943
ACH-000108,-0.045909871837195006
ACH-000113,-0.1296493383336025
ACH-000116,-0.16058605032089876
ACH-000118,-0.09773839553768418
ACH-000120,-0.2170804858505931
ACH-000123,-0.2867607436953213
ACH-000127,-0.04706724645698256
ACH-000128,-0.1486780852722158
ACH-000132,-0.11585342047601482
ACH-000133,-0.29942005460844223
ACH-000137,-0.21932441231324026
ACH-000138,-0.2789736835634529
ACH-000142,-0.17186299599929356
ACH-000143,-0.11384646216712425
ACH-000146,-0.2850679960752473
ACH-000148,-0.17456815538011056
ACH-000150,-0.15115339080473356
ACH-000152,-0.13693203693212486
ACH-000153,-0.2341373097137381
ACH-000159,-0.19266852183595404
