,CCDC74B (91409)
ACH-000004,0.07131815792353749
ACH-000005,0.013176714311220037
ACH-000007,-0.34887762748659884
ACH-000009,-0.28293291507995944
ACH-000011,-0.19010050720755586
ACH-000012,-0.2563378245626206
ACH-000013,-0.15118799932797938
ACH-000014,-0.1984026834895405
ACH-000015,-0.1703610507210512
ACH-000017,-0.2404871591204407
ACH-000018,-0.19938472758469705
ACH-000019,-0.3062690207311509
ACH-000021,0.012764648512751428
ACH-000022,-0.24633078211074705
ACH-000025,-0.2727923331288578
ACH-000028,-0.2621356257095894
ACH-000030,-0.17803787914187952
ACH-000035,-0.21041439566687908
ACH-000036,-0.29905588155367074
ACH-000037,-0.1892820152297504
ACH-000039,0.15044719788669586
ACH-000040,-0.2367694979114943
ACH-000041,-0.2557601505326898
ACH-000042,-0.020540627749005797
ACH-000045,-0.4522478613427177
ACH-000047,-0.16848082711583365
ACH-000052,-0.12368633769705688
ACH-000053,-0.21437425107857624
ACH-000054,-0.4374679608185341
ACH-000055,-0.1750244867869339
ACH-000060,-0.17606562477914053
ACH-000067,-0.2747744211757099
ACH-000070,-0.32404482310325217
ACH-000075,-0.4337320688495964
ACH-000078,-0.1360487781261889
ACH-000082,-0.2895455590856081
ACH-000085,-0.2502618279927277
ACH-000086,-0.26783842280992337
ACH-000087,-0.1942656996564325
ACH-000092,-0.3160579048345705
ACH-000095,-0.18803584383602928
ACH-000097,-0.16495290165606813
ACH-000098,-0.3707272840689903
ACH-000099,-0.20205930638873748
ACH-000108,-0.4043508112228383
ACH-000113,-0.2806069900672263
ACH-000116,-0.0829442136489005
ACH-000118,-0.2472893239808909
ACH-000120,-0.262437629574228
ACH-000123,-0.2456603995471999
ACH-000127,-0.12642731848585398
ACH-000128,-0.2097955399288483
ACH-000132,-0.14481124160629966
ACH-000133,-0.2351327510467515
ACH-000137,-0.206342079906786
ACH-000138,-0.15897205457233196
ACH-000142,-0.2618126345419628
ACH-000143,-0.3021811752206105
ACH-000146,-0.3786118152782256
ACH-000148,-0.2511164874717487
ACH-000150,-0.11148409090009144
ACH-000152,-0.27864042295985325
ACH-000153,-0.2632555143158326
ACH-000159,-0.2788746545021238
ACH-000160,-0.2870329194098081
ACH-000163,-0.2335193719904641
ACH-000167,-0.3062444993179433
ACH-000168,-0.1675059347278718
ACH-000169,-0.3152077366967372
ACH-000178,-0.26512499710638354
ACH-000183,-0.12256627439555197
ACH-000188,-0.1151373163904164
ACH-000189,-0.3287450485377698
ACH-000190,-0.022676322693429875
ACH-000198,-0.40259226650813423
ACH-000203,-0.013342134847002477
ACH-000204,-0.22112581371122897
ACH-000206,-0.16258726306985258
ACH-000207,-0.05848938773630406
ACH-000208,-0.08976535594221957
ACH-000210,-0.027805607399285174
ACH-000211,-0.21961138587344453
ACH-000215,-0.11769851957997987
ACH-000221,-0.5524288494580575
ACH-000222,-0.4115210341262181
ACH-000223,-0.3238827888874437
ACH-000226,-0.2743742406309255
ACH-000227,-0.2405184334311413
ACH-000228,-0.09600150974263562
ACH-000231,-0.2655080214056685
ACH-000232,-0.18756793565185267
ACH-000233,-0.18749202314000024
ACH-000234,-0.1396286535758514
ACH-000235,-0.15485347980645314
ACH-000237,-0.26499410240937943
ACH-000238,-0.04925945659471004
ACH-000242,-0.3270346053094218
ACH-000243,-0.3602990667142142
ACH-000244,-0.4065640733456558
ACH-000246,-0.3310688273386957
ACH-000248,-0.09866547225379847
ACH-000250,-0.1699800920849566
ACH-000251,-0.0611877284577062
ACH-000252,-0.09008970246613472
ACH-000253,-0.2718470226248084
ACH-000255,-0.3962867824284352
ACH-000256,-0.12242345297632105
ACH-000257,0.19757147636579592
ACH-000258,-0.2434292682994085
