,KCNN4 (3783)
ACH-000004,-0.047899554783158695
ACH-000005,-0.3524821038050098
ACH-000007,0.06888875176214243
ACH-000009,-0.08550337248335672
ACH-000011,-0.06421065396679547
ACH-000012,-0.2112823546091146
ACH-000013,-0.2784909324973389
ACH-000014,-0.19035394356883306
ACH-000015,-0.15623320734236068
ACH-000017,-0.10520165545045654
ACH-000018,-0.4223763341216358
ACH-000019,-0.24252298099542474
ACH-000021,-0.20423863109325616
ACH-000022,0.04678179754340872
ACH-000025,-0.08649865550759657
ACH-000028,-0.1529211738557345
ACH-000030,-0.1886604528881872
ACH-000035,-0.19350828909793916
ACH-000036,-0.12441841756776092
ACH-000037,-0.1505476683626472
ACH-000039,0.006252804632527078
ACH-000040,-0.008268240171371089
ACH-000041,0.050430823777582616
ACH-000042,-0.08292254792311743
ACH-000045,-0.1879991228600496
ACH-000047,-0.04893214225881296
ACH-000052,-0.18897359526939728
ACH-000053,-0.14208303022011598
ACH-000054,-0.18093405186968456
ACH-000055,0.06858487672315232
ACH-000060,0.05178830907498337
ACH-000067,-0.1436574036277983
ACH-000070,0.031693133798968494
ACH-000075,-0.03366029657294245
ACH-000078,-0.22981853812915756
ACH-000082,-0.05041550486794458
ACH-000085,-0.1455680314635914
ACH-000086,-0.03420951122234171
ACH-000087,-0.07304349883453473
ACH-000092,-0.060944828708375975
ACH-000095,-0.09012438751393516
ACH-000097,-0.11868971485414084
ACH-000098,-0.15660179771185
ACH-000099,-0.19511170129366784
ACH-000108,-0.1692030904125345
ACH-000113,-0.05380704188337823
ACH-000116,-0.0614446211517229
ACH-000118,-0.12085629442620265
ACH-000120,-0.12076413153792087
ACH-000123,-0.03298813524311681
ACH-000127,-0.09289561423252338
ACH-000128,0.0056337858530148685
ACH-000132,-0.08845062665141178
ACH-000133,0.011962640537990274
ACH-000137,-0.17069350175267933
ACH-000138,-0.1347101588367252
ACH-000142,-0.2314941487921149
ACH-000143,0.06409265524284942
ACH-000146,-0.09881983498498736
ACH-000148,-0.097414623262679
ACH-000150,-0.015173669884272059
ACH-000152,-0.21630422999722512
ACH-000153,-0.2991477369324549
ACH-000159,-0.16260260151333175
ACH-000160,-0.08259872376334335
ACH-000163,-0.1273494791775081
ACH-000167,-0.29034281922662397
ACH-000168,-0.12763551255739697
ACH-000169,-0.06944911862231946
ACH-000178,-0.23835073128787845
ACH-000183,-0.18891502252739548
ACH-000188,-0.14580678277002795
ACH-000189,-0.06998047551603725
ACH-000190,0.07153025943186697
ACH-000198,-0.11146922243707627
ACH-000203,-0.12041663548396797
ACH-000204,-0.2457575745156941
ACH-000206,0.059819861430157675
ACH-000207,-0.2995804675139306
ACH-000208,-0.2202296979537294
ACH-000210,-0.1060224092479628
ACH-000211,-0.09240249850230614
ACH-000215,-0.10272808412752273
ACH-000221,-0.3395182918547555
ACH-000222,-0.07077433918783702
ACH-000223,-0.05940816799430616
ACH-000226,-0.1168140328539229
ACH-000227,-0.019172586024489645
ACH-000228,-0.05492671932318914
ACH-000231,0.011248906190285532
ACH-000232,-0.04430857017015345
ACH-000233,-0.15550616419658966
ACH-000234,-0.16926125166096834
ACH-000235,-0.19686982457281585
ACH-000237,-0.14238932827371148
ACH-000238,-0.2110033544385317
ACH-000242,-0.2752207394757341
ACH-000243,-0.100266612684046
ACH-000244,-0.19104218035117754
ACH-000246,-0.06908917209549102
ACH-000248,0.0008054890516411668
ACH-000250,-0.0888291187577056
ACH-000251,-0.2066269795919827
ACH-000252,-0.37876287082058707
ACH-000253,-0.1897648875641443
ACH-000255,-0.2585157391150725
ACH-000256,-0.1312351188002572
ACH-000257,0.12117532612349187
ACH-000258,-0.11387616064111382
ACH-000259,-0.07829237598793133
ACH-000260,-0.10317259415857613
ACH-000261,-0.07291581113158213
ACH-000262,-0.009612385592630852
ACH-000263,-0.027607626989317572
ACH-000264,0.00881067531780848
ACH-000265,-0.06841751676594854
ACH-000266,-0.18149786766291173
ACH-000272,-0.10578105529710168
ACH-000274,-0.11218724336595476
ACH-000277,-0.058443924826852935
ACH-000278,-0.044401053414690375
ACH-000279,-0.015194080165514715
ACH-000280,-0.12945641040761882
