,PBXIP1 (57326)
ACH-000004,-0.008179028222693695
ACH-000005,-0.08857184985344073
ACH-000007,0.11594889154024482
ACH-000009,-0.18958082995839864
ACH-000011,-0.10896312923748208
ACH-000012,-0.05411423608361393
ACH-000013,-0.06529719355635279
ACH-000014,0.1068539528194325
ACH-000015,-0.026151170973163898
ACH-000017,-0.07699592348824308
ACH-000018,0.06520582355560507
ACH-000019,-0.07871837591369893
ACH-000021,-0.08966457971240781
ACH-000022,0.09090014397814444
ACH-000025,-0.08065471600873562
ACH-000028,-0.09235727980226913
ACH-000030,0.056006169944078865
ACH-000035,-0.007408507458486552
ACH-000036,-0.043663152620288435
ACH-000037,0.07264696310624244
ACH-000039,-0.07837073968644076
ACH-000040,-0.018572564930282708
ACH-000041,-0.03458040690280162
ACH-000042,0.0955552229483544
ACH-000045,-0.09426771600805976
ACH-000047,-0.057861267293809936
ACH-000052,-0.1269705650617112
ACH-000053,0.08167656072179814
ACH-000054,-0.09833159882520412
ACH-000055,-0.14367148392770365
ACH-000060,0.008197281914089659
ACH-000067,0.04640753181853376
ACH-000070,-0.05599207347814182
ACH-000075,0.015359727121155346
ACH-000078,-0.15677445950932226
ACH-000082,0.057185987061122524
ACH-000085,-0.07114991113765108
ACH-000086,-0.21639031430844566
ACH-000087,0.02835722322878853
ACH-000092,-0.1093261272690056
ACH-000095,-0.008600468746318167
ACH-000097,-0.010653913073943862
ACH-000098,0.004518316407438149
ACH-000099,-0.06437629918914893
ACH-000108,-0.09329985893912633
ACH-000113,-0.043494839223294585
ACH-000116,-0.06401054522664998
ACH-000118,-0.0639668527068093
ACH-000120,0.0045367533133393294
ACH-000123,-0.17313263865408934
ACH-000127,0.006682703224367241
ACH-000128,-0.12001482532075032
ACH-000132,-0.038525383319245286
ACH-000133,-0.062207729754294006
ACH-000137,-0.07691077204768737
ACH-000138,0.0261195744577182
ACH-000142,-0.12029390910745776
ACH-000143,-0.06520787789510486
ACH-000146,0.025003563347991118
ACH-000148,0.011246466340699424
ACH-000150,-0.09316808131625468
ACH-000152,0.08754568288176423
ACH-000153,-0.10144806441223712
ACH-000159,-0.07032839695410073
ACH-000160,0.2484650839452882
ACH-000163,-0.014889222244465069
ACH-000167,0.3921775347301955
ACH-000168,0.07860540622916302
ACH-000169,-0.04390784876227505
ACH-000178,-0.03843974124910094
ACH-000183,-0.19209951647133824
ACH-000188,-0.13085917068241712
ACH-000189,-0.366720917238056
ACH-000190,0.13581393272395698
ACH-000198,-0.09515364116554134
ACH-000203,-0.04243100462317389
ACH-000204,-0.30867858693340944
ACH-000206,-0.04813405712576497
ACH-000207,0.1040338444733999
ACH-000208,-0.023724517940618892
ACH-000210,0.07961262703739741
ACH-000211,-0.05303071997385353
ACH-000215,-0.1798325773256857
ACH-000221,-0.02521579563871614
ACH-000222,-0.06846527733111338
ACH-000223,-0.10345749714425237
ACH-000226,-0.08800533424829173
ACH-000227,0.13598812863837284
ACH-000228,-0.11121123794183536
ACH-000231,-0.13049320521420768
ACH-000232,-0.05049292167777002
ACH-000233,-0.02667793453764213
ACH-000234,0.02448369080867851
ACH-000235,0.013486589644973762
ACH-000237,-0.0019380783083548863
ACH-000238,0.15539236292980274
ACH-000242,0.0955477680790041
ACH-000243,-0.07512858361115186
ACH-000244,-0.1991507801385756
ACH-000246,-0.15106491080502127
ACH-000248,-0.003485666200729286
ACH-000250,-0.15511569794507854
ACH-000251,-0.160860628744346
ACH-000252,0.010823720754896451
ACH-000253,-0.08639258104362739
ACH-000255,-0.06856347884853484
ACH-000256,0.021829321362034283
ACH-000257,0.11834936284778848
ACH-000258,0.07693177864744175
ACH-000259,-0.1434693111744487
ACH-000260,-0.019036249231940756
ACH-000261,0.013103802085428908
ACH-000262,-0.027199496261909838
ACH-000263,0.09601721017630932
ACH-000264,-0.08354383426299973
ACH-000265,0.07870534188639224
ACH-000266,-0.0828302291145701
ACH-000272,-0.005122222343695447
ACH-000274,-0.02626391624659334
ACH-000277,-0.07532049982240148
ACH-000278,-0.11619645210888815
ACH-000279,0.016025725410439038
ACH-000280,0.056162120811925724
ACH-000281,0.030248314738128963
ACH-000288,-0.07926555151880146
ACH-000291,-0.06602797299131967
ACH-000293,-0.17496680203929948
ACH-000294,-0.033057866707153924
ACH-000295,-0.2800420365493414
ACH-000296,0.038360761635515724
ACH-000302,-0.0946624024754924
ACH-000304,0.01640591995352044
ACH-000307,-0.01994922941833904
ACH-000308,-0.1479904748336913
ACH-000310,-0.1600028402110541
ACH-000311,0.038976772982776985
ACH-000312,-0.049232113107560704
ACH-000315,-0.017999828140227304
ACH-000316,0.032910005632177136
ACH-000317,-0.20383936283201173
ACH-000318,-0.08221738328642647
ACH-000319,-0.11537617646724516
ACH-000320,-0.06990587186809519
ACH-000322,-0.3028165873963367
ACH-000323,-0.057718437794155135
ACH-000324,0.019035196222492185
ACH-000329,-0.0860909611255041
ACH-000330,0.05961379679726709
ACH-000331,-0.060526441881938176
ACH-000332,-0.03649525952064138
ACH-000334,-0.0186155999030634
ACH-000335,0.20422075286888228
ACH-000336,0.01875793682562226
ACH-000337,-0.07122853500042785
ACH-000338,-0.4473529090181581
ACH-000339,0.03723092413330638
ACH-000341,-0.16640913805101762
ACH-000348,0.026016470413027074
ACH-000350,0.05032058661922124
ACH-000352,-0.08787971514831353
ACH-000356,-0.2815309957587223
ACH-000361,-0.08179925554773311
ACH-000362,-0.011110424779343778
ACH-000363,-0.06428344351136397
ACH-000364,-0.035842905555255974
ACH-000365,-0.013933494235126997
ACH-000366,-0.0846135957036389
ACH-000368,0.028636545320510288
ACH-000374,-0.08455485570689876
ACH-000375,0.1018155797745874
ACH-000376,0.04292917151470409
ACH-000381,-0.17398167192218553
ACH-000383,-0.055500198250760385
ACH-000387,-0.021843828409205
ACH-000389,-0.15093530852143697
ACH-000390,-0.14378646818279875
ACH-000393,-0.06373676671663955
ACH-000395,0.026303966666743103
ACH-000396,0.11950378065767127
ACH-000397,-0.06169575438149553
ACH-000401,-0.12283956602319528
ACH-000402,-0.2493680686326353
ACH-000403,0.06420180043994135
ACH-000404,-0.11166456006984776
ACH-000406,0.006915804471606286
ACH-000407,0.04307391277961449
ACH-000408,-0.0472219805313553
ACH-000410,-0.2398270471853707
ACH-000411,-0.1903920151711216
ACH-000414,0.06908497987256658
ACH-000415,-0.01879474941187147
ACH-000416,-0.09178768331732752
ACH-000420,-0.13279882218868705
