,PRAC1 (84366)
ACH-000004,-0.29278053528774056
ACH-000005,-0.2663736720901061
ACH-000007,-0.2811771804542047
ACH-000009,-0.2959451837650759
ACH-000011,-0.3021502426806663
ACH-000012,-0.2465585192674041
ACH-000013,-0.19140060147888766
ACH-000014,-0.13100707586447274
ACH-000015,-0.21705344857883413
ACH-000017,-0.2561234349047208
ACH-000018,-0.18782861881940194
ACH-000019,-0.36095451395978495
ACH-000021,-0.2547362144701433
ACH-000022,-0.13472121371857104
ACH-000025,-0.2465711873922409
ACH-000028,-0.2006352330731317
ACH-000030,-0.23906664353366625
ACH-000035,-0.17659805469393494
ACH-000036,-0.2710069082801805
ACH-000037,-0.1171327620344096
ACH-000039,-0.3222214114113454
ACH-000040,-0.1546562865191665
ACH-000041,-0.16635130324707895
ACH-000042,-0.2706882471910413
ACH-000045,-0.17849200835112947
ACH-000047,-0.2290222355285843
ACH-000052,-0.15636179826101276
ACH-000053,-0.2228461162529127
ACH-000054,-0.23398381878771854
ACH-000055,-0.4103807469504746
ACH-000060,-0.4147323244943525
ACH-000067,-0.2002597950434284
ACH-000070,-0.34237064355548524
ACH-000075,-0.15135532195083154
ACH-000078,-0.2620387953298037
ACH-000082,-0.3061562530372122
ACH-000085,-0.5342189134673874
ACH-000086,-0.3002528036221275
ACH-000087,-0.2539771727470871
ACH-000092,-0.2397514274577549
ACH-000095,-0.2311998938558602
ACH-000097,-0.021650361790158
ACH-000098,-0.2557675068698763
ACH-000099,-0.174049201592249
ACH-000108,-0.31533869987242025
ACH-000113,-0.17720058150453954
ACH-000116,-0.2477681839138613
ACH-000118,-0.13239154114500656
ACH-000120,-0.32165401465465265
ACH-000123,-0.2561892413751702
ACH-000127,-0.2725874000419854
ACH-000128,-0.254160205069968
ACH-000132,-0.0788626807058512
ACH-000133,-0.12153301031696652
ACH-000137,-0.2462835770537829
ACH-000138,-0.344539128071904
ACH-000142,-0.2681886574149239
ACH-000143,-0.3415918740208503
ACH-000146,-0.1988809687142495
ACH-000148,-0.16560967948943195
ACH-000150,-0.387248191401812
ACH-000152,-0.2841211727631805
ACH-000153,-0.31176208721046955
ACH-000159,-0.2753588284828013
ACH-000160,-0.12532791703848384
ACH-000163,-0.2934152941258997
ACH-000167,-0.06457043224359761
ACH-000168,-0.35924657016105016
ACH-000169,-0.35590917491356955
ACH-000178,-0.1501504271298704
ACH-000183,-0.14401539625590676
ACH-000188,-0.25474529303764465
ACH-000189,-0.3946516011881172
ACH-000190,-0.15564452198595127
ACH-000198,-0.1615015892390254
ACH-000203,0.5180707943995355
ACH-000204,-0.23121736826772304
ACH-000206,-0.1811651332325669
ACH-000207,-0.22224513650585606
ACH-000208,-0.23448373542781284
ACH-000210,-0.37288697485028943
ACH-000211,-0.3229343310643413
ACH-000215,-0.25099541128798264
ACH-000221,-0.179364462076547
ACH-000222,-0.17116502906501582
ACH-000223,-0.13529904358497724
ACH-000226,-0.2653018342962221
ACH-000227,-0.15195691366732952
ACH-000228,-0.1911881603161804
ACH-000231,-0.27792316425837943
ACH-000232,-0.10160093711030198
ACH-000233,-0.20630200239141194
ACH-000234,-0.24771263528522905
ACH-000235,-0.285798901833736
ACH-000237,-0.1940302003091145
ACH-000238,-0.4614421640621753
ACH-000242,-0.3753470653026864
ACH-000243,-0.27600357776259016
ACH-000244,-0.16462374558743256
ACH-000246,-0.2487074243997701
ACH-000248,-0.21049942793720436
ACH-000250,-0.3110462925306928
ACH-000251,-0.28954099847278136
ACH-000252,-0.3247575769143632
ACH-000253,-0.16279812356191758
ACH-000255,-0.5224433326239802
ACH-000256,-0.3098034579724615
ACH-000257,-0.3742740394037735
ACH-000258,-0.09539365974794786
ACH-000259,-0.2695457620458746
ACH-000260,-0.23346144017424025
ACH-000261,-0.1358693036875991
ACH-000262,-0.3799470567179349
ACH-000263,-0.5054521980542294
ACH-000264,-0.2313923441602529
ACH-000265,-0.24322552852625204
ACH-000266,-0.22881555656069635
ACH-000272,-0.25086642519999736
ACH-000274,-0.2882300792942717
