,RAD51D (5892)
ACH-000004,-0.8876645438777315
ACH-000005,-0.4357695372206368
ACH-000007,-0.7471665953699518
ACH-000009,-0.8624464619074867
ACH-000011,-1.0158672329909528
ACH-000012,-0.8383973137553059
ACH-000013,-0.5002012755725994
ACH-000014,-0.8098089102219956
ACH-000015,-0.6985847515254283
ACH-000017,-0.6477092302016102
ACH-000018,-0.9494361602524708
ACH-000019,-0.8783163373997775
ACH-000021,-0.8150831747308782
ACH-000022,-1.0180326829878426
ACH-000025,-0.8420559212529309
ACH-000028,-0.8740419520631431
ACH-000030,-0.8283677799573457
ACH-000035,-0.6858256919865061
ACH-000036,-0.8526010155583562
ACH-000037,-0.4845771709450861
ACH-000039,-0.760479663524922
ACH-000040,-0.664008082453271
ACH-000041,-0.7215633815539114
ACH-000042,-0.5214083228502833
ACH-000045,-0.7711231342717139
ACH-000047,-1.0015593954277289
ACH-000052,-1.009879356552695
ACH-000053,-0.4821606527142609
ACH-000054,-0.6693401961991629
ACH-000055,-0.9089656588132627
ACH-000060,-0.8137829248552477
ACH-000067,-1.0408784827626316
ACH-000070,-0.8562096222710841
ACH-000075,-0.8234145103729681
ACH-000078,-0.4717451849546165
ACH-000082,-0.8418915295964087
ACH-000085,-0.7219540470117659
ACH-000086,-0.4551435938655883
ACH-000087,-1.103459712952546
ACH-000092,-0.6157655511093564
ACH-000095,-0.4514396478524873
ACH-000097,-0.6919813469218489
ACH-000098,-0.7189800304312027
ACH-000099,-0.6144205371346027
ACH-000108,-0.686982769383087
ACH-000113,-0.6271424931610048
ACH-000116,-0.7990773958824255
ACH-000118,-1.097819099195201
ACH-000120,-0.8623793409876018
ACH-000123,-0.7774633342626489
ACH-000127,-0.8428875146585897
ACH-000128,-0.7231010366780657
ACH-000132,-0.7086008404894388
ACH-000133,-0.7310620011429504
ACH-000137,-0.8353030456199085
ACH-000138,-0.5134436836979047
ACH-000142,-0.6601841622186462
ACH-000143,-0.9940015847802616
ACH-000146,-0.4712001899270445
ACH-000148,-1.194916319217283
ACH-000150,-0.8133013234558173
ACH-000152,-0.7479129368299711
ACH-000153,-1.3287992341440955
ACH-000159,-0.6985937195656637
ACH-000160,-1.0219560621460275
ACH-000163,-0.925659218213052
ACH-000167,-0.5928604982606258
ACH-000168,-1.047262864737356
ACH-000169,-0.7988101004310593
ACH-000178,-0.8887644046489266
ACH-000183,-0.9440280602838872
ACH-000188,-0.8943170521408087
ACH-000189,-0.7204463479604627
ACH-000190,-0.7862517602633609
ACH-000198,-0.7670778196097578
ACH-000203,-0.5440153164140683
ACH-000204,-0.8444199655557091
ACH-000206,-1.309514676770207
ACH-000207,-0.8906023319026054
ACH-000208,-0.7416239699152704
ACH-000210,-0.6273715629796235
ACH-000211,-0.8263100154065192
ACH-000215,-0.6960301857981384
ACH-000221,-0.8124517085027664
ACH-000222,-1.0697636278195202
ACH-000223,-0.9902189896352036
ACH-000226,-0.8698424592058009
ACH-000227,-0.6629514957475938
ACH-000228,-0.7988515166798588
ACH-000231,-0.8484675348450358
ACH-000232,-0.9407788174917908
ACH-000233,-0.9659628319799188
ACH-000234,-0.8423035240167714
ACH-000235,-0.7686989705565701
ACH-000237,-0.8565201795774421
ACH-000238,-0.8424087054878354
ACH-000242,-0.634239763054237
ACH-000243,-0.9476959286026588
ACH-000244,-0.722837296553585
ACH-000246,-0.7014604627345811
ACH-000248,-0.9185964186989076
