,POLR3F (10621)
ACH-000004,-0.7361361570426046
ACH-000005,-0.8655984648596053
ACH-000007,-0.5263779555773622
ACH-000009,-0.8912223644149616
ACH-000011,-0.6886021259274
ACH-000012,-1.0837789304562286
ACH-000013,-0.8250369123186577
ACH-000014,-0.8629870801905085
ACH-000015,-0.779671343552728
ACH-000017,-0.8699061629159581
ACH-000018,-0.6824688997707836
ACH-000019,-0.9395486878088491
ACH-000021,-1.0047363864643126
ACH-000022,-0.5877019777296432
ACH-000025,-1.0292970962301755
ACH-000028,-0.9307754465662428
ACH-000030,-0.9285454194604548
ACH-000035,-0.91618996104396
ACH-000036,-1.0092215903425357
ACH-000037,-0.7204264932063846
ACH-000039,-0.7844800125292952
ACH-000040,-0.8446109046281667
ACH-000041,-0.7735584583092687
ACH-000042,-0.9236761026805582
ACH-000045,-0.8416565875789973
ACH-000047,-0.8407642390643062
ACH-000052,-0.9096624912774386
ACH-000053,-0.9687092721027196
ACH-000054,-0.8956388224858033
ACH-000055,-1.0517422101840934
ACH-000060,-0.9205999546201876
ACH-000067,-0.9034576803669928
ACH-000070,-0.8537355379333826
ACH-000075,-0.8548645564191448
ACH-000078,-0.5905583279780873
ACH-000082,-0.8332500159532792
ACH-000085,-0.955351053548038
ACH-000086,-1.050240420377553
ACH-000087,-1.1758038501385812
ACH-000092,-1.0073815182302088
ACH-000095,-1.0963621374305463
ACH-000097,-1.0362257410771651
ACH-000098,-1.0322135112804738
ACH-000099,-0.7922485981419222
ACH-000108,-1.2041158639911729
ACH-000113,-0.9902394159061232
ACH-000116,-0.910555791589816
ACH-000118,-1.0591615562325198
ACH-000120,-0.7544243428714709
ACH-000123,-0.9769801246525138
ACH-000127,-0.9187038173412192
ACH-000128,-1.0215631710137525
ACH-000132,-1.123256677568041
ACH-000133,-0.9286076979449758
ACH-000137,-1.196052836004982
ACH-000138,-0.7262586091629374
ACH-000142,-0.7048460789604261
ACH-000143,-0.943930964552798
ACH-000146,-0.9959103496501768
ACH-000148,-0.7675601789514448
ACH-000150,-0.9937104637548632
ACH-000152,-0.8855141300475878
ACH-000153,-0.6770427793555625
ACH-000159,-0.781356108473103
ACH-000160,-0.7329817202087651
ACH-000163,-0.7282778316176414
ACH-000167,-0.5560978361289953
ACH-000168,-0.8868504635254806
ACH-000169,-0.9372220101551838
ACH-000178,-0.8581426261081735
ACH-000183,-0.9021142842898896
ACH-000188,-0.8537825512446551
ACH-000189,-0.9044863558728692
ACH-000190,-0.3661918004006559
ACH-000198,-0.9995703086950624
ACH-000203,-0.8313641891801923
ACH-000204,-0.6905574868589143
ACH-000206,-1.0207748429020755
ACH-000207,-1.1632109339920282
ACH-000208,-1.080945305756703
ACH-000210,-0.8720594461058895
ACH-000211,-1.0828262516299805
ACH-000215,-0.8450521827101474
ACH-000221,-1.0636659392277636
ACH-000222,-0.9129210176706526
ACH-000223,-1.0329677331000828
ACH-000226,-0.8216241669986529
ACH-000227,-0.41478666194519903
ACH-000228,-1.002400885388925
ACH-000231,-1.1751954377893885
ACH-000232,-1.1478758193406269
ACH-000233,-0.8831147900079099
ACH-000234,-0.7820910825946573
ACH-000235,-1.0097499722794478
ACH-000237,-1.1547923889461362
ACH-000238,-0.8249990339213249
ACH-000242,-1.0195219721705555
