,GRIN2D (2906)
ACH-000004,-0.05680156295213103
ACH-000005,-0.26450812655029576
ACH-000007,-0.2918910096795874
ACH-000009,-0.356248681603901
ACH-000011,-0.17233338630930306
ACH-000012,-0.22163116428982074
ACH-000013,-0.2945586160169858
ACH-000014,-0.2546952986826581
ACH-000015,-0.1857539197677812
ACH-000017,-0.186593273438998
ACH-000018,-0.11226884607985664
ACH-000019,-0.16784743060442633
ACH-000021,-0.18177863311630088
ACH-000022,-0.3099619947365265
ACH-000025,0.03904829643071756
ACH-000028,-0.1815894759922274
ACH-000030,-0.17834262300318549
ACH-000035,-0.06076926865139585
ACH-000036,-0.033326880745076316
ACH-000037,-0.15500201404124558
ACH-000039,-0.16794683844160324
ACH-000040,-0.11191705673585453
ACH-000041,-0.15511246096495346
ACH-000042,-0.12636965247551865
ACH-000045,-0.2000884973611404
ACH-000047,-0.15996560152570752
ACH-000052,-0.1909466710781827
ACH-000053,-0.09728328433373286
ACH-000054,-0.12376953245319415
ACH-000055,-0.3149259708325833
ACH-000060,-0.07647427615658431
ACH-000067,-0.17660468891838593
ACH-000070,-0.1400214175582967
ACH-000075,-0.2699542860067284
ACH-000078,-0.15246152641688174
ACH-000082,-0.1265614929664128
ACH-000085,-0.062392915701782826
ACH-000086,-0.294097466616911
ACH-000087,-0.3252243905866504
ACH-000092,-0.1196291124499563
ACH-000095,-0.18494792115714176
ACH-000097,-0.22394306989210436
ACH-000098,-0.22462102153158806
ACH-000099,-0.2041766168092396
ACH-000108,-0.17014890841316035
ACH-000113,-0.10803786139462193
ACH-000116,-0.2467179894323284
ACH-000118,-0.09086756913793212
ACH-000120,-0.2688544421913965
ACH-000123,-0.2302199669848111
ACH-000127,-0.1597647126383371
ACH-000128,-0.1026666569594628
ACH-000132,-0.07662695710466846
ACH-000133,-0.27422947214322346
ACH-000137,-0.22612723761324546
ACH-000138,-0.19967292078865936
ACH-000142,-0.23581175618425396
ACH-000143,-0.14676511384980226
ACH-000146,-0.1978380450063556
ACH-000148,-0.13715698701895726
ACH-000150,-0.09142664458889654
ACH-000152,-0.14259512671580993
ACH-000153,-0.28117714567725405
ACH-000159,-0.20234555633940213
ACH-000160,-0.2316073148980429
ACH-000163,-0.09805263051825863
ACH-000167,-0.2911986025539617
ACH-000168,-0.2061506216298467
ACH-000169,-0.16475682340932965
ACH-000178,-0.05483353606017653
ACH-000183,-0.2091760227288707
ACH-000188,-0.1170757805984959
ACH-000189,-0.2096330886627944
ACH-000190,-0.21249348864028186
ACH-000198,-0.26723808699081
ACH-000203,-0.5332337181721639
ACH-000204,-0.3800568324217895
ACH-000206,-0.08561539149421064
ACH-000207,-0.11850126871402765
ACH-000208,-0.011900702324836568
ACH-000210,-0.16704987485924627
ACH-000211,-0.2198191992606827
ACH-000215,-0.16898880152822315
ACH-000221,-0.22414174342469564
ACH-000222,-0.13317249648146864
ACH-000223,-0.13886774282710626
ACH-000226,-0.18082523715705
ACH-000227,-0.16536422457249472
ACH-000228,-0.3353631466261012
ACH-000231,-0.12420779671748244
ACH-000232,-0.1520809789367462
ACH-000233,-0.15333488929711414
ACH-000234,-0.12476166925157688
ACH-000235,-0.1502995205029239
ACH-000237,-0.26901195322804594
ACH-000238,-0.045635071191473114
ACH-000242,-0.3173277113964842
ACH-000243,-0.1313872542826866
ACH-000244,-0.013943737532906696
ACH-000246,-0.22855920971597865
ACH-000248,-0.061049413214500935
ACH-000250,-0.17677031009513924
ACH-000251,-0.1605766792197917
ACH-000252,-0.527720016315949
ACH-000253,-0.12423692993962165
ACH-000255,-0.18207349639642026
ACH-000256,-0.09739557652002194
ACH-000257,-0.019494010572530317
ACH-000258,-0.2051205871821201
ACH-000259,-0.2762604849916269
ACH-000260,-0.13832890462239078
ACH-000261,-0.227337449632653
ACH-000262,-0.25855061353112946
ACH-000263,-0.10293583704977304
ACH-000264,-0.11064866408101703
ACH-000265,-0.1814793894719647
ACH-000266,-0.1785476298425205
ACH-000272,-0.13168315616735335
ACH-000274,-0.21138828359523631
ACH-000277,-0.1805764579359772
ACH-000278,-0.2499487879438048
ACH-000279,-0.20407073094597195
ACH-000280,-0.2527939078694057
ACH-000281,-0.0525551313322638
ACH-000288,-0.12758420585554348
ACH-000291,-0.2980967057154218
ACH-000293,-0.10699100587430528
ACH-000294,-0.5372630116638658
ACH-000295,-0.028733034899134337
ACH-000296,-0.25153276622527176
ACH-000302,-0.3702425883584177
ACH-000304,-0.2040641867390965
ACH-000307,-0.08294892379644933
ACH-000308,-0.23809617826931825
ACH-000310,-0.14669790544247766
ACH-000311,-0.2587188631772067
ACH-000312,-0.2135378936420176
ACH-000315,0.2151210992129529
ACH-000316,-0.03520501278789887
ACH-000317,-0.16843105488941496
ACH-000318,-0.1277247360444005
ACH-000319,-0.2511833196165798
ACH-000320,-0.13807419145678948
ACH-000322,-0.09072177868445527
ACH-000323,-0.018975128154789
ACH-000324,-0.11585004715292285
ACH-000329,-0.196791099699366
ACH-000330,-0.1923166327932253
ACH-000331,-0.18983913507045813
ACH-000332,-0.18086822335408745
ACH-000334,-0.2750946237311804
ACH-000335,-0.384904210423877
ACH-000336,-0.03061268938344368
ACH-000337,-0.17013175074351086
ACH-000338,-0.3519312836526897
ACH-000339,-0.1696749150787792
ACH-000341,-0.12962240096135882
ACH-000348,-0.16028903752849186
ACH-000350,-0.2521190305796677
ACH-000352,-0.22935505251710306
ACH-000356,-0.3211314406062893
ACH-000361,-0.2298491157517943
ACH-000362,-0.12575711778287665
ACH-000363,-0.20827972333817887
ACH-000364,-0.2047109965623445
ACH-000365,-0.07365819438945326
ACH-000366,-0.3488660557327104
ACH-000368,-0.19348330495644145
ACH-000374,-0.007785581669320301
ACH-000375,-0.1944797500834495
ACH-000376,-0.20441746790917595
ACH-000381,-0.2128334666822352
ACH-000383,-0.23371608336265215
ACH-000387,-0.0798913113368427
ACH-000389,-0.2964876056412032
ACH-000390,-0.26279339467827
ACH-000393,-0.30189004306816336
ACH-000395,-0.2636948728178085
ACH-000396,0.07424498171788986
ACH-000397,-0.2659191448669944
ACH-000401,-0.1344092392016608
ACH-000402,0.11988754548049654
ACH-000403,-0.2626892238024347
ACH-000404,-0.062228657245521124
ACH-000406,-0.1303344307585126
ACH-000407,-0.08527348084648008
ACH-000408,-0.10741655816693008
ACH-000410,-0.11755229902160035
ACH-000411,-0.2486454057846643
ACH-000414,-0.1878553123575298
ACH-000415,-0.07712477375807694
ACH-000416,-0.13453351999541466
ACH-000420,-0.14180120239614294
ACH-000421,-0.15917694775907276
ACH-000424,-0.029470236766075457
ACH-000425,-0.12941369318830054
ACH-000426,-0.03881492871775452
ACH-000427,-0.192474073198394
ACH-000433,-0.13489346252191606
ACH-000435,-0.023452237816524838
ACH-000436,-0.07260783290633392
ACH-000444,-0.17451503715643735
ACH-000445,-0.22535299112739
ACH-000448,-0.16061299398835818
ACH-000450,-0.13226927888302595
ACH-000452,-0.17130785674898466
ACH-000454,-0.08687711882576214
ACH-000458,-0.3387617444340153
ACH-000459,-0.2337964342138361
ACH-000460,-0.19237957269485556
ACH-000461,-0.17379124557815387
ACH-000463,-0.21073397288636664
ACH-000464,-0.22646833860794105
ACH-000466,-0.19201532783919067
ACH-000467,-0.11452906713522837
ACH-000468,-0.1944617602670716
ACH-000469,-0.21499095457424114
ACH-000470,-0.04983691924433487
ACH-000471,-0.14129289757702584
ACH-000472,-0.2445264775903497
ACH-000473,-0.23095860050477535
ACH-000475,-0.12098133620718085
ACH-000476,-0.21935616396387325
ACH-000477,-0.24173137091014374
ACH-000479,0.07951626529578311
ACH-000480,-0.10424343750446737
ACH-000481,-0.15363071811059045
ACH-000483,-0.21286544688454234
ACH-000484,-0.180529568044512
ACH-000485,-0.19648832592034268
