,PA2G4 (5036)
ACH-000004,-0.2629698623353909
ACH-000005,-0.546280713465156
ACH-000007,-0.2780100336096291
ACH-000009,-0.28850779857548536
ACH-000011,-0.2641504872436023
ACH-000012,-0.22313464492726365
ACH-000013,-0.3104038121122201
ACH-000014,-0.30648009927706665
ACH-000015,-0.4336017492872859
ACH-000017,-0.24051369882168824
ACH-000018,-0.3740342532588297
ACH-000019,-0.3525294055860408
ACH-000021,-0.298907444209352
ACH-000022,-0.22952544334876696
ACH-000025,-0.3081025177767168
ACH-000028,-0.18673908558971564
ACH-000030,-0.3726648733675328
ACH-000035,-0.31220974284362496
ACH-000036,-0.36936002549313823
ACH-000037,-0.4235700518455941
ACH-000039,-0.3456261388726541
ACH-000040,-0.41985646001151933
ACH-000041,-0.2977440435337939
ACH-000042,-0.29136946798473434
ACH-000045,-0.13322022964174965
ACH-000047,-0.1571401038628452
ACH-000052,-0.2359529170832796
ACH-000053,-0.2385100976198589
ACH-000054,-0.2646710399458481
ACH-000055,-0.4651112613675687
ACH-000060,-0.010210859491773978
ACH-000067,-0.26130073037522905
ACH-000070,-0.24173953857210184
ACH-000075,-0.2693935248746739
ACH-000078,-0.44768176455874015
ACH-000082,-0.2803333848845205
ACH-000085,-0.6714459316743205
ACH-000086,-0.2591847058817716
ACH-000087,-0.31754790668827776
ACH-000092,-0.3122048992906651
ACH-000095,-0.2688445761736426
ACH-000097,-0.32203592614599313
ACH-000098,-0.03002191686361084
ACH-000099,-0.2389681316783513
ACH-000108,-0.2148286715492111
ACH-000113,-0.2379520153109927
ACH-000116,-0.4565813127413133
ACH-000118,-0.2723525346744867
ACH-000120,-0.3923424437102659
ACH-000123,-0.5848007027291653
ACH-000127,-0.4044061271090401
ACH-000128,-0.4634713675230801
ACH-000132,-0.3484506981569995
ACH-000133,-0.2604941313835405
ACH-000137,-0.3800088429007728
ACH-000138,-0.2712422230821183
ACH-000142,0.032527325667270915
ACH-000143,-0.5797362934986279
ACH-000146,-0.35222621707604496
ACH-000148,-0.3745545830355801
ACH-000150,-0.2472867008710655
ACH-000152,-0.4483910335671748
ACH-000153,-0.2784531731995585
ACH-000159,-0.1392683471883935
ACH-000160,-0.3603449718378913
ACH-000163,-0.3187014965879905
ACH-000167,-0.18706129014393924
ACH-000168,-0.2734712438083248
ACH-000169,-0.32281054982265445
ACH-000178,-0.2605915241650167
ACH-000183,-0.3061606311554235
ACH-000188,-0.3001947172051767
ACH-000189,-0.4419678750214312
ACH-000190,-0.2594721129981307
ACH-000198,-0.1993074852689312
ACH-000203,0.05268118352026381
ACH-000204,-0.30555409955091545
ACH-000206,-0.3021608328967836
ACH-000207,-0.2455292928456645
ACH-000208,-0.19935647350980268
ACH-000210,-0.4535082579007254
ACH-000211,-0.14079766200291025
ACH-000215,-0.14953148437723185
ACH-000221,-0.2871114609264008
ACH-000222,-0.031627771875374334
ACH-000223,-0.2910374130435814
ACH-000226,-0.14589822903940056
ACH-000227,-0.140390774532322
ACH-000228,-0.18017126631930325
ACH-000231,-0.2885126854017323
ACH-000232,-0.5013840852441093
ACH-000233,-0.24249526276969624
ACH-000234,-0.3035275079890129
ACH-000235,-0.27940903251300525
ACH-000237,-0.507883026672821
ACH-000238,-0.292967677306683
ACH-000242,-0.018082104856992184
ACH-000243,-0.3268081833649813
ACH-000244,-0.5530733556844575
ACH-000246,-0.3879404351205021
ACH-000248,-0.17739433875182214
ACH-000250,-0.1755937940778341
ACH-000251,-0.4347286087992963
ACH-000252,-0.1897822878225972
ACH-000253,-0.3349512942239297
ACH-000255,-0.2995402836808493
ACH-000256,-0.5035091530576119
ACH-000257,-0.18449453312854186
ACH-000258,-0.13144610209681126
ACH-000259,-0.2147396288721628
ACH-000260,-0.4241167538869501
