,NSF (4905)
ACH-000004,-1.146387279458688
ACH-000005,-1.0785518059854993
ACH-000007,-1.1988625022186354
ACH-000009,-1.2113572218857631
ACH-000011,-1.1033439832130456
ACH-000012,-1.4453279819814544
ACH-000013,-1.1040128988785345
ACH-000014,-1.1597364677698054
ACH-000015,-1.1638307566023305
ACH-000017,-1.2477444784558784
ACH-000018,-0.9986672752361232
ACH-000019,-1.247503715889436
ACH-000021,-1.1325978031549928
ACH-000022,-1.3616571588113051
ACH-000025,-1.0931781601571378
ACH-000028,-1.1359018094081983
ACH-000030,-1.1754947506876174
ACH-000035,-1.1045903252221776
ACH-000036,-1.0949938278542324
ACH-000037,-1.3294729269936982
ACH-000039,-1.382070394566084
ACH-000040,-0.9363996974701884
ACH-000041,-1.0252697201368035
ACH-000042,-1.1121664166678082
ACH-000045,-0.9685553381169424
ACH-000047,-1.1716950795082481
ACH-000052,-1.1405621337097192
ACH-000053,-1.158854599059635
ACH-000054,-1.013899857076617
ACH-000055,-0.9098076337787304
ACH-000060,-0.931033095859236
ACH-000067,-0.9737914074013192
ACH-000070,-1.186371242799936
ACH-000075,-1.1278058206127357
ACH-000078,-1.1416546032977888
ACH-000082,-1.1029995971257671
ACH-000085,-1.5018254589222346
ACH-000086,-1.2704096328598469
ACH-000087,-1.1405847687407265
ACH-000092,-1.0772671440131336
ACH-000095,-1.091199008422754
ACH-000097,-1.0588165725390326
ACH-000098,-1.183598594310329
ACH-000099,-1.0879448842598654
ACH-000108,-1.1802760466714848
ACH-000113,-1.0970986349033418
ACH-000116,-1.02047670666612
ACH-000118,-0.8470903582308319
ACH-000120,-1.1174940989299935
ACH-000123,-1.0876015922854554
ACH-000127,-1.1235408452128357
ACH-000128,-0.8125689545939127
ACH-000132,-1.1072706878939411
ACH-000133,-1.0934223323601129
ACH-000137,-1.2823807471506865
ACH-000138,-1.04308190771663
ACH-000142,-1.1531906577851343
ACH-000143,-1.3348870823375774
ACH-000146,-1.1927206210251422
ACH-000148,-1.2343095471348868
ACH-000150,-1.1114404415124506
ACH-000152,-1.247925183989561
ACH-000153,-1.234714936364545
ACH-000159,-1.1951303410375036
ACH-000160,-1.2917559291405605
ACH-000163,-1.2028780563687085
ACH-000167,-1.4442591734404442
ACH-000168,-1.138426555918972
ACH-000169,-1.0468126310698886
ACH-000178,-0.9878879291213531
ACH-000183,-1.19628691700501
ACH-000188,-0.8096376593489419
ACH-000189,-1.238678289122092
ACH-000190,-1.0983367104493733
ACH-000198,-1.215344046105848
ACH-000203,-0.8999804812012302
ACH-000204,-1.361784609416568
ACH-000206,-1.222359397364141
ACH-000207,-1.3402705931537755
ACH-000208,-0.9803480488788204
ACH-000210,-1.339411952074508
ACH-000211,-0.944379907946096
ACH-000215,-1.1129973565374014
ACH-000221,-1.2010525773635303
ACH-000222,-1.3123936464721035
ACH-000223,-1.3540505658362934
ACH-000226,-1.03072920827226
ACH-000227,-1.1872022097076542
ACH-000228,-1.194346509381294
ACH-000231,-1.1884218295731341
ACH-000232,-1.0678966764128042
ACH-000233,-1.0513299390931423
ACH-000234,-0.9035616085065408
ACH-000235,-1.1077615541032195
ACH-000237,-1.1153835703425672
ACH-000238,-1.406887938432699
ACH-000242,-1.0893007896286042
ACH-000243,-1.1006299531969908
ACH-000244,-0.9659442063758544
ACH-000246,-1.0571992739494571
ACH-000248,-1.1778411632044834
ACH-000250,-1.1099064773378629
ACH-000251,-0.6548114044851857
ACH-000252,-1.1020554911719924
ACH-000253,-0.9059202393142118
ACH-000255,-1.2024968485503635
ACH-000256,-1.3410906087866459
ACH-000257,-1.3134841395347416
ACH-000258,-0.8767047773301727
ACH-000259,-1.2141541434264878
ACH-000260,-1.098004415752922
ACH-000261,-0.9487837442117892
ACH-000262,-1.1182553310079704
ACH-000263,-1.0994721442259752
ACH-000264,-1.3724263677512492
ACH-000265,-1.051273070300027
ACH-000266,-1.0402517369265298
ACH-000272,-0.8278263129037431
ACH-000274,-1.1142695490560857
ACH-000277,-1.2027700083732409
ACH-000278,-0.9228556162083106
ACH-000279,-1.3547165634038094
ACH-000280,-0.893946709758526
ACH-000281,-1.0467210388535646
ACH-000288,-1.247161698012912
ACH-000291,-0.8598639739457664
ACH-000293,-1.1686279745362482
ACH-000294,-1.25888208735512
ACH-000295,-1.29433274469451
ACH-000296,-1.1685149219608446
ACH-000302,-1.113104911779377
ACH-000304,-1.0528932093068553
ACH-000307,-1.013573111948729
ACH-000308,-1.1836154333607198
ACH-000310,-0.8619735423859828
ACH-000311,-1.0285913785133798
ACH-000312,-1.1892445942324934
ACH-000315,-1.7266222000382734
ACH-000316,-1.1138803547435585
ACH-000317,-1.2346004057828914
ACH-000318,-1.1073977237195662
ACH-000319,-1.297919135640643
ACH-000320,-1.0902581138215208
ACH-000322,-0.9863796133719124
ACH-000323,-1.4401038624658962
ACH-000324,-1.1463491861275783
ACH-000329,-1.1400008878467969
ACH-000330,-1.3897448720916556
ACH-000331,-1.1229539870516307
ACH-000332,-0.9951888590779938
ACH-000334,-1.3546308783392804
ACH-000335,-1.1969818387151812
ACH-000336,-1.1824910717152115
ACH-000337,-1.1935889485583937
ACH-000338,-1.4471997097729554
ACH-000339,-1.063379021291332
ACH-000341,-1.2708687830143592
ACH-000348,-1.2480709423631309
ACH-000350,-0.8406700468197472
ACH-000352,-1.1189578289659121
ACH-000356,-1.2257053920827086
ACH-000361,-1.3096639751825974
ACH-000362,-1.1930864612610006
