,PDE6D (5147)
ACH-000004,-0.08916167439775398
ACH-000005,0.07578268013789947
ACH-000007,-0.0904150891649712
ACH-000009,-0.09965081331247863
ACH-000011,-0.17177198031788926
ACH-000012,-0.13571719795699114
ACH-000013,-0.10520996947853943
ACH-000014,-0.11455672190895558
ACH-000015,-0.19421603587351066
ACH-000017,-0.0678956392058703
ACH-000018,-0.1642722149447222
ACH-000019,-0.20817365174024988
ACH-000021,-0.0736438915335305
ACH-000022,-0.13973952538151935
ACH-000025,0.012662351236935872
ACH-000028,-0.06146055301528126
ACH-000030,-0.15391746249070984
ACH-000035,0.06867488701369492
ACH-000036,0.02737742797613975
ACH-000037,-0.14113266304297195
ACH-000039,-0.15544960736378055
ACH-000040,-0.0562041406541629
ACH-000041,-0.015692138959637583
ACH-000042,-0.212669617784708
ACH-000045,-0.12675350774851207
ACH-000047,-0.09223074967900474
ACH-000052,-0.07196417072529769
ACH-000053,-0.03314224159467481
ACH-000054,-0.15260524156952082
ACH-000055,-0.12267822735559768
ACH-000060,-0.1179291265745142
ACH-000067,-0.2100293615636979
ACH-000070,-0.08677634834114457
ACH-000075,0.04158508110343077
ACH-000078,-0.0670898822493561
ACH-000082,-0.09986665678521794
ACH-000085,-0.1561027427572656
ACH-000086,0.013652141166037373
ACH-000087,-0.045808834895593634
ACH-000092,-0.0950986569094382
ACH-000095,-0.03965501808712919
ACH-000097,-0.12558321349976004
ACH-000098,-0.21439058149583384
ACH-000099,-0.15318177965757726
ACH-000108,-0.27392009378876075
ACH-000113,-0.047344912952952345
ACH-000116,0.054886123216385765
ACH-000118,-0.004557768910984549
ACH-000120,-0.09423042165528836
ACH-000123,-0.12483397251106397
ACH-000127,-0.07364446368142841
ACH-000128,-0.08126746384360235
ACH-000132,-0.15123206317846488
ACH-000133,-0.14766008700530364
ACH-000137,-0.18258057697818236
ACH-000138,-0.15883394717901264
ACH-000142,-0.02928698444639998
ACH-000143,-0.02836651063349885
ACH-000146,-0.07890881961048705
ACH-000148,-0.08915680840206762
ACH-000150,-0.29993967325987714
ACH-000152,-0.11789529388366643
ACH-000153,-0.3287246902028049
ACH-000159,-0.1100527104288778
ACH-000160,-0.15234029155846085
ACH-000163,-0.28899693340171445
ACH-000167,0.0003226477979549852
ACH-000168,-0.09337072186522867
ACH-000169,-0.11601231051235082
ACH-000178,-0.06910440146670589
ACH-000183,-0.1542810347768525
ACH-000188,-0.18517123609428826
ACH-000189,-0.3527096645347823
ACH-000190,-0.23857297284046136
ACH-000198,-0.19668903023563106
ACH-000203,-0.2604172836860182
ACH-000204,-0.21674235330758052
ACH-000206,-0.02070051472923825
ACH-000207,0.08545061274301785
ACH-000208,0.03651968422624418
ACH-000210,-0.13704572461064007
ACH-000211,-0.12878274097927822
ACH-000215,-0.15296584683948902
ACH-000221,0.06312405534295364
ACH-000222,-0.17925938564073454
ACH-000223,-0.07267932206798282
ACH-000226,-0.15019662045319118
ACH-000227,-0.12797488999228196
ACH-000228,-0.05501860801687166
ACH-000231,-0.06320733398511877
ACH-000232,0.005568453083637873
ACH-000233,-0.10050048439120372
ACH-000234,-0.3611249522757909
ACH-000235,-0.13973735933466694
ACH-000237,-0.1626744931974434
ACH-000238,-0.14608587418038615
ACH-000242,-0.4399966086608689
ACH-000243,-0.19167848333854712
ACH-000244,0.10242324066248104
ACH-000246,-0.1101311044722694
ACH-000248,0.06943422998502315
ACH-000250,-0.2338353866463905
ACH-000251,-0.05579156284253317
ACH-000252,-0.09729286290360782
ACH-000253,-0.17711408810081894
ACH-000255,-0.07961777569561496
ACH-000256,-0.18420358615768864
ACH-000257,0.19562549561464354
