,DMBT1 (1755)
ACH-000004,-0.15425934157699858
ACH-000005,0.046774457784936135
ACH-000007,-0.17889775858942758
ACH-000009,-0.08581295537741257
ACH-000011,-0.14238436430182932
ACH-000012,-0.008934535596732861
ACH-000013,-0.008907981187459947
ACH-000014,0.0332431744419699
ACH-000015,-0.01425315571863986
ACH-000017,0.01957394877742381
ACH-000018,-0.07715602405483185
ACH-000019,0.019476288600043426
ACH-000021,0.14816415994030951
ACH-000022,-0.08121132184031749
ACH-000025,-0.07750993456714128
ACH-000028,0.0623467791030244
ACH-000030,0.013038842345721445
ACH-000035,0.2278405829132473
ACH-000036,0.016395534155195797
ACH-000037,-0.04907915582129836
ACH-000039,-0.02836165527331105
ACH-000040,-0.16017522940563297
ACH-000041,0.10735225278961276
ACH-000042,-0.03808229023770124
ACH-000045,-0.18263670640773247
ACH-000047,0.17153263038371452
ACH-000052,-0.044014595869476016
ACH-000053,-0.057016569204722235
ACH-000054,-0.13669808393548302
ACH-000055,0.2143817570422608
ACH-000060,-0.12395861376720295
ACH-000067,-0.00924838642639243
ACH-000070,-0.11078470812424578
ACH-000075,0.060964458911356635
ACH-000078,-0.3505281555730779
ACH-000082,0.05007550916790092
ACH-000085,-0.028067732091453503
ACH-000086,-0.01970379753856049
ACH-000087,-0.15476638228359585
ACH-000092,0.0995083279461999
ACH-000095,-0.13303669055739242
ACH-000097,-0.09097665094638424
ACH-000098,0.10958980314708383
ACH-000099,-0.23997078634178234
ACH-000108,-0.0763912430489494
ACH-000113,-0.13550347644191124
ACH-000116,-0.009462716001003587
ACH-000118,0.03809092925627984
ACH-000120,0.19112926349038054
ACH-000123,0.059115681996910474
ACH-000127,-0.08399685643513592
ACH-000128,-0.17376927285430208
ACH-000132,-0.13384934396114634
ACH-000133,0.021456965136290054
ACH-000137,-0.006089557627161028
ACH-000138,0.032877757800611286
ACH-000142,-0.0046634781311879064
ACH-000143,0.07614605332865193
ACH-000146,-0.07981351617184687
ACH-000148,-0.13535957427406814
ACH-000150,0.020944805557458708
ACH-000152,-0.04285993383693742
ACH-000153,0.020524555656075347
ACH-000159,-0.07682307592959511
ACH-000160,0.062438528254030436
ACH-000163,0.03108410034776242
ACH-000167,-0.6049112043781977
ACH-000168,-0.23794045724576154
ACH-000169,-0.313559715171544
ACH-000178,-0.15502829964118536
ACH-000183,0.10400644537739814
ACH-000188,-0.0957505705621212
ACH-000189,-0.2536543751432801
ACH-000190,0.03470218555023112
ACH-000198,-0.21614691840266614
ACH-000203,-0.3946901414750251
ACH-000204,-0.20521296859116545
ACH-000206,-0.2496024263967588
ACH-000207,-0.04870205378939158
ACH-000208,0.01419721026629139
ACH-000210,0.08723593723355692
ACH-000211,-0.09251996569336488
ACH-000215,-0.1376088983871386
ACH-000221,0.06337738935359062
ACH-000222,0.1256693345403155
ACH-000223,-0.02450506963522492
ACH-000226,0.18268717552881136
ACH-000227,-0.08431814855063331
ACH-000228,-0.02772636943770749
ACH-000231,-0.03796570569108718
ACH-000232,0.004446963020145568
ACH-000233,0.017179016039663954
ACH-000234,0.0089269333632293
ACH-000235,0.0116651130900934
ACH-000237,-0.1464930890743624
ACH-000238,-0.058245038206148826
ACH-000242,0.027071041832786764
ACH-000243,-0.03853436593433583
ACH-000244,-0.1325483702398656
