,ILK (3611)
ACH-000004,-0.12489651101748485
ACH-000005,-0.33914219924604905
ACH-000007,-0.6390008124075977
ACH-000009,-0.5676227684321999
ACH-000011,-0.969771207339315
ACH-000012,-0.3666989499512957
ACH-000013,-0.2415348695580511
ACH-000014,-0.3686294150759924
ACH-000015,-0.3388006764249152
ACH-000017,-0.30155266846080325
ACH-000018,-0.6477905986689754
ACH-000019,-0.21777692035514493
ACH-000021,-0.4246307452599213
ACH-000022,-0.2500985734751274
ACH-000025,-0.7934029901380844
ACH-000028,-0.2952858171746425
ACH-000030,-0.7999244626991681
ACH-000035,-0.6568183262127213
ACH-000036,-0.6388441419093865
ACH-000037,-0.054101120370277485
ACH-000039,-0.21086090453920195
ACH-000040,-0.6438888672226303
ACH-000041,-0.17891574643050326
ACH-000042,-0.2939879873378373
ACH-000045,-0.17211876934279002
ACH-000047,-0.6794188363484346
ACH-000052,-0.3052219485646149
ACH-000053,-0.02362440369978696
ACH-000054,-0.7077845354579565
ACH-000055,0.002340403698642884
ACH-000060,-0.7680838970165309
ACH-000067,-0.41786130028294177
ACH-000070,-0.306846779522375
ACH-000075,-0.5359507567342395
ACH-000078,-0.0015650154402576993
ACH-000082,-0.3065152463158771
ACH-000085,-0.5010012303252559
ACH-000086,-0.26368238840761343
ACH-000087,-0.043637753846491184
ACH-000092,-0.3640564589054241
ACH-000095,-0.07523289428386998
ACH-000097,-0.3184496849733353
ACH-000098,-0.6231732017805259
ACH-000099,-0.11017324050789958
ACH-000108,-0.4229594554519432
ACH-000113,-0.16472424224833168
ACH-000116,-0.47158948143947205
ACH-000118,-0.5941236619018989
ACH-000120,-0.4972077438917397
ACH-000123,-0.13975039898350913
ACH-000127,-0.5767610082031133
ACH-000128,-0.2647380878377263
ACH-000132,-0.6723237490527079
ACH-000133,-0.29990617393070096
ACH-000137,-0.5298243884028502
ACH-000138,-0.6791902882692245
ACH-000142,-0.5059905567572857
ACH-000143,-0.4388336970402334
ACH-000146,0.2279982584222202
ACH-000148,-0.2458483326636744
ACH-000150,-0.3228008646068937
ACH-000152,-0.09372178041617174
ACH-000153,-0.3674552118569096
ACH-000159,-0.2597453247778636
ACH-000160,-0.21734511239079807
ACH-000163,-0.5038110900437095
ACH-000167,-0.6795059429042801
ACH-000168,-0.12578159266802574
ACH-000169,-0.3544224064439491
ACH-000178,-0.4961457477280912
ACH-000183,-0.1360171214116054
ACH-000188,-0.5050844022354439
ACH-000189,-0.7586597017133007
ACH-000190,-0.0017375217709151602
ACH-000198,-0.19076203711022646
ACH-000203,-0.031094890753653882
ACH-000204,-0.18556382065569133
ACH-000206,-0.3136965505980086
ACH-000207,-0.09206808153513424
ACH-000208,-0.1944863022392557
ACH-000210,-0.28650963013071
ACH-000211,-0.13793150032187942
ACH-000215,-0.6120464547117052
ACH-000221,0.05206619714645493
ACH-000222,-0.3528970891852529
ACH-000223,-0.2325779951606033
ACH-000226,-0.21715368089074896
ACH-000227,-0.12878185886848087
ACH-000228,-0.4404474277315088
ACH-000231,-0.2620896176604717
ACH-000232,-0.6073764535759835
ACH-000233,-0.023592524406744652
ACH-000234,-0.20248550013355804
ACH-000235,-0.7536649633752188
ACH-000237,-0.3283755349275394
ACH-000238,-0.02022223213223432
ACH-000242,-0.4561311981510697
ACH-000243,-0.41481001501249903
ACH-000244,-0.5343699820788309
ACH-000246,-0.6993315849919834
ACH-000248,-0.37273717462540495
ACH-000250,-0.24310557761033955
ACH-000251,-0.38970322426684734
ACH-000252,-0.8059449804749701
ACH-000253,-0.19521250779291455
ACH-000255,-0.5601327163427369
ACH-000256,-0.5817729947370749
ACH-000257,-0.3107784823168435
ACH-000258,0.08858911458458127
ACH-000259,-0.3471183808558727
ACH-000260,-0.5113273075079424
ACH-000261,-0.3886351155897518
ACH-000262,-0.31223294371746696
ACH-000263,-0.2284260339714143
ACH-000264,-0.3253675924113488
ACH-000265,-0.3518317420536419
ACH-000266,-0.6204344141131525
ACH-000272,-0.33120785541582104
ACH-000274,-0.4309659588010532
ACH-000277,-0.16440297130646206
ACH-000278,-0.5773258769383197
ACH-000279,-0.1852298368397336
ACH-000280,-0.4428131736632131
ACH-000281,-0.562844805780352
ACH-000288,-0.7086163566076553
ACH-000291,-0.5364156495045345
ACH-000293,-0.3007056894185505
ACH-000294,0.050842661163877416
ACH-000295,-0.3854548615776596
ACH-000296,-0.2838563054453564
ACH-000302,-0.3919719287221407
ACH-000304,-0.29818125508908017
ACH-000307,-0.5077331912770497
ACH-000308,-0.484361837817931
ACH-000310,0.06476426893077593
ACH-000311,-0.5058023949984816
ACH-000312,-0.13580767344279682
ACH-000315,-0.034158130961251004
ACH-000316,-0.5086327338204739
ACH-000317,-0.4787862337483818
ACH-000318,-0.40052298133841374
ACH-000319,-0.4869050556836007
ACH-000320,-0.6200749239698987
ACH-000322,-0.5886051190558729
ACH-000323,-0.4427572981070497
ACH-000324,-0.5107483820068834
ACH-000329,-0.21688759983740127
ACH-000330,-0.3975654200153689
ACH-000331,-0.7764153953468821
ACH-000332,-0.7008871863144083
ACH-000334,-0.3253953318984949
ACH-000335,-0.3027147392886678
ACH-000336,-0.4048946692199787
ACH-000337,-0.14559061080632688
ACH-000338,-0.6885897432046489
ACH-000339,-0.6317453124821623
ACH-000341,-0.2372371086726945
ACH-000348,-0.5323075240890863
ACH-000350,-0.17589084492794752
ACH-000352,-0.11372798345387153
ACH-000356,-0.5410262379937347
ACH-000361,-0.2995697126821961
ACH-000362,-0.12649764195469354
ACH-000363,-0.0268072380829813
ACH-000364,-0.6705793494742442
ACH-000365,-0.11503796445167555
ACH-000366,-0.015381256020411441
ACH-000368,-0.542940171985659
ACH-000374,-0.1693806168843703
