,SDSL (113675)
ACH-000004,-0.1349760249520783
ACH-000005,0.13329499213472604
ACH-000007,0.15314172449404062
ACH-000009,-0.08600152214258099
ACH-000011,-0.1033288101004655
ACH-000012,-0.010846664888688243
ACH-000013,-0.04778300372440746
ACH-000014,-0.1578833808311938
ACH-000015,-0.051693986993541684
ACH-000017,-0.0982417011716834
ACH-000018,-0.06318272942012579
ACH-000019,-0.15229428873102244
ACH-000021,-0.11316186221577484
ACH-000022,-0.006213202078456543
ACH-000025,-0.07378312982038421
ACH-000028,0.10819579342785936
ACH-000030,0.0596002900855791
ACH-000035,0.0026852713505442142
ACH-000036,-0.02162018303441269
ACH-000037,-0.15444862132775852
ACH-000039,-0.09300298567012803
ACH-000040,-0.062290483447353974
ACH-000041,-0.14916183282235307
ACH-000042,-0.2470828818602305
ACH-000045,-0.035953670007392934
ACH-000047,-0.14820585603552994
ACH-000052,-0.1674579922432761
ACH-000053,-7.245467594280133e-06
ACH-000054,-0.1494089275451885
ACH-000055,-0.11333710571362095
ACH-000060,-0.05772903931438375
ACH-000067,-0.2676971673727312
ACH-000070,0.03753756383474018
ACH-000075,0.10067365595748383
ACH-000078,0.0822394160271443
ACH-000082,-0.08846904674494144
ACH-000085,-0.10720585471190576
ACH-000086,-0.09308392058001157
ACH-000087,0.08447853113790091
ACH-000092,-0.13422805279897915
ACH-000095,-0.02701424296873076
ACH-000097,-0.05356742127286597
ACH-000098,-0.09078327335339352
ACH-000099,0.12032155876351593
ACH-000108,-0.10996979518446763
ACH-000113,0.004887996509188768
ACH-000116,-0.01490224281387516
ACH-000118,-0.14394638275830038
ACH-000120,-0.040006403933304666
ACH-000123,-0.020841146537715183
ACH-000127,0.009590227805316362
ACH-000128,-0.13501790084769486
ACH-000132,0.06329949496411587
ACH-000133,-0.08986215354957346
ACH-000137,0.06256779165354917
ACH-000138,-0.04726051840250448
ACH-000142,0.08111461096224228
ACH-000143,0.02733408280669816
ACH-000146,0.07742066136156568
ACH-000148,-0.0734026170766646
ACH-000150,-0.2415972355905177
ACH-000152,-0.12740696896065146
ACH-000153,-0.11201925303196254
ACH-000159,-0.05807938917936518
ACH-000160,-0.11822563811492873
ACH-000163,-0.11085730983685403
ACH-000167,0.3942542522148451
ACH-000168,-0.0384412340581994
ACH-000169,0.15340096077672224
ACH-000178,-0.03891953373705567
ACH-000183,0.04408092019452749
ACH-000188,-0.026424760160366104
ACH-000189,0.06132118361877122
ACH-000190,-0.03577174799018976
ACH-000198,-0.08153876807591759
ACH-000203,-0.039729008124576734
ACH-000204,-0.046319082654039036
ACH-000206,-0.05350110455034302
ACH-000207,-0.06753224026541943
ACH-000208,-0.03188445096817873
ACH-000210,0.07080646523268941
ACH-000211,-0.04522782760053642
ACH-000215,-0.06937500605581308
ACH-000221,0.172312303798028
ACH-000222,-0.09961816603196337
ACH-000223,-0.030951441185341117
ACH-000226,-0.00022322490375952637
ACH-000227,-0.1137936664669951
ACH-000228,-0.13227962842820154
ACH-000231,-0.1052674034874289
ACH-000232,-0.04593179945337096
ACH-000233,-0.010869903962498926
ACH-000234,0.008035060062092142
ACH-000235,-0.11620862855411525
ACH-000237,-0.15804258421878384
ACH-000238,-0.23586202729414316
ACH-000242,-0.5611986676532444
ACH-000243,-0.07941415961292507
ACH-000244,-0.06916479694822404
ACH-000246,0.07666608849068501
ACH-000248,-0.03520688490269528
ACH-000250,-0.03609453054594925
ACH-000251,-0.10039992050376688
ACH-000252,0.002315093564892238
ACH-000253,-0.03055808039697181
ACH-000255,0.11861539717742715
ACH-000256,-0.002671524875800457
ACH-000257,0.03640193229624606
ACH-000258,0.03438987562174549
ACH-000259,-0.016251581719353824
ACH-000260,-0.01809453996340131
ACH-000261,-0.08855990389022945
ACH-000262,-0.12185186233746295
ACH-000263,-0.13206300369827814
ACH-000264,-0.17131057845460726
ACH-000265,-0.02153612721281312
ACH-000266,-0.1052993559090021
ACH-000272,0.0201945238859704
ACH-000274,-0.0694867396394252
ACH-000277,-0.07240710648669887
