,MBTPS1 (8720)
ACH-000004,-0.8953042475652095
ACH-000005,-0.6836853941275617
ACH-000007,-0.6788209530332671
ACH-000009,-0.6526569856682436
ACH-000011,-0.7496180293843635
ACH-000012,-0.7386070344395803
ACH-000013,-0.4887318764734005
ACH-000014,-0.940644663043395
ACH-000015,-0.7304527157571651
ACH-000017,-0.5886302539969464
ACH-000018,-0.8361116132416229
ACH-000019,-0.6670096374687577
ACH-000021,-0.6077172533878439
ACH-000022,-0.8469608892466349
ACH-000025,-0.8129100088756022
ACH-000028,-0.4634165993622368
ACH-000030,-0.9309918080980054
ACH-000035,-0.7735547942851076
ACH-000036,-0.595232284041958
ACH-000037,-0.6450656225979525
ACH-000039,-0.6286880170382116
ACH-000040,-0.9305196270602151
ACH-000041,-0.087034466535145
ACH-000042,-0.4270710950907812
ACH-000045,-0.5835917716078433
ACH-000047,-0.6666716534945493
ACH-000052,-0.7761592280745349
ACH-000053,-0.13987801080768128
ACH-000054,-0.8750574100826747
ACH-000055,-0.7177718241478386
ACH-000060,-0.5207837754545522
ACH-000067,-0.7061299566142214
ACH-000070,-0.6267630610572035
ACH-000075,-0.888657816364129
ACH-000078,-0.40528704835461
ACH-000082,-0.4024633964104776
ACH-000085,-0.8167675609751073
ACH-000086,-0.8930286450002808
ACH-000087,-0.4815657807751006
ACH-000092,-0.6710983275391202
ACH-000095,-0.30748622527649555
ACH-000097,-0.7642116608642577
ACH-000098,-1.0819078080878233
ACH-000099,-0.20360864622513067
ACH-000108,-0.7411555469069524
ACH-000113,-0.6113231462734582
ACH-000116,-0.6954160085016966
ACH-000118,-0.7051984346072445
ACH-000120,-0.3685948911387763
ACH-000123,-0.5222960019226385
ACH-000127,-0.7868560170406638
ACH-000128,-0.6862717319772198
ACH-000132,-0.09841502804162776
ACH-000133,-0.7911586569489815
ACH-000137,-0.39876793233310603
ACH-000138,-0.8502786733195432
ACH-000142,-0.8895410587192452
ACH-000143,-0.15545574484449176
ACH-000146,-0.9868860896298548
ACH-000148,-0.5017009280266786
ACH-000150,-0.9636024577275732
ACH-000152,-0.6696818275126638
ACH-000153,-0.6502809911077224
ACH-000159,-0.4542009093297004
ACH-000160,-0.4935662640660073
ACH-000163,-0.7233094622935857
ACH-000167,-0.8287819789366674
ACH-000168,-0.6150440690702802
ACH-000169,-0.8052626739512516
ACH-000178,-0.6470949754990225
ACH-000183,-0.6893097016473001
ACH-000188,-0.3222634294100662
ACH-000189,-0.3847587809403599
ACH-000190,-0.8650848866783319
ACH-000198,-0.44808483579079855
ACH-000203,-0.7715220788353682
ACH-000204,-0.28324250493980435
ACH-000206,-1.1340620039445282
ACH-000207,-0.7096220310317579
ACH-000208,-0.9425981496779492
ACH-000210,-0.6669647364285587
ACH-000211,-0.20929778170015093
ACH-000215,-0.9034228675326916
ACH-000221,-0.6534458702854055
ACH-000222,-0.6492602105093601
ACH-000223,-0.33454645709230496
ACH-000226,-0.407506783678692
ACH-000227,-0.3171724490856281
ACH-000228,-0.1825064791340245
ACH-000231,-0.7407862380437813
ACH-000232,-0.7919336616902737
ACH-000233,-0.3326411295480944
ACH-000234,-0.4746537552655347
ACH-000235,-0.4000158937728231
ACH-000237,-0.5288044379195982
ACH-000238,-0.6858895152671133
ACH-000242,-0.7429860877113778
ACH-000243,-0.6035935315479259
ACH-000244,-0.8950421047101672
ACH-000246,-0.1282935593438544
ACH-000248,-0.9120112958536843
ACH-000250,-0.8441826963107121
ACH-000251,-0.6343282249066122
ACH-000252,-0.869416487443842
ACH-000253,-0.7166858069695323
ACH-000255,-0.8093102402999267
ACH-000256,-0.4369046738861198
ACH-000257,-0.4595365099429003
ACH-000258,-0.9677564110304681
ACH-000259,-0.6438914431542695
ACH-000260,-0.7073515320055581
ACH-000261,-0.17707202405431385
ACH-000262,-0.9086991329107392
ACH-000263,-1.0122145915132694
ACH-000264,-0.1903667608551661
ACH-000265,-0.616494480705587
ACH-000266,-0.7071252897307221
ACH-000272,-0.7612470771380351
ACH-000274,-0.26679126823633315
ACH-000277,-0.5202883677719656
ACH-000278,-0.3173315460462325
ACH-000279,-0.7447890920151603
ACH-000280,-0.3921241283857015
ACH-000281,-0.8270978258728375
ACH-000288,-0.6029102764877159
ACH-000291,-0.8972320351153514
ACH-000293,-0.6017560446289382
ACH-000294,-0.7379573383568789
ACH-000295,-0.6517574635999921
ACH-000296,-0.6433457621105038
ACH-000302,-0.16506245500151073
ACH-000304,-0.4152405175798017
ACH-000307,-0.7890146948620299
ACH-000308,-0.37958613972086425
ACH-000310,-0.09334271738811503
ACH-000311,-0.5433452127085482
ACH-000312,-0.3163159492701214
ACH-000315,-0.4539714912572874
ACH-000316,-0.8732454438517604
ACH-000317,-0.5116496005087283
ACH-000318,-0.6578859444075098
ACH-000319,-0.7850630220385252
ACH-000320,-0.5696145797331713
ACH-000322,-0.6227552921098629
ACH-000323,-0.4067372122365872
ACH-000324,-0.8236469608553434
ACH-000329,-0.5835893526584552
ACH-000330,-0.2988519212056809
ACH-000331,-0.8015778069883961
ACH-000332,-0.5226175479586507
ACH-000334,-0.4621507666257994
ACH-000335,-0.8324405899289086
ACH-000336,-0.22464067929194165
ACH-000337,-1.0514594453652468
ACH-000338,-0.6876637545977824
ACH-000339,-0.4897567734137718
ACH-000341,-0.4646862809249467
ACH-000348,-0.5800253534325844
ACH-000350,-0.2996638220735849
ACH-000352,-0.8093163883022759
ACH-000356,-0.6295793331884051
ACH-000361,-1.0420544374345833
ACH-000362,-0.7103624658824955
ACH-000363,-0.16612492226695044
ACH-000364,-0.34990815817869064
ACH-000365,-0.6435583954206877
ACH-000366,-0.5572317795675531
ACH-000368,-0.8138171853954542
ACH-000374,-0.7492982810076517
ACH-000375,-0.34565532761687184
ACH-000376,-0.7588759014444668
ACH-000381,-0.7397769601025818
ACH-000383,-0.4921173374902813
ACH-000387,-0.7897972599218458
ACH-000389,-0.734770923497675
ACH-000390,-1.01085411493922
ACH-000393,-0.15662167568662932
ACH-000395,-0.6825225629450243
ACH-000396,-0.4262252366063329
ACH-000397,-0.6454157645959349
ACH-000401,-0.6093271934312857
ACH-000402,-0.7527041670708263
ACH-000403,-0.9404288267659414
