,MS4A10 (341116)
ACH-000004,-0.20460789974154608
ACH-000005,-0.05492765309554391
ACH-000007,-0.1191577721499112
ACH-000009,-0.029952086648574468
ACH-000011,-0.11248437355622487
ACH-000012,-0.19359332905709714
ACH-000013,-0.047776234965889036
ACH-000014,0.05625180144310972
ACH-000015,-0.014093992401666415
ACH-000017,-0.2356115067628685
ACH-000018,-0.038091746036249784
ACH-000019,-0.2930304568990826
ACH-000021,-0.16633252247464916
ACH-000022,-0.04310190167840094
ACH-000025,-0.07606086954121646
ACH-000028,-0.20529895045641933
ACH-000030,-0.14610601714620858
ACH-000035,0.08878735971050236
ACH-000036,-0.006203706358309835
ACH-000037,-0.16676070099744808
ACH-000039,-0.0463131159134827
ACH-000040,-0.10597629563756976
ACH-000041,0.014847321937433506
ACH-000042,-0.2278939622115353
ACH-000045,-0.2941601998826054
ACH-000047,-0.09645625538310387
ACH-000052,-0.1561869639464826
ACH-000053,-0.06269754953327679
ACH-000054,-0.03398447564642375
ACH-000055,-0.043882196397767866
ACH-000060,-0.041989431151141614
ACH-000067,0.18165522199527426
ACH-000070,-0.2932550435569766
ACH-000075,-0.04784263016397016
ACH-000078,-0.012243188058999904
ACH-000082,-0.13600594177220413
ACH-000085,-0.0062824982891483494
ACH-000086,-0.18999908741629112
ACH-000087,-0.062145639082819
ACH-000092,-0.18607892155514055
ACH-000095,0.012339460641750745
ACH-000097,-0.15848195004074014
ACH-000098,-0.06610610869473559
ACH-000099,-0.0580733852553481
ACH-000108,-0.12728189506877166
ACH-000113,-0.05421149104097853
ACH-000116,-0.15548181940028408
ACH-000118,-0.2647524094130235
ACH-000120,-0.007997289302264685
ACH-000123,-0.12406702589370674
ACH-000127,-0.0404748959773062
ACH-000128,0.04481399878851023
ACH-000132,-0.07058560604549037
ACH-000133,-0.21706553763920072
ACH-000137,-0.09893739858094174
ACH-000138,-0.21700649826327656
ACH-000142,-0.15928342809147214
ACH-000143,-0.04364220032398562
ACH-000146,-0.05298531090046826
ACH-000148,-0.1352290585671928
ACH-000150,-0.2503355578559951
ACH-000152,-0.10065885320080993
ACH-000153,-0.13694344601688924
ACH-000159,0.02109096257249969
ACH-000160,-0.11505435660887554
ACH-000163,-0.12200378099694653
ACH-000167,-0.11618302891200433
ACH-000168,-0.1109331759254904
ACH-000169,-0.019350282962307525
ACH-000178,-0.07841810594242711
ACH-000183,-0.14370962701814774
ACH-000188,-0.28824346455624794
ACH-000189,-0.4433377022328949
ACH-000190,-0.004032855121425887
ACH-000198,-0.1534592774591058
ACH-000203,0.03602240542071623
ACH-000204,-0.06675436934464675
ACH-000206,-0.1016935405677417
ACH-000207,-0.171384548156732
ACH-000208,0.26268083222153643
ACH-000210,-0.2794943636502808
ACH-000211,-0.10006622443878622
ACH-000215,-0.1112226920349356
ACH-000221,-0.2258292011968201
ACH-000222,-0.04989866058184362
ACH-000223,-0.1701912530674877
ACH-000226,-0.11025204779328954
ACH-000227,-0.3479341892326449
ACH-000228,-0.10725566691380664
ACH-000231,-0.035616057832993014
ACH-000232,-0.044257613325979855
ACH-000233,-0.05548398548817459
ACH-000234,0.01754667630464243
ACH-000235,-0.10835810913357476
ACH-000237,-0.0997189114565408
ACH-000238,-0.2109062521704154
ACH-000242,-0.1520924538131059
ACH-000243,-0.07799771236408122
ACH-000244,0.23528386337747706
ACH-000246,-0.02694544588864685
ACH-000248,0.057947283243458166
ACH-000250,-0.09087059739841684
ACH-000251,0.04365368505822825
ACH-000252,-0.1432125902407091
ACH-000253,0.02223441771912722
ACH-000255,-0.058083282286026175
ACH-000256,-0.20178308257337213
ACH-000257,-0.19781457131050625
ACH-000258,0.25461403010833183
ACH-000259,-0.02592051642236816
ACH-000260,-0.08434540546469986
ACH-000261,-0.14121318016429754
ACH-000262,-0.2993927006187929
ACH-000263,-0.02723707023383681
ACH-000264,-0.06341359501918226
ACH-000265,-0.13799256246953648
ACH-000266,-0.09940967663275474
ACH-000272,-0.02055134582594547
ACH-000274,0.025074481924805585
ACH-000277,-0.04962846814913801
ACH-000278,0.0628873943787782
ACH-000279,-0.009687185971869877
ACH-000280,-0.07624785060906769
ACH-000281,-0.17061531131336924
ACH-000288,-0.012514451713012702
ACH-000291,-0.14255476865997904
