,HES2 (54626)
ACH-000004,-0.10878371161883647
ACH-000005,-0.20257819923566187
ACH-000007,-0.32714977382003024
ACH-000009,-0.15711156492496126
ACH-000011,-0.22711780795552955
ACH-000012,-0.1366166519012358
ACH-000013,0.0296907923632266
ACH-000014,-0.18860592142982935
ACH-000015,0.05157060109970578
ACH-000017,-0.20981618610414787
ACH-000018,-0.1045688327770384
ACH-000019,-0.2804780346365962
ACH-000021,-0.08855660533471536
ACH-000022,-0.19066389642870624
ACH-000025,-0.20106322269929727
ACH-000028,0.04479025329083485
ACH-000030,-0.15322886720153292
ACH-000035,-0.17726195642505374
ACH-000036,-0.1462927783622015
ACH-000037,-0.11330553204202885
ACH-000039,-0.4128304444156396
ACH-000040,-0.30469392940351275
ACH-000041,-0.06541343904717789
ACH-000042,-0.11825672030784315
ACH-000045,-0.20018170054473933
ACH-000047,-0.10910338473182993
ACH-000052,0.14505165758979008
ACH-000053,-0.21952050145395596
ACH-000054,-0.1547045416693586
ACH-000055,-0.11749306178415872
ACH-000060,-0.20513209163089413
ACH-000067,-0.22866399232249476
ACH-000070,-0.03576735491362426
ACH-000075,-0.12194031133789356
ACH-000078,-0.3325919590600235
ACH-000082,-0.1595625115089954
ACH-000085,-0.3218851341750229
ACH-000086,-0.2750887302655321
ACH-000087,-0.30125896521724266
ACH-000092,-0.21927203344958773
ACH-000095,-0.1647789676390782
ACH-000097,-0.2537386325751937
ACH-000098,-0.1099032469347395
ACH-000099,-0.20772515702393748
ACH-000108,-0.31071200776862
ACH-000113,-0.13489385710679858
ACH-000116,-0.14582011302804515
ACH-000118,-0.1476687693676924
ACH-000120,-0.12273545452482833
ACH-000123,-0.12988329135940171
ACH-000127,-0.1729324203178699
ACH-000128,-0.011119990756104672
ACH-000132,-0.21092075656918108
ACH-000133,-0.10868130244766824
ACH-000137,-0.015624556489581706
ACH-000138,0.01249541805673582
ACH-000142,-0.09603972349432632
ACH-000143,-0.27929045989896084
ACH-000146,-0.2192242206432964
ACH-000148,-0.2019373543750688
ACH-000150,-0.35046509239522244
ACH-000152,-0.05718793341456844
ACH-000153,-0.06682818244719521
ACH-000159,-0.2089037319288196
ACH-000160,-0.11490318412236455
ACH-000163,-0.2506120650230906
ACH-000167,-0.2691783110597024
ACH-000168,-0.07128485342983842
ACH-000169,-0.19622510835657228
ACH-000178,-0.2716976598743755
ACH-000183,0.009683857452687563
ACH-000188,-0.20541229550277929
ACH-000189,-0.3388268139731537
ACH-000190,0.03374074271065226
ACH-000198,-0.1935120904814407
ACH-000203,-0.012549525185940349
ACH-000204,-0.16614929826517455
