,SEC63 (11231)
ACH-000004,-0.4946876875210026
ACH-000005,-0.4608531549162132
ACH-000007,-0.4970256015052518
ACH-000009,-0.6809452915954041
ACH-000011,-0.9320717773793712
ACH-000012,-0.5205175649659616
ACH-000013,-0.5918320727851958
ACH-000014,-0.7899772984472305
ACH-000015,-0.6225522324686336
ACH-000017,-0.5981188402082742
ACH-000018,-0.7916199434770783
ACH-000019,-0.4690393759644877
ACH-000021,-0.6681128744857979
ACH-000022,-0.6320850970599325
ACH-000025,-0.6588862033780843
ACH-000028,-0.4781589029394676
ACH-000030,-0.5964474307403195
ACH-000035,-0.7395819243372235
ACH-000036,-0.9071062384920606
ACH-000037,-0.4226715217349744
ACH-000039,-0.6614356150295185
ACH-000040,-0.4208896246062227
ACH-000041,-0.3463016737801801
ACH-000042,-0.6059107680618321
ACH-000045,-0.5919911919533023
ACH-000047,-0.4661875788397368
ACH-000052,-0.6741906412500904
ACH-000053,-0.4916058208989978
ACH-000054,-0.5910465502785901
ACH-000055,-0.4591084559051962
ACH-000060,-0.7225666730909105
ACH-000067,-0.19208515756078068
ACH-000070,-0.607713762812424
ACH-000075,-0.6540562138115742
ACH-000078,-0.3187024144881561
ACH-000082,-0.5108279399349455
ACH-000085,-0.5268507875528154
ACH-000086,-0.4870127881130809
ACH-000087,-0.3745345946028617
ACH-000092,-0.740062927676509
ACH-000095,-0.5048165613690024
ACH-000097,-0.6063942011223205
ACH-000098,-0.5872060681009226
ACH-000099,-0.3875057450152346
ACH-000108,-0.8104591805180899
ACH-000113,-0.3031573802915587
ACH-000116,-0.6348255251853387
ACH-000118,-0.7761860652683669
ACH-000120,-0.4067094138429742
ACH-000123,-0.6177104022593082
ACH-000127,-0.765209737904723
ACH-000128,-0.5546168992238827
ACH-000132,-0.7007905720296517
ACH-000133,-0.6870163254914868
ACH-000137,-0.5517223840217279
ACH-000138,-0.5651648967941357
ACH-000142,-0.5924359273936559
ACH-000143,-0.5480754844532222
ACH-000146,-0.4847348710446878
ACH-000148,-0.3965520557018643
ACH-000150,-0.6048794929000328
ACH-000152,-0.18464261356043912
ACH-000153,-0.6628931464082795
ACH-000159,-0.5033548177970243
