,ERCC6L2 (375748)
ACH-000004,-0.1739095362844029
ACH-000005,-0.3493531867901435
ACH-000007,-0.3125949433331016
ACH-000009,-0.2406860299155226
ACH-000011,-0.15316883757477107
ACH-000012,-0.11977284607948473
ACH-000013,-0.18227760651859565
ACH-000014,-0.1757144333812728
ACH-000015,-0.09126681033464153
ACH-000017,-0.006846176647314909
ACH-000018,-0.3169450320370788
ACH-000019,-0.15871155867762424
ACH-000021,-0.1747319986973249
ACH-000022,-0.21321234301166594
ACH-000025,-0.10871708301339883
ACH-000028,-0.0915223050039546
ACH-000030,-0.046037642976228664
ACH-000035,0.036059657779314566
ACH-000036,-0.0957316737433926
ACH-000037,-0.14579029225760998
ACH-000039,0.06501702376916414
ACH-000040,-0.1814626652975472
ACH-000041,-0.040598667417228285
ACH-000042,-0.06357951886106092
ACH-000045,-0.2937277990992017
ACH-000047,-0.12097422139572996
ACH-000052,0.04212755901417632
ACH-000053,-0.09392774727780888
ACH-000054,-0.2963221814108072
ACH-000055,0.029145972973338825
ACH-000060,-0.08430862563535729
ACH-000067,-0.15357490608579874
ACH-000070,-0.12233650332481118
ACH-000075,-0.13090258086953127
ACH-000078,-0.05715924774905009
ACH-000082,-0.06993430370046297
ACH-000085,-0.008627594444645335
ACH-000086,-0.14386514640580328
ACH-000087,-0.1353343311214674
ACH-000092,-0.15254502722742758
ACH-000095,-0.12477848863111385
ACH-000097,-0.21263949092082066
ACH-000098,0.056243543320323545
ACH-000099,-0.17151344604341012
ACH-000108,0.1017163687087732
ACH-000113,-0.2147697305974782
ACH-000116,0.001890163311837575
ACH-000118,-0.08860943280165441
ACH-000120,-0.04331387774941648
ACH-000123,-0.09448770435697026
ACH-000127,-0.1366502178117048
ACH-000128,0.18109656531071727
ACH-000132,-0.13703429448590174
ACH-000133,-0.1645765415157439
ACH-000137,-0.07431075732126359
ACH-000138,0.004367826176099795
ACH-000142,-0.05442318795862711
ACH-000143,-0.10272516013953224
ACH-000146,-0.17407060625973644
ACH-000148,-0.12262746358063854
ACH-000150,0.03090351151722943
