,MICB (4277)
ACH-000004,-0.27322147322726004
ACH-000005,-0.1752642272514901
ACH-000007,-0.19556210433301455
ACH-000009,-0.2645785223654223
ACH-000011,-0.21299381108874066
ACH-000012,-0.17210522015766624
ACH-000013,-0.3056432421022428
ACH-000014,-0.22974284046095275
ACH-000015,-0.11265787245001488
ACH-000017,-0.22470236274320712
ACH-000018,-0.13148367030205613
ACH-000019,-0.10088281954000876
ACH-000021,-0.2939528250890849
ACH-000022,-0.15052153784496486
ACH-000025,-0.2080427194505869
ACH-000028,-0.1441332006152459
ACH-000030,-0.1680639174904556
ACH-000035,-0.012062065416449346
ACH-000036,-0.1185866444891945
ACH-000037,-0.3201838915815926
ACH-000039,-0.3045488749758681
ACH-000040,-0.29495511660814505
ACH-000041,-0.12354902755596554
ACH-000042,-0.1659504974246624
ACH-000045,-0.304429316707101
ACH-000047,-0.15670847205608365
ACH-000052,-0.29159219349413235
ACH-000053,-0.32471206904205546
ACH-000054,-0.314563830954947
ACH-000055,-0.2511102214897753
ACH-000060,-0.3506181843866847
ACH-000067,-0.5370991392785712
ACH-000070,0.008399923333095038
ACH-000075,-0.13849488649522074
ACH-000078,-0.21246188633595284
ACH-000082,-0.2992377720320368
ACH-000085,-0.3149505606295658
ACH-000086,-0.2639997236807716
ACH-000087,-0.3570502396372129
ACH-000092,-0.3200651311102898
ACH-000095,-0.3342821958325189
ACH-000097,-0.1475447558705228
ACH-000098,-0.2173310128045471
ACH-000099,-0.06706415464935576
ACH-000108,-0.4236568991489928
ACH-000113,-0.30817800108070875
ACH-000116,-0.24466936365441705
ACH-000118,-0.11904244986798818
ACH-000120,-0.1611771707998523
ACH-000123,-0.1325978242116578
ACH-000127,-0.31977011212374823
ACH-000128,-0.268338578070882
ACH-000132,-0.2159804805879748
ACH-000133,-0.3294817874454504
ACH-000137,-0.2691162755545916
ACH-000138,-0.3898309724733921
ACH-000142,-0.18338194550504286
ACH-000143,-0.03461835051757036
ACH-000146,-0.2550346131420649
ACH-000148,-0.17212085564535226
ACH-000150,-0.1346178549567945
ACH-000152,-0.2788533178495136
ACH-000153,-0.24295962498809015
ACH-000159,-0.1635404868683686
ACH-000160,-0.4100150780950376
ACH-000163,-0.06456512892614598
ACH-000167,-0.6191248783689571
ACH-000168,-0.13051515279965728
ACH-000169,-0.19356889272657055
ACH-000178,-0.27364645145516137
ACH-000183,-0.09174940852405936
ACH-000188,-0.25391587201744625
ACH-000189,-0.28677812137133035
ACH-000190,-0.10686085303099796
ACH-000198,-0.3791966526995553
ACH-000203,0.017004830110737897
ACH-000204,-0.3950262351833899
ACH-000206,-0.4810961102979845
ACH-000207,-0.4293506867351191
ACH-000208,-0.04420886578148548
ACH-000210,-0.3949754863205091
ACH-000211,-0.21381311314898369
ACH-000215,-0.26029547566802635
ACH-000221,-0.2125663824035024
ACH-000222,-0.27729598728728505
ACH-000223,-0.3881928676442056
ACH-000226,-0.29174293023858633
ACH-000227,-0.27958646919668584
ACH-000228,-0.3032964856438846
ACH-000231,-0.3165329722082139
ACH-000232,-0.2857793806980856
ACH-000233,-0.5313570664258158
ACH-000234,-0.3394535355453932
ACH-000235,-0.2090376550262845
ACH-000237,-0.2707511925995626
ACH-000238,-0.33268526845537755
ACH-000242,-0.8871070871811438
ACH-000243,-0.1858787136394032
ACH-000244,0.0264208196490547
ACH-000246,-0.1224782635015476
ACH-000248,-0.17009186751548666
ACH-000250,-0.2620703998680913
ACH-000251,-0.4397210772807528
ACH-000252,0.18052614075946624
ACH-000253,-0.4078197140109526
ACH-000255,-0.32138978570909577
ACH-000256,-0.16627004970578282
ACH-000257,-0.21956940710310044
ACH-000258,-0.012300863248432492
ACH-000259,-0.2379901745863677
ACH-000260,-0.2346873270516975
ACH-000261,-0.19340996625225676
ACH-000262,-0.018967369487107942
ACH-000263,-0.03285574804172537
ACH-000264,-0.19993769415414567
ACH-000265,-0.14766021896990564
ACH-000266,-0.29813855385625265
ACH-000272,-0.3830541278892876
ACH-000274,-0.24867107585192505
ACH-000277,-0.29002280501853883
ACH-000278,-0.16009045948253334
ACH-000279,-0.3076353339792027
ACH-000280,-0.16869099664593018
ACH-000281,-0.33730960086890394
ACH-000288,-0.2801820183522522
ACH-000291,-0.17150326748091718
ACH-000293,-0.3108547927221997
ACH-000294,-0.2145999230857099
ACH-000295,-0.2598339557807241
ACH-000296,-0.13207971782785552
ACH-000302,-0.20887127372294312
ACH-000304,-0.4295610286251061
ACH-000307,-0.17380494897143342
ACH-000308,-0.2589858610228558
ACH-000310,-0.19339156346546624
ACH-000311,-0.2906382821824566
ACH-000312,-0.43133883313659466
ACH-000315,-0.3780439595857723
ACH-000316,-0.3067984452467827
ACH-000317,-0.14679729154881638
ACH-000318,-0.09383899680169
ACH-000319,-0.2728649883456996
ACH-000320,-0.34630039244165256
ACH-000322,-0.3024692817294956
ACH-000323,-0.18602388366591
ACH-000324,-0.2758338118479399
ACH-000329,-0.26473044052548866
ACH-000330,-0.2712012365320651
ACH-000331,-0.3257724628745864
ACH-000332,-0.34021691276866656
ACH-000334,-0.4383357823689937
ACH-000335,-0.1690659797227541
ACH-000336,-0.5494951401891748
ACH-000337,-0.1928678556732373
ACH-000338,-0.5422608158757147
ACH-000339,-0.2125830645164116
ACH-000341,-0.2183578635415718
ACH-000348,-0.2660209845192672
ACH-000350,-0.27045669773716585
ACH-000352,-0.21003134312278632
ACH-000356,-0.2640794714317161
ACH-000361,-0.0505407365688257
ACH-000362,-0.2961935950985604
ACH-000363,-0.2162072761730117
ACH-000364,-0.26647092785447096
ACH-000365,-0.27879073263988113
ACH-000366,-0.16212740022139582
ACH-000368,-0.1929883926065724
ACH-000374,-0.6991361212035224
ACH-000375,-0.21364001406746566
ACH-000376,-0.1602636288144993
ACH-000381,-0.2450352480766461
ACH-000383,-0.2970801888298259
ACH-000387,-0.29104025825667657
ACH-000389,-0.3153254037490963
ACH-000390,-0.2167878380717622
ACH-000393,-0.2777339316867619
ACH-000395,-0.3898819167774006
ACH-000396,-0.3670612648521504
ACH-000397,-0.27108554614386443
ACH-000401,-0.014786578383896631
ACH-000402,-0.016799470467656258
ACH-000403,-0.3555939274240848
ACH-000404,-0.2751255189817277
ACH-000406,-0.303695512158533
ACH-000407,-0.19229308525186253
ACH-000408,-0.06767936908035345
ACH-000410,-0.21636612983044948
ACH-000411,-0.12299999119626075
ACH-000414,-0.14840356521411968
ACH-000415,-0.12996381035188165
ACH-000416,-0.21031666948851666
ACH-000420,-0.29377598277940764
ACH-000421,-0.2325218050772751
ACH-000424,-0.4728260199898821
ACH-000425,-0.26899205972060997
ACH-000426,-0.22424777930900688
ACH-000427,-0.2581415704131986
ACH-000433,-0.13213228713973554
ACH-000435,-0.055107112092475104
ACH-000436,-0.2746875206654745
ACH-000444,-0.11194213921458496
ACH-000445,-0.23704369045690904
ACH-000448,-0.24201207861523105
ACH-000450,0.02262140077716361
ACH-000452,-0.21643572713432285
ACH-000454,-0.2585800751156173
ACH-000458,-0.2716902735531514
ACH-000459,-0.17932559871835504
ACH-000460,-0.1712925576550284
ACH-000461,-0.3675665564594557
ACH-000463,-0.2055314313027223
ACH-000464,-0.2528736482196398
ACH-000466,-0.21647427806580424
ACH-000467,-0.22510360160239215
ACH-000468,-0.2740266188991597
ACH-000469,-0.3381286127662527
ACH-000470,-0.3083177417803179
ACH-000471,-0.16321534307043567
ACH-000472,-0.2526570159524206
ACH-000473,-0.29866241611744143
ACH-000475,-0.2066361680804915
ACH-000476,-0.3695484217560745
ACH-000477,-0.14773152381980567
ACH-000479,-0.3748893547867827
ACH-000480,-0.06279455262106459
ACH-000481,-0.15207442147411668
ACH-000483,-0.1447726319922144
ACH-000484,-0.2566550601633093
ACH-000485,-0.3009590274979891
ACH-000486,-0.18488551931933636
ACH-000487,-0.3750034536466894
ACH-000488,-0.19599800419152025
ACH-000490,-0.01840847283599815
ACH-000491,-0.21913878028428174
ACH-000495,-0.16360406846783693
ACH-000496,-0.24755831648241056
ACH-000499,-0.12157674062916173
ACH-000500,-0.5253583455613303
ACH-000502,-0.3124723204565207
ACH-000503,-0.14871696213919278
ACH-000505,-0.1996554674196066
ACH-000507,-0.09883779111827276
ACH-000510,-0.1983850772339344
ACH-000511,-0.2552765774158338
ACH-000512,-0.591722489109064
ACH-000516,-0.2763383839445377
ACH-000517,-0.3521174571697534
ACH-000518,-0.3948025455329235
ACH-000520,-0.28609394179023784
ACH-000521,-0.09813286439611528
ACH-000522,-0.2516196733724236
ACH-000524,-0.3324091421216709
ACH-000527,-0.15256621154227346
ACH-000528,-0.2342751387260564
ACH-000537,-0.19602360508290906
ACH-000541,-0.6424731658028414
ACH-000542,-0.2879050907521329
ACH-000544,-0.271865776499898
ACH-000545,-0.16535506892744528
ACH-000547,-0.18378769735085765
ACH-000548,-0.16066274418440546
ACH-000549,-0.12971671008354396
ACH-000550,-0.30661608144367264
ACH-000552,-0.19143325164158287
ACH-000556,-0.18710782222637146
ACH-000557,-0.2517153221159922
ACH-000569,-0.4332094166619303
ACH-000570,-0.11520919448563442
ACH-000571,-0.28237019489016
ACH-000573,-0.11838677183484385
ACH-000576,-0.43978931359593343
ACH-000579,-0.4404945247314389
ACH-000580,-0.20843055885830591
ACH-000584,-0.3528782023401252
ACH-000585,-0.248843530694573
ACH-000588,-0.24180048561994494
ACH-000589,-0.2091676268141477
ACH-000591,-0.3950385267565992
ACH-000593,-0.20406010213196846
ACH-000600,-0.2626623349903354
ACH-000601,-0.22286180738937109
ACH-000605,-0.3704481080079766
ACH-000606,-0.3766487932699568
ACH-000608,-0.2773278473412663
ACH-000614,-0.18383383065783931
ACH-000616,-0.16366046539136733
ACH-000618,-0.28390875133430715
ACH-000619,-0.2992464274107847
ACH-000620,-0.22324282298478265
ACH-000621,-0.3310557981727525
ACH-000622,-0.1709758928772753
ACH-000623,-0.2718192876810532
ACH-000624,-0.20074817908558032
ACH-000627,-0.2940995398978444
ACH-000630,-0.2733961001023801
ACH-000631,-0.09705726992610304
ACH-000632,-0.14484813883008604
ACH-000633,-0.1447456203686743
ACH-000637,-0.3474408099399112
ACH-000638,-0.32649038079911186
ACH-000646,-0.2612503248350441
ACH-000647,-0.3326810396500601
ACH-000648,-0.010302882407624907
ACH-000649,-0.3073640396740094
ACH-000651,-0.2290297633477273
ACH-000652,-0.1758105994204681
ACH-000653,0.011885118498831346
