,MSTN (2660)
ACH-000004,-0.19795800736256114
ACH-000005,-0.038820026375220584
ACH-000007,-0.13237868949458936
ACH-000009,-0.21772158902068253
ACH-000011,0.008676486906612279
ACH-000012,-0.045914958935932
ACH-000013,-0.015219686551754198
ACH-000014,-0.14916520222847432
ACH-000015,-0.18447946622776032
ACH-000017,-0.014074021145049187
ACH-000018,-0.08426435427036752
ACH-000019,0.023585598975303983
ACH-000021,-0.04216343697071491
ACH-000022,-0.09257874354471918
ACH-000025,-0.1372911501850176
ACH-000028,-0.16281687173318302
ACH-000030,-0.0700484097876921
ACH-000035,-0.002688008478800293
ACH-000036,-0.07499970270775692
ACH-000037,-0.10408975714157362
ACH-000039,-0.04507897692712202
ACH-000040,-0.16419411225127148
ACH-000041,-0.1809884633564749
ACH-000042,-0.03761430973002663
ACH-000045,-0.06182055129247375
ACH-000047,-0.057394685499456886
ACH-000052,-0.2595439004560547
ACH-000053,-0.0908793651067944
ACH-000054,-0.10542592087167434
ACH-000055,-0.22070038212194615
ACH-000060,-0.013775530862988574
ACH-000067,-0.04764231443312224
ACH-000070,0.013487611846119863
ACH-000075,-0.03554319967128375
ACH-000078,-0.12399775989502965
ACH-000082,-0.10403641361906912
ACH-000085,0.008320922694658898
ACH-000086,-0.19471357081152324
ACH-000087,0.11769530542659674
ACH-000092,-0.0717971537561468
ACH-000095,-0.1193679635889908
ACH-000097,-0.1322524167911641
ACH-000098,-0.08709426960317412
ACH-000099,-0.0845196029331635
ACH-000108,-0.2678756662387286
ACH-000113,-0.06516462365670493
ACH-000116,-0.08430605684350212
ACH-000118,-0.08557784802675987
ACH-000120,-0.10142098249131597
ACH-000123,-0.16189381452706242
ACH-000127,-0.07880898679269806
ACH-000128,0.012313268372354916
ACH-000132,-0.050680873458673344
ACH-000133,-0.21554283067453006
ACH-000137,-0.02394587299889301
ACH-000138,0.038373242538280165
ACH-000142,-0.1973004851513226
ACH-000143,-0.23845377903743645
ACH-000146,-0.07716679528567275
ACH-000148,-0.09500327732775073
ACH-000150,-0.14315015936329986
ACH-000152,-0.12553503548379238
ACH-000153,-0.05128140987697336
ACH-000159,-0.08974587126428141
ACH-000160,-0.022251572075652492
ACH-000163,-0.1172635699952344
ACH-000167,-0.034405798377776985
ACH-000168,-0.2124202925715856
ACH-000169,-0.05351212251889369
ACH-000178,-0.02437544937677962
ACH-000183,-0.13361315075758742
ACH-000188,0.03592634137810738
ACH-000189,-0.06980719984197004
ACH-000190,-0.19200978126693966
ACH-000198,-0.09028839792662044
ACH-000203,-0.18529875858227945
ACH-000204,-0.10968959383347188
ACH-000206,-0.009376342787601171
ACH-000207,-0.00435216911823323
ACH-000208,0.31442408159867435
ACH-000210,-0.18736034274706986
ACH-000211,-0.14290415283810914
ACH-000215,-0.07402208888969407
ACH-000221,-0.13138718722154144
ACH-000222,0.06543664594010097
ACH-000223,-0.06194299528170631
ACH-000226,-0.08148883823025338
ACH-000227,-0.03597229888345148
ACH-000228,-0.07349513171418508
ACH-000231,-0.04601810527662575
ACH-000232,-0.044173289225610035
ACH-000233,-0.11623829591408473
ACH-000234,-0.13149073538189987
ACH-000235,-0.07098224801764133
ACH-000237,-0.18036838130677935
ACH-000238,-0.05212124042260821
ACH-000242,-0.13635890835961448
ACH-000243,-0.06688590062635195
ACH-000244,-0.01775298356034631
ACH-000246,-0.10219521893310288
ACH-000248,0.10362503401230956
ACH-000250,-0.10144171601846676
ACH-000251,0.040083802275754615
ACH-000252,-0.06652431555480656
ACH-000253,-0.21099332151419287
ACH-000255,-0.1443380384415728
ACH-000256,-0.06808467494075658
ACH-000257,0.1367537333884092
ACH-000258,0.024823854827417356
ACH-000259,-0.07609908781017513
ACH-000260,-0.13481809254748026
ACH-000261,0.02791876372132358
ACH-000262,0.0848601470070288
ACH-000263,-0.16911492682631302
ACH-000264,-0.036102462126025615
ACH-000265,-0.08232469616133845
ACH-000266,-0.035267777202034264
ACH-000272,-0.08331707207540895
ACH-000274,-0.12935746455440592
ACH-000277,0.08996944018315485
ACH-000278,-0.2647456391588213
ACH-000279,-0.014896335523088432
ACH-000280,-0.13458189629765327
ACH-000281,-0.11589146251280733
ACH-000288,-0.1149324919572095
ACH-000291,-0.1794983219021763
ACH-000293,-0.08576627871558612
ACH-000294,-0.0992224803982929
ACH-000295,-0.15616656940387272
ACH-000296,-0.14522261862587024
ACH-000302,-0.111458596349437
ACH-000304,-0.4241462177526912
ACH-000307,-0.1264604422707276
ACH-000308,-0.0921823519888476
ACH-000310,-0.11254947604948247
ACH-000311,0.055151157801472214
ACH-000312,-0.15551061046542672
ACH-000315,-0.25119599044077834
ACH-000316,-0.011610115501991909
ACH-000317,-0.11006140104090993
ACH-000318,0.024967905545532583
ACH-000319,0.15573493707823674
ACH-000320,0.007512146881640062
ACH-000322,-0.1057179676916508
ACH-000323,-0.039271174177701804
ACH-000324,-0.10970505677536396
ACH-000329,-0.10153066629317346
ACH-000330,-0.08522393320852754
ACH-000331,-0.1305015589403586
ACH-000332,-0.07619882276652573
ACH-000334,-0.017636650831252904
ACH-000335,-0.008095549728548087
ACH-000336,-0.29567632314046793
ACH-000337,-0.13049905938008033
ACH-000338,-0.1781507650974899
ACH-000339,-0.0912496112454714
ACH-000341,-0.039664407658570065
ACH-000348,0.003518424663239593
ACH-000350,-0.13467923243676938
ACH-000352,-0.05418351523255385
ACH-000356,-0.14351150792063294
ACH-000361,-0.042121982478499145
ACH-000362,-0.07484659550951447
ACH-000363,-0.07220928763227326
ACH-000364,-0.01946059120013651
ACH-000365,-0.06644210907470566
ACH-000366,-0.10108091487836376
ACH-000368,-0.04880906455216138
ACH-000374,-0.11212581977904117
ACH-000375,-0.2226473202381568
ACH-000376,-0.09075855292680204
ACH-000381,-0.07223368314383773
ACH-000383,-0.11266873017823582
ACH-000387,-0.15630040202194131
ACH-000389,-0.16835284264229444
ACH-000390,-0.13723959812383682
ACH-000393,-0.10899364854440273
ACH-000395,-0.02970382156353083
ACH-000396,-0.5207748527572728
ACH-000397,-0.06729851783927979
ACH-000401,0.04525893768514624
ACH-000402,-0.31195482727573376
ACH-000403,-0.05657018219680216
ACH-000404,0.04029608461057185
ACH-000406,-0.09165800218813806
ACH-000407,-0.11410533651952486
ACH-000408,-0.2429289802441316
ACH-000410,-0.12930286242274572
ACH-000411,-0.08667459157129212
ACH-000414,-0.03928433675984671
ACH-000415,-0.0670626353731509
ACH-000416,-0.09723079743597388
ACH-000420,-0.08407573788958864
ACH-000421,-0.05059775117530592
ACH-000424,-0.17864001457064788
ACH-000425,-0.03541390202912996
ACH-000426,0.023757693307937592
ACH-000427,-0.08615433970990137
ACH-000433,0.17062808958158313
ACH-000435,-0.3429891501744179
ACH-000436,-0.17157791395000965
ACH-000444,-0.08182211074547348
ACH-000445,-0.12838658279755924
ACH-000448,-0.1262366562830996
ACH-000450,-0.08406040916720114
ACH-000452,-0.018871157005286788
ACH-000454,-0.15206070998496965
ACH-000458,-0.04404473022865015
ACH-000459,-0.20242446815612694
ACH-000460,-0.1895222631181576
ACH-000461,-0.2242266358715837
ACH-000463,-0.058144336380618715
ACH-000464,-0.06655221026968655
ACH-000466,-0.25075689542292795
ACH-000467,-0.18139255749069735
ACH-000468,-0.05836689223230813
ACH-000469,-0.09422340887470768
ACH-000470,0.09610288143471067
ACH-000471,-0.04341367029468072
ACH-000472,-0.10871267793987126
ACH-000473,-0.08135695968591923
ACH-000475,-0.0939420304789302
ACH-000476,0.12616401957410836
ACH-000477,-0.14009446821609275
ACH-000479,0.21096895514728214
ACH-000480,-0.1741689014119812
ACH-000481,-0.015218086244543553
ACH-000483,-0.16759395874306046
ACH-000484,-0.09967073775086233
ACH-000485,-0.037668098728205264
ACH-000486,-0.0634743176186415
ACH-000487,-0.13390467375067658
ACH-000488,-0.08644609558840187
ACH-000490,-0.16847948163563756
ACH-000491,-0.09538155715738657
ACH-000495,0.09552583944931099
ACH-000496,-0.12297528859007373
ACH-000499,-0.10048661406625947
ACH-000500,0.4828378904361407
