,ACACA (31)
ACH-000004,-0.14140380490343546
ACH-000005,-0.4422045970507191
ACH-000007,-0.8112881014539858
ACH-000009,-0.4146599039992328
ACH-000011,-0.2411896623592448
ACH-000012,-0.2399052140304469
ACH-000013,-0.3764494765504202
ACH-000014,-0.27914399680284785
ACH-000015,-0.15731317717779406
ACH-000017,-0.3165902439354342
ACH-000018,-0.5162070226744522
ACH-000019,-0.4011335238400647
ACH-000021,-0.2119738919281083
ACH-000022,-0.8836746561565848
ACH-000025,-0.8912354892550001
ACH-000028,-0.5986995813318028
ACH-000030,-0.2695381490905472
ACH-000035,-0.6338316395603558
ACH-000036,-0.3964300922246384
ACH-000037,-0.3252116480641958
ACH-000039,-0.31128432136935275
ACH-000040,-0.5732814277528643
ACH-000041,-0.1035931613584218
ACH-000042,-0.1421252352859001
ACH-000045,0.5788239270067086
ACH-000047,-0.4798145484788581
ACH-000052,-0.3449012360971131
ACH-000053,-0.23659829503929866
ACH-000054,0.2305772612259875
ACH-000055,-0.1750794453068955
ACH-000060,-0.5726835086678809
ACH-000067,-0.4372209763354661
ACH-000070,-0.5404549961924797
ACH-000075,-0.2480814903563491
ACH-000078,-0.3203099548711135
ACH-000082,-0.16687831921929522
ACH-000085,-0.17735752354775608
ACH-000086,-0.7901837243409039
ACH-000087,-0.20527216724247968
ACH-000092,-0.4920332459923988
ACH-000095,-0.4210190950185871
ACH-000097,-0.3960952754633101
ACH-000098,-0.9167557424015668
ACH-000099,-0.3810792157892705
ACH-000108,-0.14634981094390198
ACH-000113,-0.14022374190449746
ACH-000116,-0.244765283314467
ACH-000118,-0.07210278701120537
ACH-000120,-0.12285652223778805
ACH-000123,-0.2652496802890795
ACH-000127,-0.25976560947495625
ACH-000128,-0.3001711459214794
ACH-000132,-0.18589569354354896
ACH-000133,-0.3881129862170722
ACH-000137,-0.16117462802518515
ACH-000138,-0.6576467063447445
ACH-000142,-0.583094924313902
ACH-000143,-0.12737511779482702
ACH-000146,0.3101897022250009
ACH-000148,-0.16517441564850424
ACH-000150,-0.2078149232700784
ACH-000152,-0.4292564878408737
ACH-000153,-0.5120203510777416
ACH-000159,-0.12488595620258434
ACH-000160,-0.536747807292836
ACH-000163,-0.4158594024421605
ACH-000167,-0.8055763621578352
ACH-000168,-0.1970539465670947
ACH-000169,-0.4192929705978188
ACH-000178,-0.3750848004476954
ACH-000183,-0.334187414940023
ACH-000188,-0.22946174675436656
ACH-000189,-0.4720221356493868
ACH-000190,-0.518835991272806
ACH-000198,-0.14949525740889652
ACH-000203,-0.4342468071170084
ACH-000204,-0.29585417667627184
ACH-000206,0.047665732764738365
ACH-000207,-0.5522713371855267
ACH-000208,-0.9608893185347264
ACH-000210,-0.3924897917006384
ACH-000211,-0.3100907303046547
ACH-000215,-0.3600109293630839
ACH-000221,-0.7014200670535031
ACH-000222,-0.3827661537929843
ACH-000223,-0.3353350625211157
ACH-000226,-0.3650705396301666
ACH-000227,-0.15912487854947574
ACH-000228,-0.3885311949363802
ACH-000231,-0.4642932752580714
ACH-000232,-0.6611992806543104
ACH-000233,-0.7289337246421507
ACH-000234,-0.3307718496167925
ACH-000235,-0.3875282171643074
ACH-000237,-0.15360825490088714
ACH-000238,-0.6287220436413261
ACH-000242,-0.2924237978150965
ACH-000243,-0.2512736726268536
ACH-000244,-0.3601783689487534
ACH-000246,-0.1829913483945541
ACH-000248,-0.4179638335335088
ACH-000250,-0.5392681598185392
ACH-000251,-0.27257519873724223
ACH-000252,-0.5307765298282953
ACH-000253,-0.32064396289135383
ACH-000255,-0.3552222116893721
ACH-000256,-0.15950547419087294
ACH-000257,-0.25727601285788426
ACH-000258,-0.18725720379950064
ACH-000259,0.03582671103625133
ACH-000260,-0.16947938667757834
ACH-000261,-0.2910077166014074
ACH-000262,-0.5947027936658903
ACH-000263,0.04307138406918052
ACH-000264,-0.11449625017905565
ACH-000265,-0.2437225794149039
ACH-000266,-0.21831607106739734
ACH-000272,-0.5317803233249415
ACH-000274,-0.08807359564070208
ACH-000277,-0.21255071233926
ACH-000278,-0.08376436174625725
ACH-000279,-0.24526660169498304
ACH-000280,-0.3980955660688457
ACH-000281,-0.4329113831928131
ACH-000288,-0.5203632394570507
ACH-000291,-0.385405950028012
ACH-000293,-0.3727338198314497
ACH-000294,1.687498477732887
ACH-000295,0.18951788677867454
ACH-000296,-0.7394989815377693
ACH-000302,-0.24656138499308264
ACH-000304,-0.3238091185291063
ACH-000307,-0.1722880085236443
ACH-000308,0.055694454904091716
ACH-000310,-0.15029532777129825
ACH-000311,-0.39970522766600297
ACH-000312,-0.1656601971786687
ACH-000315,-0.5956228802130801
ACH-000316,-0.7898541633814621
ACH-000317,-0.491102140066808
ACH-000318,-0.6516891156808773
ACH-000319,-0.4610929237857959
ACH-000320,-0.18260164579686974
