,SPTSSA (171546)
ACH-000004,-0.28706102995080784
ACH-000005,-0.2417396919597437
ACH-000007,-0.4773911185199488
ACH-000009,-0.5796805267895322
ACH-000011,-0.8341867603303285
ACH-000012,-0.28765955740956073
ACH-000013,-0.198691192934066
ACH-000014,-0.4927068502691202
ACH-000015,-0.3029930563144631
ACH-000017,-0.3821101966152545
ACH-000018,-0.5006269861458836
ACH-000019,-0.4298415232281749
ACH-000021,-0.4680589525974207
ACH-000022,-0.2948336457335836
ACH-000025,-0.7942149552212522
ACH-000028,-0.4010103578312764
ACH-000030,-0.6086581700207031
ACH-000035,-0.40920542084105066
ACH-000036,-0.4052924469347765
ACH-000037,-0.3683902460766153
ACH-000039,-0.3805779927384734
ACH-000040,-0.7566518890535429
ACH-000041,-0.3332436727599201
ACH-000042,-0.445832028241736
ACH-000045,-1.0271220329265554
ACH-000047,-0.3325440766748701
ACH-000052,-0.3103353941878941
ACH-000053,-0.2520636426995825
ACH-000054,-0.5403445532527964
ACH-000055,-0.4439322358286898
ACH-000060,-0.7572940782975711
ACH-000067,-0.37746471046933067
ACH-000070,-0.6042450650422306
ACH-000075,-0.3553927560831181
ACH-000078,-0.2454767573077357
ACH-000082,-0.322602833140894
ACH-000085,-0.4982318137670378
ACH-000086,-0.6593704945005152
ACH-000087,-0.3455916306466458
ACH-000092,-0.7356045793025606
ACH-000095,-0.29278269850902416
ACH-000097,-0.36743935516879256
ACH-000098,-0.6746015300415097
ACH-000099,-0.25702558883019583
ACH-000108,-0.5153909208030201
ACH-000113,-0.7107939605561718
ACH-000116,-0.5472621106745129
ACH-000118,-0.8354590275343292
ACH-000120,-0.23654303680085997
ACH-000123,-0.2450942554981017
ACH-000127,-0.6131833386127806
ACH-000128,-0.2350742946259923
ACH-000132,-0.4529473403861045
ACH-000133,-0.6826339469305268
ACH-000137,-0.5091484017260537
ACH-000138,-0.3705019135230864
ACH-000142,-0.25640437452178955
ACH-000143,-0.34107698934182906
ACH-000146,-0.6442559084036594
ACH-000148,-0.3626382538948372
ACH-000150,-0.12560019441659462
ACH-000152,-0.4834092877909548
ACH-000153,-0.8338552103144078
ACH-000159,-0.5277523625229298
ACH-000160,-0.4510915392355604
ACH-000163,-0.3903549452983601
ACH-000167,-0.4128642738317401
ACH-000168,-0.8970849752308838
ACH-000169,-0.5922142774004546
ACH-000178,-0.35356543310241634
ACH-000183,-0.2303078328466306
ACH-000188,-0.4954958247653783
ACH-000189,-0.8575824950799321
ACH-000190,-0.3411530106746392
ACH-000198,-1.0937701246002005
ACH-000203,-0.19176663738685992
ACH-000204,-0.6050910463963751
ACH-000206,-0.8499247190985649
ACH-000207,-0.6185389147142405
ACH-000208,-0.3227906052304277
ACH-000210,-0.4554660108065272
ACH-000211,-0.5598926507467319
ACH-000215,-0.30496759565262505
ACH-000221,-0.2631245529888323
ACH-000222,-0.6049942704448068
ACH-000223,-0.3242843806923723
ACH-000226,-0.4370772916840571
ACH-000227,-0.3823990613737154
ACH-000228,-0.4476872561269911
ACH-000231,-0.4277031963984867
ACH-000232,-0.4410821715640679
ACH-000233,-0.7201304684079894
ACH-000234,-0.6326567339890159
ACH-000235,-0.6866951657415968
ACH-000237,-0.4484211718854227
ACH-000238,-0.19458464371711695
ACH-000242,-0.11481014678257476
ACH-000243,-0.5464172865100573
ACH-000244,-0.8100715820894249
ACH-000246,-0.7053022374668619
ACH-000248,-0.4149762331204969
ACH-000250,-0.5838959847629239
ACH-000251,-0.14640655459926755
ACH-000252,-0.4457210471567773
ACH-000253,-0.2309163454028401
ACH-000255,-0.5104756153879874
ACH-000256,-0.5421436100810739
ACH-000257,-0.4218343743557021
ACH-000258,-0.4000111795231681
ACH-000259,-0.3659328258290562
ACH-000260,-0.2255117023036762
ACH-000261,-0.3921462128059515
ACH-000262,-0.9059696934932654
ACH-000263,-0.6725132852867016
ACH-000264,-0.346246543403579
ACH-000265,-0.2344415148579865
ACH-000266,-0.3545984217010569
ACH-000272,-1.0570918138376422
ACH-000274,-0.2752928022572093
ACH-000277,-0.20386835604523348
ACH-000278,-0.7681687719540689
ACH-000279,-0.2860860805779368
ACH-000280,-0.6944480833839971
ACH-000281,-0.4821486241471561
ACH-000288,-0.7682742107600739
ACH-000291,-0.2424123717917591
ACH-000293,-0.4631559585484176
ACH-000294,-0.6879773989586908
ACH-000295,-0.4134779384486653
ACH-000296,-0.6660757607318986
ACH-000302,-0.4105773089987985
ACH-000304,-0.4200324233743635
ACH-000307,-0.4558004602847983
ACH-000308,-0.2075858076085495
ACH-000310,-0.4086069725769052
ACH-000311,-0.37353695403259385
ACH-000312,-0.21401428286727567
ACH-000315,-0.32210783186005154
ACH-000316,-0.5904728552447427
ACH-000317,-0.6332324458756228
ACH-000318,-0.2336798651010516
ACH-000319,-0.6626310726232171
ACH-000320,-0.3805419262695501
ACH-000322,-0.2953345616941849
ACH-000323,-0.31737403108179657
ACH-000324,-0.6036611401947649
ACH-000329,-0.3301234412442921
ACH-000330,-0.253562766490835
ACH-000331,-0.4372225002903233
ACH-000332,-0.21457784348007616
ACH-000334,-0.336594537774872
ACH-000335,-0.5177889124964595
ACH-000336,-0.6648356048837504
ACH-000337,-1.0431946378289416
ACH-000338,-0.4773896692972732
ACH-000339,-0.6491725565375336
ACH-000341,-0.3125121899283634
ACH-000348,-0.6370781159403051
ACH-000350,-0.1830914754575691
ACH-000352,-0.2833899345764878
ACH-000356,-0.33568747090757195
ACH-000361,-0.25738383106819884
ACH-000362,-0.9570861810280656
ACH-000363,-0.3200107780566069
ACH-000364,-0.5119398013818429
ACH-000365,-0.2240388960049501
ACH-000366,-0.23649191179542686
ACH-000368,-0.39062459404058303
ACH-000374,-0.4165326744484201
ACH-000375,-0.2210483146239273
ACH-000376,-0.3423881636372409
ACH-000381,-0.4827571076748238
ACH-000383,-0.6746465550561499
ACH-000387,-0.14271340560229798
ACH-000389,-0.6011509103512603
ACH-000390,-0.32768338452172635
ACH-000393,-0.5617950049239355
ACH-000395,-0.7076917130123065
ACH-000396,-0.16115041355748966
ACH-000397,-0.6808411325054688
ACH-000401,-0.5881529686416276
ACH-000402,-0.3199889839058832
ACH-000403,-0.6781767201463131
ACH-000404,-0.6572780290611893
ACH-000406,-0.3513327026746349
ACH-000407,-0.7082121307337728
ACH-000408,-0.4494169501042069
ACH-000410,-0.4244054617010957
ACH-000411,-0.7722921187105805
ACH-000414,-0.5130953715414724
ACH-000415,-0.25496136051724105
ACH-000416,-0.2913937567189229
ACH-000420,-0.7646533183132893
ACH-000421,-0.4212693846227741
ACH-000424,-0.4982130326875879
ACH-000425,-0.4184538286982526
ACH-000426,-0.6953196200163886
ACH-000427,-0.4581600572880469
ACH-000433,-0.5905867863401618
ACH-000435,-1.049399162036445
ACH-000436,-0.3617862469024752
ACH-000444,-0.4518855068071662
ACH-000445,-0.4762388726942858
ACH-000448,-0.35550438416850755
ACH-000450,-0.4262642079021744
ACH-000452,-0.43031666003315
ACH-000454,-0.5682675005629975
ACH-000458,-0.17643270411524942
ACH-000459,-0.4268561677550872
ACH-000460,-0.7122285465097276
ACH-000461,-0.3798456585879968
ACH-000463,-0.3100982726263084
ACH-000464,-0.05149060273362893
ACH-000466,-0.9533170268748904
ACH-000467,-0.4551644989192737
ACH-000468,-0.4083101908692246
ACH-000469,-0.7068059765141863
ACH-000470,-0.23849772538162825
ACH-000471,-0.8622858386089151
ACH-000472,-0.34226168979053656
ACH-000473,-0.03509440669936701
ACH-000475,-0.5574089330595136
ACH-000476,-0.4432529810444975
ACH-000477,-0.6060129468937019
ACH-000479,-0.6069997236013361
ACH-000480,-0.3866960667707764
ACH-000481,-0.3368514139819404
ACH-000483,-0.11642012141091887
ACH-000484,-0.15559602881607276
ACH-000485,-0.29656189473006417
ACH-000486,-0.4014151492126131
ACH-000487,-0.3967103525954618
ACH-000488,-0.36545085428984186
ACH-000490,-0.3340879601170605
ACH-000491,-0.32805111135388004
ACH-000495,-0.9430087106791576
ACH-000496,-0.4207883813625819
ACH-000499,-0.3828878572107165
ACH-000500,-0.4332078695112165
ACH-000502,-0.3746162883683531
ACH-000503,-0.8456984648515021
ACH-000505,-0.30972675601120564
ACH-000507,-0.4926298743190412
ACH-000510,-0.2388423955162001
ACH-000511,-1.004383311906062
ACH-000512,-0.5522705023145309
ACH-000516,-0.505042403957363
ACH-000517,-0.5787812940138473
ACH-000518,-0.4896038036141948
ACH-000520,-0.5459028252295037
ACH-000521,-0.523592750577471
ACH-000522,-0.536099628352243
ACH-000524,-0.5190750673830047
ACH-000527,-0.4503839272331486
ACH-000528,-0.4798416773135611
ACH-000537,-0.3244685403816524
ACH-000541,-0.7778008606696291
ACH-000542,-0.6389424885006745
ACH-000544,-0.7803899667702533
ACH-000545,-0.5253579929811757
ACH-000547,-0.8127791092062527
ACH-000548,-0.8087805802446376
ACH-000549,-0.6551225097463245
ACH-000550,-0.4185009351174465
ACH-000552,-0.24028424648932575
ACH-000556,-0.3737279388243449
ACH-000557,-1.1295881464651674
ACH-000569,-0.2868129700575292
ACH-000570,-0.2624543400335931
ACH-000571,-0.5829303571101427
ACH-000573,-0.4408022158066536
ACH-000576,-0.4034996968915283
ACH-000579,-0.2390839379303021
ACH-000580,-0.4980042982229017
ACH-000584,-0.5694178319324239
ACH-000585,-0.25111722940002457
ACH-000588,-0.8360616959645597
ACH-000589,-0.11454497130409573
ACH-000591,-0.352019967025256
ACH-000593,-0.23651329103410024
ACH-000600,-0.4141959963014317
ACH-000601,-0.34477177133536635
ACH-000605,-0.21667038959021698
ACH-000606,-0.6002861450286245
ACH-000608,-0.8999221720236031
ACH-000614,-0.5269331754429184
ACH-000616,-0.4834244931647431
ACH-000618,-0.2562663737365853
ACH-000619,-0.8604959235966351
ACH-000620,-0.6158063302299106
ACH-000621,-0.14928574343861634
