,CDR2L (30850)
ACH-000004,0.07220455218855368
ACH-000005,0.04111718077885459
ACH-000007,0.10203921405371713
ACH-000009,-0.00013937792292049948
ACH-000011,0.08739580272343192
ACH-000012,-0.005880530753898749
ACH-000013,0.04576603250757125
ACH-000014,0.14714588612059265
ACH-000015,0.006131416055752285
ACH-000017,0.062323606834563214
ACH-000018,0.02615989469512793
ACH-000019,-0.0771766502085518
ACH-000021,-0.057049411289631924
ACH-000022,0.023785074835672524
ACH-000025,-0.21849986289051027
ACH-000028,-0.08854555924071117
ACH-000030,-0.06273576978191893
ACH-000035,-0.138046131141996
ACH-000036,0.005386502299002907
ACH-000037,-0.14573644688051704
ACH-000039,-0.050712085291540684
ACH-000040,-0.008545818463316408
ACH-000041,-0.1511670339027038
ACH-000042,-0.07851221122812832
ACH-000045,-0.0757136370889264
ACH-000047,-0.08460519877595846
ACH-000052,-0.11520500526941607
ACH-000053,0.09057173647170452
ACH-000054,-0.04174073742922125
ACH-000055,-0.07654764601001422
ACH-000060,-0.03929298505931515
ACH-000067,-0.12239941611441355
ACH-000070,0.10398443595259044
ACH-000075,-0.18572583545984808
ACH-000078,-0.02001742180125108
ACH-000082,0.017228260831891218
ACH-000085,-0.2400599215161471
ACH-000086,-0.0468908596503396
ACH-000087,0.14390145299904233
ACH-000092,0.005394665118355247
ACH-000095,-0.05371932380755328
ACH-000097,0.022466400986389558
ACH-000098,-0.10398424837969436
ACH-000099,-0.0471404520894732
ACH-000108,-0.1526152831961738
ACH-000113,0.07186829418594481
ACH-000116,0.030188251217563213
ACH-000118,-0.07750565374533361
ACH-000120,-0.07173251277888705
ACH-000123,-0.006119905962511847
ACH-000127,-0.09781953456816672
ACH-000128,0.025326691165663683
ACH-000132,-0.0013991320634663869
ACH-000133,0.0691244245684739
ACH-000137,-0.1488371501273617
ACH-000138,-0.02927299772831993
ACH-000142,-0.28493454926392026
ACH-000143,-0.07041969472990214
ACH-000146,0.0742714144697563
ACH-000148,-0.0923440272310626
ACH-000150,0.039688484641071435
ACH-000152,0.004594689128788703
ACH-000153,0.052429683739131865
ACH-000159,-0.06518680009156229
ACH-000160,-0.15288239453167699
ACH-000163,-0.06088929689946551
ACH-000167,-0.5858720818474272
ACH-000168,-0.12049211639989132
ACH-000169,0.02834011061700142
ACH-000178,0.11647044843433348
ACH-000183,-0.04410657438066351
ACH-000188,-0.11812657857603842
ACH-000189,-0.02973452278162678
ACH-000190,-0.1615721428890656
ACH-000198,-0.07017999939085925
ACH-000203,-0.4457405216499013
ACH-000204,-0.1118499408808408
ACH-000206,0.031120252325685414
ACH-000207,0.07533601365759479
ACH-000208,0.09119323202867982
ACH-000210,0.07517129088910636
ACH-000211,-0.030503805301878725
ACH-000215,0.01604832324395503
ACH-000221,0.0030460254266292453
ACH-000222,0.020290882917659958
ACH-000223,0.047989929209434366
ACH-000226,-0.07685539613140567
ACH-000227,-0.030304571979559214
ACH-000228,-0.05647382536701522
ACH-000231,-0.07675342754515888
ACH-000232,0.07862188896375424
ACH-000233,-0.07419391353242999
ACH-000234,-0.08061886728924167
ACH-000235,-0.0005077121488845004
ACH-000237,0.006380115247183919
ACH-000238,-0.020903705405380595
ACH-000242,-0.09171288981687148
ACH-000243,-0.09760079363037204
ACH-000244,0.21544625704725015
ACH-000246,0.055934661691283034
ACH-000248,-0.09218973878830597
ACH-000250,-0.10730411398154442
ACH-000251,-0.03599973228595207
ACH-000252,-0.005660935170605794
ACH-000253,-0.1522838524711214
ACH-000255,-0.03652504327003103
ACH-000256,-0.051946920087761514
ACH-000257,-0.033996293172620234
ACH-000258,-0.039938929603713855
ACH-000259,-0.06588042536260533
ACH-000260,-0.03254616660991262
ACH-000261,0.08726550966057756
ACH-000262,0.12217200182536772
ACH-000263,-0.18605186725040124
ACH-000264,0.0257156144258311
ACH-000265,0.0277268653049052
ACH-000266,-0.1347185443730876
ACH-000272,-0.0701380862669171
ACH-000274,-0.04855897631229307
ACH-000277,0.011367769477881135
ACH-000278,-0.0033516461350016485
ACH-000279,0.01918715657221962
ACH-000280,-0.13775471591093366
ACH-000281,-0.039974835614157316
ACH-000288,-0.08217374812982223
ACH-000291,0.02498911983991368
ACH-000293,0.11232770544103532
ACH-000294,-0.0988565537305049
ACH-000295,-0.098322063855927
ACH-000296,0.1703131668148549
ACH-000302,-0.015259491787849846
ACH-000304,0.07032738423757333
ACH-000307,-0.028861240018290626
ACH-000308,0.0729643850601813
ACH-000310,-0.12059422438887304
ACH-000311,-0.12419248502783145
ACH-000312,-0.10999052381889177
ACH-000315,-0.1270037869298509
ACH-000316,-0.17550955684109573
ACH-000317,-0.02242227969063677
ACH-000318,-0.0006694101814958466
ACH-000319,-0.11218518122930296
ACH-000320,0.06247358328837635
ACH-000322,0.04895799778506906
ACH-000323,0.0425581424302376
ACH-000324,-0.11608637213464465
ACH-000329,-0.06095394374758896
ACH-000330,0.002316955603925353
ACH-000331,-0.007826481351387547
ACH-000332,0.031094707027392025
ACH-000334,0.08195569845763834
ACH-000335,0.032410174680382875
ACH-000336,0.02702879000898205
ACH-000337,-0.4817938172833173
ACH-000338,0.8437925647953907
ACH-000339,0.10125859615594804
ACH-000341,0.008284819847687253
ACH-000348,-0.04800990019540816
ACH-000350,0.07544423841264812
ACH-000352,-0.03795385499231724
ACH-000356,-0.05768301511965961
ACH-000361,0.12187160896560903
ACH-000362,0.08894511538707732
ACH-000363,-0.029597378035847763
ACH-000364,-0.0668809656030313
ACH-000365,-0.13484785241951253
ACH-000366,-0.1270190184028295
ACH-000368,0.08563228221307095
ACH-000374,-0.02405997937753669
ACH-000375,0.0550838084818983
ACH-000376,-0.01759181159712753
ACH-000381,-0.11273203753831346
ACH-000383,-0.05710818952231991
ACH-000387,0.04154479433836472
ACH-000389,0.1304471597624555
ACH-000390,-0.08863207524323491
ACH-000393,-0.11449132229371027
ACH-000395,-0.03152192678186433
ACH-000396,-0.07062733593460134
ACH-000397,-0.09120805475334598
ACH-000401,-0.07112184948648177
ACH-000402,-0.2884450320973608
ACH-000403,-0.07382649958938535
ACH-000404,-0.12104451922681753
ACH-000406,0.02498583022784847
ACH-000407,-0.0658775868276023
