,ATRIP (84126)
ACH-000004,-0.5242134871233355
ACH-000005,-0.6343409337774196
ACH-000007,-0.5121837866621606
ACH-000009,-0.3550015889306847
ACH-000011,-0.4689795721295278
ACH-000012,-0.7203916312965689
ACH-000013,-0.4380502930311685
ACH-000014,-0.6036200783192345
ACH-000015,-0.6021958910607463
ACH-000017,-0.4914484616614109
ACH-000018,-0.6019215151532994
ACH-000019,-0.7057168908980099
ACH-000021,-0.6079167594215602
ACH-000022,-0.7029985033084238
ACH-000025,-0.4885928116867593
ACH-000028,-0.6094149962449363
ACH-000030,-0.6066142875720925
ACH-000035,-0.6463790177169152
ACH-000036,-0.6338655096622072
ACH-000037,-0.10469132355258368
ACH-000039,-0.4634351660739053
ACH-000040,-0.27347666310725705
ACH-000041,-0.6650223626398868
ACH-000042,-0.773757379338752
ACH-000045,-0.38053307461601626
ACH-000047,-0.464083469561707
ACH-000052,-1.073235520103212
ACH-000053,-0.5379469050392179
ACH-000054,-0.4452274675871432
ACH-000055,-0.6983276835535398
ACH-000060,-0.6356255075182072
ACH-000067,-0.6014113662847423
ACH-000070,-0.4981729589267328
ACH-000075,-0.7572926222526379
ACH-000078,-0.32953424402232945
ACH-000082,-0.5591936964448664
ACH-000085,-0.4685902796904748
ACH-000086,-0.4929329584535193
ACH-000087,-0.6990232533401187
ACH-000092,-0.5511079986814303
ACH-000095,-0.3507356733300682
ACH-000097,-0.4683120601407118
ACH-000098,-0.5244454606579821
ACH-000099,-0.331530276485876
ACH-000108,-0.7136854103951219
ACH-000113,-0.553042776615367
ACH-000116,-0.455624245354693
ACH-000118,-0.5206907394804461
ACH-000120,-0.6179141164871804
ACH-000123,-0.5725212512184377
ACH-000127,-0.4775732236994323
ACH-000128,-0.6233165543764633
ACH-000132,-0.4793944286598682
ACH-000133,-0.5186215172755729
ACH-000137,-0.6775822562108982
ACH-000138,-0.6966253343024382
ACH-000142,-0.6284301465821127
ACH-000143,-0.5975217460225258
ACH-000146,-0.7492739630857167
ACH-000148,-0.4621370023155208
ACH-000150,-0.6414649727169403
ACH-000152,-0.5363751657290147
ACH-000153,-0.4248626319988311
ACH-000159,-0.5867316008336819
ACH-000160,-0.4733655066108277
ACH-000163,-0.4907891650766561
ACH-000167,-0.8873572796620881
ACH-000168,-0.4102669668999541
ACH-000169,-0.5752929588435262
ACH-000178,-0.5066454380211344
ACH-000183,-0.5171546055649029
ACH-000188,-0.5896209553347912
ACH-000189,-0.6387453329349869
ACH-000190,-0.4938457361627888
ACH-000198,-0.477250713724063
ACH-000203,-0.5528050350109354
ACH-000204,-0.5687250899867913
ACH-000206,-0.6609461845396455
ACH-000207,-0.4956148527604122
ACH-000208,-0.5428903886977867
ACH-000210,-0.4656880194605915
ACH-000211,-0.6241895390834482
ACH-000215,-0.5481626831989719
ACH-000221,-0.7683443928856039
ACH-000222,-0.4995047665659135
ACH-000223,-0.6881138865241043
ACH-000226,-0.3921238945665907
ACH-000227,-0.5558075884142302
ACH-000228,-1.0835450336340509
ACH-000231,-0.6325819014272321
ACH-000232,-0.4558675258919617
ACH-000233,-0.4541235076811835
ACH-000234,-0.5476153097763861
ACH-000235,-0.6170786779623353
ACH-000237,-0.5887094750490172
ACH-000238,-0.6673514567863998
ACH-000242,-0.4387003999680926
ACH-000243,-0.5486603377544704
ACH-000244,-0.39448096229187374
ACH-000246,-0.6456042293582477
ACH-000248,-0.4344572438776871
ACH-000250,-0.5410422866443839
ACH-000251,-0.7465210609055302
ACH-000252,-0.8036101996071916
ACH-000253,-0.5248061576916869
ACH-000255,-0.6040021417519239
ACH-000256,-0.6556721853764969
ACH-000257,-0.4992388893495333
ACH-000258,-0.36949802473295057
ACH-000259,-0.5647513074356759
ACH-000260,-0.717025239697289
ACH-000261,-0.5217049406858084
ACH-000262,-0.7692144806367456
ACH-000263,-0.2096563776441331
ACH-000264,-0.512318298924713
ACH-000265,-0.6557105675821772
ACH-000266,-0.5933587533031979
ACH-000272,-0.5847395434873519
ACH-000274,-0.4882070604998372
ACH-000277,-0.4250393898507124
ACH-000278,-0.5390466967249479
ACH-000279,-0.7087911862871646
ACH-000280,-0.5110023984032457
ACH-000281,-0.4934560471313215
ACH-000288,-0.5220253707470008
ACH-000291,-0.7467908570366404
ACH-000293,-0.6126485744217648
ACH-000294,-0.4240363915010539
ACH-000295,-0.6067509027752951
ACH-000296,-0.5678415841639846
ACH-000302,-0.6111509627138748
ACH-000304,-1.2826178361359395
ACH-000307,-0.4685116452771867
ACH-000308,-0.5808767094929083
ACH-000310,-0.4869993131468938
ACH-000311,-0.6808210394708355
ACH-000312,-0.6217303104160702
ACH-000315,-0.3872401493545989
ACH-000316,-0.7122366550803257
ACH-000317,-0.6028235948168564
ACH-000318,-0.6527765150712612
ACH-000319,-0.6959330582211114
ACH-000320,-0.4352173154414323
ACH-000322,-0.643121909770907
ACH-000323,-0.555305527011073
ACH-000324,-0.632225134048981
ACH-000329,-0.5501235656510992
ACH-000330,-0.3282973423638122
ACH-000331,-0.7076389295712578
ACH-000332,-0.4303365873966703
ACH-000334,-0.36311975997775225
ACH-000335,-0.4515347374439736
ACH-000336,-0.4986979145478388
ACH-000337,-0.5258798470012673
ACH-000338,-0.4400497982757218
ACH-000339,-0.5807789710219947
ACH-000341,-0.6343362198453666
ACH-000348,-0.4154782158587085
ACH-000350,-0.1761205314599638
ACH-000352,-0.6514217938177951
ACH-000356,-0.7594135634385172
ACH-000361,-0.5943192138318003
ACH-000362,-0.4003536701035463
ACH-000363,-0.5912786354939211
ACH-000364,-0.6803674155698701
ACH-000365,-0.482174774435256
ACH-000366,-0.6457440318649117
ACH-000368,-0.4043889762231483
ACH-000374,-0.8290954902501282
