,FAS (355)
ACH-000004,-0.11974466617163347
ACH-000005,-0.033939844550507636
ACH-000007,-0.0799889032207305
ACH-000009,-0.07586288384419276
ACH-000011,-0.02762514110087364
ACH-000012,-0.2292942032326344
ACH-000013,-0.07530029996753627
ACH-000014,-0.11605000308333918
ACH-000015,-0.23866548249598815
ACH-000017,0.01715370299517707
ACH-000018,-0.2947107007150207
ACH-000019,-0.07829611691114144
ACH-000021,-0.07837162894496627
ACH-000022,-0.1361904393505008
ACH-000025,-0.29505050098472546
ACH-000028,-0.1263399799859697
ACH-000030,-0.12366822745496145
ACH-000035,-0.22066209894167452
ACH-000036,-0.07032287657813124
ACH-000037,-0.17605930158529629
ACH-000039,-0.1330182807281569
ACH-000040,-0.2589951632247197
ACH-000041,-0.183134983172226
ACH-000042,-0.13647111189766425
ACH-000045,-0.08325940374556925
ACH-000047,-0.04222817968663077
ACH-000052,0.037442738071683114
ACH-000053,-0.06462144809240827
ACH-000054,-0.1709745431928716
ACH-000055,0.025018217083587646
ACH-000060,-0.13663401341887288
ACH-000067,-0.19485273550548168
ACH-000070,-0.2190553814188297
ACH-000075,-0.14374303563592308
ACH-000078,-0.1667934823358368
ACH-000082,-0.02743231834487328
ACH-000085,-0.07689065953178419
ACH-000086,-0.017974275406995012
ACH-000087,-0.025277726312575816
ACH-000092,-0.0495846679434705
ACH-000095,-0.12275712518999175
ACH-000097,-0.12875457183397845
ACH-000098,-0.14430027861791433
ACH-000099,-0.12783343041764758
ACH-000108,-0.09431631218861666
ACH-000113,-0.0660479148606571
ACH-000116,-0.024455989874519645
ACH-000118,-0.17434614676725907
ACH-000120,-0.07529279256304118
ACH-000123,-0.0967068365948326
ACH-000127,-0.16427631004134338
ACH-000128,-0.13000862305220673
ACH-000132,-0.15440374261612475
ACH-000133,-0.2223577762857918
ACH-000137,-0.0261686448632264
ACH-000138,-0.01255299562644408
ACH-000142,0.012522817029615291
ACH-000143,-0.22482985548100012
ACH-000146,-0.103400136043185
ACH-000148,-0.15146257036410032
ACH-000150,-0.08295390985409687
ACH-000152,-0.2015172051094112
ACH-000153,-0.28513614259960274
ACH-000159,-0.020325482517365573
ACH-000160,-0.12191024014506907
ACH-000163,-0.09191308440300733
ACH-000167,-0.4740669643642956
ACH-000168,-0.04160907183392213
ACH-000169,-0.15882211175380825
ACH-000178,-0.14783412951547967
ACH-000183,0.047110374244829466
ACH-000188,-0.05425861785660723
ACH-000189,-0.1243078594467312
ACH-000190,-0.10329459912993244
ACH-000198,-0.06165121924110021
ACH-000203,-0.23297679066787094
ACH-000204,0.060318385434623575
ACH-000206,-0.022939830579154157
ACH-000207,-0.019645039490283303
ACH-000208,-0.35956793537188986
ACH-000210,-0.04542311092253221
ACH-000211,-0.22307617780443126
ACH-000215,-0.10995935945751288
ACH-000221,-0.15403793510361988
ACH-000222,0.04427552084770056
ACH-000223,-0.13125141840395366
ACH-000226,-0.1115212957617039
ACH-000227,-0.32769529718972856
ACH-000228,-0.2297496150328431
ACH-000231,-0.15901586138924284
ACH-000232,-0.17633486871822532
ACH-000233,-0.20407197199173305
ACH-000234,-0.16095322996931394
ACH-000235,-0.14923048596578886
ACH-000237,-0.16740880368434266
ACH-000238,-0.24667740079669795
ACH-000242,-0.04518779339944246
ACH-000243,-0.11083579715310167
ACH-000244,0.18117718181054865
ACH-000246,-0.04868962622318733
ACH-000248,-0.03926954751424847
ACH-000250,-0.13214387455601198
ACH-000251,0.005742993154802025
ACH-000252,-0.13424445596735335
ACH-000253,-0.1119357019916142
ACH-000255,-0.13572781788755342
ACH-000256,-0.08649881592883353
ACH-000257,-0.18481588457924025
ACH-000258,-0.03356968800902911
ACH-000259,-0.05891225809577135
ACH-000260,-0.09617736882378183
ACH-000261,-0.13035576691732914
ACH-000262,-0.18044420946394646
ACH-000263,-0.27267366854952924
ACH-000264,-0.07143920942526097
ACH-000265,-0.11782874784414972
ACH-000266,-0.08589960186100802
ACH-000272,-0.10255756268185882
ACH-000274,-0.11069368347178488
ACH-000277,-0.07933638963224025
ACH-000278,-0.05827918055970989
ACH-000279,-0.15790116315246416
ACH-000280,-0.2179222895144564
ACH-000281,-0.20021355176361524
ACH-000288,-0.10073567281094932
ACH-000291,-0.09271670298476202
ACH-000293,-0.0980153992374912
ACH-000294,-0.07406795916211588
ACH-000295,0.10904833227278526
ACH-000296,-0.0193978915674755
ACH-000302,-0.18101513740806205
ACH-000304,-0.05162272395912259
ACH-000307,-0.1349681313806206
ACH-000308,-0.14115920600258758
ACH-000310,-0.10079841284015556
ACH-000311,-0.03374134293751106
ACH-000312,-0.1046305619661424
ACH-000315,-0.007942284963587067
ACH-000316,-0.14444898440687728
ACH-000317,-0.10491683804593788
ACH-000318,-0.07023714981455029
ACH-000319,-0.11355814895795273
ACH-000320,-0.160892409574795
ACH-000322,-0.08177068853272937
ACH-000323,-0.1890364284509491
ACH-000324,-0.11489683759568735
ACH-000329,-0.1337964335399898
ACH-000330,-0.04636990761643025
ACH-000331,-0.26988965312375485
ACH-000332,-0.1100248145584499
ACH-000334,-0.04422702684160637
ACH-000335,-0.026163945129483158
ACH-000336,0.2643796226846246
ACH-000337,-0.33857961377050944
ACH-000338,-0.10007984855860126
ACH-000339,-0.16449795366226205
ACH-000341,-0.16866389189375913
ACH-000348,-0.10305936741038492
ACH-000350,0.04507365061958325
