,MIF4GD (57409)
ACH-000004,-0.05036355755991909
ACH-000005,-0.1213535442719769
ACH-000007,0.20670109394313765
ACH-000009,-0.15045204576343668
ACH-000011,-0.14750293894698208
ACH-000012,-0.19348256561360488
ACH-000013,-0.08785376058768128
ACH-000014,0.017251604596229674
ACH-000015,-0.02265833302321363
ACH-000017,-0.13035372652026034
ACH-000018,-0.11413573881499972
ACH-000019,-0.20023869016823104
ACH-000021,-0.06695172184235616
ACH-000022,-0.11122623139220572
ACH-000025,-0.07300227452525124
ACH-000028,-0.02518272908675789
ACH-000030,-0.03738324353672659
ACH-000035,-0.07490738091977922
ACH-000036,-0.11351674598709255
ACH-000037,-0.10435960350202668
ACH-000039,-0.3183605116964621
ACH-000040,-0.2112198673827381
ACH-000041,-0.056275634748083066
ACH-000042,-0.23590982189863755
ACH-000045,-0.07994130999055847
ACH-000047,-0.13103910068049435
ACH-000052,-0.17090142326792612
ACH-000053,-0.0008182018176969104
ACH-000054,-0.05974431871173015
ACH-000055,-0.17727105219327885
ACH-000060,-0.18188815625279411
ACH-000067,-0.16300295714394356
ACH-000070,0.19749915151711567
ACH-000075,0.0060687776200706285
ACH-000078,-0.3318214068957853
ACH-000082,-0.2352904281831777
ACH-000085,-0.3440400558598562
ACH-000086,-0.01230348785256376
ACH-000087,-0.1034692044465812
ACH-000092,-0.15556274971303582
ACH-000095,-0.10381059834139104
ACH-000097,-0.03361139673683452
ACH-000098,-0.04189712706516187
ACH-000099,-0.4438398348166407
ACH-000108,-0.3155544663887967
ACH-000113,0.013914572228736509
ACH-000116,-0.14696831091954454
ACH-000118,-0.07284692372045255
ACH-000120,-0.13985620971038787
ACH-000123,-0.02268038591439391
ACH-000127,-0.19141496913881145
ACH-000128,-0.09123701431452924
ACH-000132,-0.02822313711962465
ACH-000133,-0.11989245789369
ACH-000137,-0.15013668046928833
ACH-000138,-0.08668631555014067
ACH-000142,-0.21924578118354626
ACH-000143,0.034945078751684934
ACH-000146,-0.07788285167111136
ACH-000148,-0.027315263580162508
ACH-000150,-0.3219474304607724
ACH-000152,-0.12715436584339115
ACH-000153,-0.05623399671741409
ACH-000159,-0.203019072236916
ACH-000160,-0.046817331716556894
ACH-000163,-0.1255060188770253
ACH-000167,-0.35835315892077635
ACH-000168,-0.08862109684784998
ACH-000169,-0.17715771221748253
ACH-000178,-0.1934952720129311
ACH-000183,0.06770624014759273
ACH-000188,-0.06209938462332595
ACH-000189,-0.4684141603659673
ACH-000190,-0.06557960882608045
ACH-000198,-0.164561630299832
ACH-000203,-0.08970192645712194
ACH-000204,-0.13692244174774787
ACH-000206,0.2532989503575168
ACH-000207,-0.23927261699437424
ACH-000208,-0.07860586158112948
ACH-000210,-0.1473048923522511
ACH-000211,-0.2345922859651963
ACH-000215,-0.18963745677273205
ACH-000221,-0.1448996395056342
ACH-000222,0.02432322154978785
ACH-000223,-0.05328580440557371
ACH-000226,-0.06802235595755922
ACH-000227,-0.05361219892556839
ACH-000228,0.013563194514216855
ACH-000231,-0.1919382383892376
ACH-000232,0.028098104607625133
ACH-000233,-0.08918074667731822
ACH-000234,-0.16351442311990294
ACH-000235,-0.16164582159398125
ACH-000237,-0.0935519044210655
ACH-000238,-0.26731062590283217
ACH-000242,0.029066604223548224
ACH-000243,-0.11447363267605025
ACH-000244,-0.0007130278559202447
ACH-000246,-0.15422471165931378
ACH-000248,-0.17128641113632925
ACH-000250,-0.15079516338647014
ACH-000251,-0.5201792930508607
ACH-000252,-0.11742091926015445
ACH-000253,-0.30243142388320665
ACH-000255,-0.2054303508339964
ACH-000256,-0.18554972070639686
ACH-000257,0.1605137425147363
ACH-000258,0.056322594598241287
ACH-000259,-0.08105495007334325
ACH-000260,-0.20179251961796216
ACH-000261,-0.12670446192918733
ACH-000262,0.04479460913423458
ACH-000263,-0.20126529242111754
ACH-000264,-0.17811266087517874
ACH-000265,0.012395379564469159
ACH-000266,-0.164356215129738
ACH-000272,-0.08005860749838044
ACH-000274,-0.13147389714857494
ACH-000277,-0.09154739449591308
ACH-000278,-0.11015843472701653
ACH-000279,-0.08710328226880312
ACH-000280,-0.2340148729576597
ACH-000281,0.042314455336552856
ACH-000288,-0.15110061522668594
ACH-000291,-0.16072230975849594
ACH-000293,-0.10499278352827517
ACH-000294,-0.013790687432851651
ACH-000295,-0.12422271352493862
ACH-000296,-0.16488968508811158
ACH-000302,0.05756877076652441
ACH-000304,-0.25279546793006313
ACH-000307,-0.06737484916872273
ACH-000308,-0.07590674252254967
ACH-000310,-0.23260878492112344
ACH-000311,-0.14277616295016402
ACH-000312,-0.07102238429277917
ACH-000315,0.02848633227905493
