,GOLGA6D (653643)
ACH-000004,-0.246302880611038
ACH-000005,-0.34489145427535073
ACH-000007,-0.3180965099462434
ACH-000009,-0.35934299335690295
ACH-000011,-0.3620863793978213
ACH-000012,-0.21894222675572508
ACH-000013,-0.20042423471831255
ACH-000014,-0.2806319719856233
ACH-000015,-0.20453816691263754
ACH-000017,-0.33195617650724196
ACH-000018,-0.3477914103346169
ACH-000019,-0.5487987524321738
ACH-000021,-0.2275189756225061
ACH-000022,-0.4042891738496184
ACH-000025,-0.30249435078508363
ACH-000028,-0.4245255182729111
ACH-000030,-0.24034134396579954
ACH-000035,-0.17830360710210694
ACH-000036,-0.3121692796386634
ACH-000037,-0.330374441511748
ACH-000039,-0.18295094267810103
ACH-000040,-0.2667540212685421
ACH-000041,-0.22239836113021888
ACH-000042,-0.2200395237544538
ACH-000045,-0.2933256008587724
ACH-000047,-0.23160548155466215
ACH-000052,-0.3445833408714208
ACH-000053,-0.17591069661980754
ACH-000054,-0.39580965751841823
ACH-000055,-0.3161675149746203
ACH-000060,-0.19069300287815946
ACH-000067,-0.4073135138004367
ACH-000070,-0.19601159289141912
ACH-000075,-0.24969828814822326
ACH-000078,-0.30735524685293864
ACH-000082,-0.2422218061970511
ACH-000085,-0.11343305513001935
ACH-000086,-0.27992171508381003
ACH-000087,-0.3970516384477288
ACH-000092,-0.27236637964042504
ACH-000095,-0.4519738879092944
ACH-000097,-0.20383253736578785
ACH-000098,-0.1712436060228979
ACH-000099,-0.4653035110061034
ACH-000108,-0.2331874538299359
ACH-000113,-0.22042658906366014
ACH-000116,-0.35611938310565194
ACH-000118,-0.24885482781190116
ACH-000120,-0.4284826658490038
ACH-000123,-0.2917595288373379
ACH-000127,-0.3670876842310041
ACH-000128,-0.3155557650471756
ACH-000132,-0.5333000667171621
ACH-000133,-0.30536532943780004
ACH-000137,-0.12272023552929574
ACH-000138,-0.1196173367343208
ACH-000142,-0.17467094044337192
ACH-000143,-0.343462750471456
ACH-000146,-0.2686802547296138
ACH-000148,-0.3093695290225022
ACH-000150,-0.5153045915785465
ACH-000152,-0.20595244576911154
ACH-000153,-0.25116257939286263
ACH-000159,-0.2344386410783355
ACH-000160,-0.27480499937897035
ACH-000163,-0.3048241622154319
ACH-000167,0.09790948868906388
ACH-000168,-0.16462172191352614
ACH-000169,-0.2626653361153277
ACH-000178,-0.3240765612345463
ACH-000183,-0.4798383434555557
ACH-000188,-0.3198377380794642
ACH-000189,-0.23962818940726155
ACH-000190,-0.20668049267675745
ACH-000198,-0.2968081628595687
ACH-000203,-0.31797016626263397
ACH-000204,-0.24710552112815004
ACH-000206,-0.27401714008787426
ACH-000207,-0.08858080814388428
ACH-000208,-0.25358638350954915
ACH-000210,-0.1923244423592851
ACH-000211,-0.3093505167456089
ACH-000215,-0.20552146691022635
ACH-000221,-0.3860930664476788
ACH-000222,-0.4305589181868015
ACH-000223,-0.3849948399466636
ACH-000226,-0.2107277943694628
ACH-000227,-0.283534620418755
ACH-000228,-0.2380635197801097
ACH-000231,-0.2616515993794377
ACH-000232,-0.2991774223762921
ACH-000233,-0.3856337867264336
ACH-000234,-0.2172727461905927
ACH-000235,-0.37406293052175976
ACH-000237,-0.2500855031974928
ACH-000238,-0.3653696745769353
ACH-000242,-0.2759337220200966
ACH-000243,-0.3663524587756785
ACH-000244,-0.4272554052198426
ACH-000246,-0.20156886850421932
ACH-000248,-0.3338049315385444
ACH-000250,-0.2426118540029442
ACH-000251,-0.1740178147038403
ACH-000252,-0.2916115974181042
ACH-000253,-0.3442053235919565
ACH-000255,-0.2846498362316832
ACH-000256,-0.31102804781207377
ACH-000257,-0.2646230003829019
ACH-000258,-0.3677253349067801
ACH-000259,-0.2494418125367961
ACH-000260,-0.2371272687874529
ACH-000261,-0.27448027352486304
ACH-000262,-0.29212568001952777
ACH-000263,-0.2974136013931157
ACH-000264,-0.2250373652690503
ACH-000265,-0.18139932274756
ACH-000266,-0.3149297825512126
ACH-000272,-0.2970139751289278
ACH-000274,-0.4086524253199815
ACH-000277,-0.2305763065169089
ACH-000278,-0.3066340970584478
ACH-000279,-0.3246389420105709
ACH-000280,-0.2378885424870978
ACH-000281,-0.2129461806211314
ACH-000288,-0.3753034389020129
ACH-000291,-0.18435140484916185
ACH-000293,-0.21269269122176435
ACH-000294,-0.1563854837129413
ACH-000295,-0.26563830253881915
ACH-000296,-0.11379648433689113
ACH-000302,-0.20518849091342328
ACH-000304,-0.4878467781549167
ACH-000307,-0.19691155845954847
ACH-000308,-0.2816199818244654
ACH-000310,-0.2956701453577499
ACH-000311,-0.23659436805205505
ACH-000312,-0.3220964489086452
ACH-000315,-0.1970055020947257
ACH-000316,-0.2945755247174255
ACH-000317,-0.2089427215507172
ACH-000318,-0.2546216785619059
ACH-000319,-0.4325965206666845
ACH-000320,-0.3547116538028004
ACH-000322,-0.4621132831459686
ACH-000323,-0.2853366022621598
ACH-000324,-0.2588151083764987
ACH-000329,-0.30902010838645233
ACH-000330,-0.24212012427847304
ACH-000331,-0.36525949028730603
ACH-000332,-0.2487414101909138
ACH-000334,-0.33286886062063525
ACH-000335,-0.3875264097160461
ACH-000336,-0.1441907340706221
ACH-000337,-0.4555814387883591
ACH-000338,-0.160391905077005
ACH-000339,-0.2121406202601336
ACH-000341,-0.4040653169633981
