,EBI3 (10148)
ACH-000004,0.02389707633348837
ACH-000005,-0.526121635905073
ACH-000007,-0.09084701864166082
ACH-000009,-0.013190183238707584
ACH-000011,-0.13679347700867284
ACH-000012,-0.20087739452820774
ACH-000013,-0.3819104092424077
ACH-000014,-0.2434745858767239
ACH-000015,-0.3986428659283775
ACH-000017,-0.18354877262109776
ACH-000018,-0.13410514755698014
ACH-000019,-0.4876593843055832
ACH-000021,-0.24297867659224226
ACH-000022,-0.27747271055554823
ACH-000025,-0.2704893167663288
ACH-000028,-0.18376739978701706
ACH-000030,-0.1701065447136124
ACH-000035,-0.2538586002449576
ACH-000036,-0.24773520862353726
ACH-000037,-0.08809380563494912
ACH-000039,-0.2298829147507427
ACH-000040,-0.3131824252547489
ACH-000041,-0.2448973606475699
ACH-000042,-0.15320182501375446
ACH-000045,-0.3354960792475901
ACH-000047,-0.07431118342121905
ACH-000052,-0.15351803320992793
ACH-000053,-0.26255982671411715
ACH-000054,-0.2448874906290271
ACH-000055,-0.10680907619248237
ACH-000060,-0.2314222095085325
ACH-000067,-0.16808006668731296
ACH-000070,-0.30331633226856997
ACH-000075,0.033462277623505836
ACH-000078,-0.1407062890914768
ACH-000082,-0.31247047322730803
ACH-000085,-0.12346264023243292
ACH-000086,-0.2658302924911441
ACH-000087,-0.06972575415186892
ACH-000092,-0.3635038563572017
ACH-000095,-0.1919014082004341
ACH-000097,-0.1638013704294418
ACH-000098,-0.20428844587658704
ACH-000099,-0.4084217041793701
ACH-000108,-0.21159284942487847
ACH-000113,-0.13106399044804934
ACH-000116,-0.20090490739715405
ACH-000118,-0.1708797693976362
ACH-000120,-0.06600133623843878
ACH-000123,-0.20718380624465654
ACH-000127,-0.2281927083902701
ACH-000128,-0.24939167086634026
ACH-000132,-0.19737951779510296
ACH-000133,-0.17371048938021008
ACH-000137,-0.11045078846288947
ACH-000138,-0.23933092710232526
ACH-000142,-0.3357061595613038
ACH-000143,-0.19755908451855245
ACH-000146,-0.17399647445819494
ACH-000148,-0.09168414667622082
ACH-000150,-0.3585338748298324
ACH-000152,-0.1958489720306899
ACH-000153,-0.09657910826496556
ACH-000159,-0.2247179299136006
ACH-000160,-0.002423513863907289
ACH-000163,-0.09518668589228617
ACH-000167,0.2052861273718595
ACH-000168,-0.20520707330127647
ACH-000169,-0.3085536485558445
ACH-000178,-0.122631292660752
ACH-000183,-0.1577328269562222
ACH-000188,-0.2412386065391719
ACH-000189,-0.110329176112643
ACH-000190,0.07374735815767268
ACH-000198,-0.24424381347434626
ACH-000203,-0.6342846782134277
ACH-000204,-0.23108672115151
ACH-000206,-0.2674779548112563
ACH-000207,-0.3395874970710547
ACH-000208,0.17400183853916887
ACH-000210,-0.25712176014163074
ACH-000211,-0.2684952560650352
ACH-000215,-0.10194289101857228
ACH-000221,-0.11374168883095942
ACH-000222,-0.1482551662793262
ACH-000223,-0.06936914116728737
ACH-000226,-0.19064826464266094
ACH-000227,-0.16940960153057052
ACH-000228,-0.2887056987998993
ACH-000231,-0.06747055864318749
ACH-000232,-0.1811174533199877
ACH-000233,-0.1504775695195074
ACH-000234,-0.1319325722682732
ACH-000235,-0.14690556107523514
ACH-000237,-0.0893467482664408
ACH-000238,0.09104014889916437
ACH-000242,-0.09758423276819253
ACH-000243,-0.27475172588053565
ACH-000244,-0.10044462363330492
ACH-000246,-0.2774216065744472
ACH-000248,-0.25366364809298964
ACH-000250,-0.2005216683070516
ACH-000251,-0.227016924235752
ACH-000252,-0.17271240813665933
ACH-000253,-0.25369414656216605
ACH-000255,-0.3028292390430777
ACH-000256,-0.20553212467896934
ACH-000257,-0.28533392418516795
ACH-000258,-0.22455699694527806
ACH-000259,-0.12163908848961415
ACH-000260,-0.239818407493348
ACH-000261,-0.34223034031807625
ACH-000262,-0.31910847659474634
ACH-000263,-0.2556671317773108
ACH-000264,-0.15094477633927245
ACH-000265,-0.22378043624877436
