,AMFR (267)
ACH-000004,-0.22302946579541014
ACH-000005,-0.3585627620835321
ACH-000007,-0.3038451976444196
ACH-000009,-0.04457390355852946
ACH-000011,-0.2753883006080709
ACH-000012,-0.3764585658630989
ACH-000013,-0.20108480950228447
ACH-000014,-0.18166083291095936
ACH-000015,-0.18956093282988976
ACH-000017,-0.16501837637943012
ACH-000018,-0.3745946821757187
ACH-000019,-0.19599611570465106
ACH-000021,-0.2389513419711349
ACH-000022,-0.32320955558693915
ACH-000025,-0.3131784800191619
ACH-000028,-0.0222876542231345
ACH-000030,-0.4049749822674089
ACH-000035,-0.3534208545491089
ACH-000036,-0.21849352155564333
ACH-000037,-0.30589180746319994
ACH-000039,-0.05680734496631409
ACH-000040,-0.3739094491677803
ACH-000041,-0.09133032844116656
ACH-000042,-0.17919987258793535
ACH-000045,-0.30701574916109164
ACH-000047,-0.28986457045061176
ACH-000052,-0.2477518345706545
ACH-000053,-0.2679329836817695
ACH-000054,-0.2610170266045278
ACH-000055,-0.20554130860100872
ACH-000060,-0.1955246559310136
ACH-000067,-0.2392490876638209
ACH-000070,-0.08258796707775486
ACH-000075,0.11896354569242168
ACH-000078,-0.1397324214154689
ACH-000082,-0.2580305310155642
ACH-000085,-0.2720813280533803
ACH-000086,-0.09804392639742418
ACH-000087,-0.1366756190952546
ACH-000092,-0.2779645306835289
ACH-000095,-0.10897081159600118
ACH-000097,-0.3038398089755154
ACH-000098,-0.34529851973007303
ACH-000099,-0.14335513573699762
ACH-000108,-0.2678392383029893
ACH-000113,-0.17029834792365994
ACH-000116,-0.05628324041622716
ACH-000118,-0.5835153701864412
ACH-000120,-0.005493167893751971
ACH-000123,-0.12274321572769865
ACH-000127,-0.5861205422556832
ACH-000128,-0.012839778661577407
ACH-000132,-0.2964629869073312
ACH-000133,-0.33094184252045244
ACH-000137,-0.28636315689007513
ACH-000138,-0.2443682862013343
ACH-000142,-0.2365896098496568
ACH-000143,-0.1214923708723377
ACH-000146,-0.4543353757506762
ACH-000148,-0.023550891333530742
ACH-000150,-0.08954546707569301
ACH-000152,-0.14165813841527738
ACH-000153,-0.24388467370808825
ACH-000159,-0.18136274766880775
ACH-000160,-0.2843557574909805
ACH-000163,-0.14980037472555952
ACH-000167,0.006842437674282597
ACH-000168,-0.4653864418706773
ACH-000169,-0.07372934275503558
ACH-000178,-0.2261331066552779
ACH-000183,-0.23783007870787565
ACH-000188,-0.1510415412356845
ACH-000189,-0.41617033540585374
ACH-000190,-0.15849540080098048
ACH-000198,-0.22915061549653734
ACH-000203,-0.4522044629346774
ACH-000204,-0.3696382889720378
ACH-000206,-0.4815617506043542
ACH-000207,-0.22924733502784464
ACH-000208,-0.4055469327277685
ACH-000210,-0.08182020508926248
ACH-000211,-0.23630332307884105
ACH-000215,-0.2035551498983727
ACH-000221,-0.2537689088277604
ACH-000222,-0.1928842194692043
ACH-000223,-0.2508529041938064
ACH-000226,-0.2815713018407183
ACH-000227,-0.358121356301598
ACH-000228,-0.31836778694086115
ACH-000231,-0.18596026659435694
ACH-000232,-0.22179673051077625
ACH-000233,-0.4043247365316976
ACH-000234,-0.3066379833548451
ACH-000235,-0.17758265382910352
ACH-000237,-0.17470523315676542
ACH-000238,-0.2423519874941393
ACH-000242,-0.4037013632184227
ACH-000243,-0.2391311379980613
ACH-000244,-0.2803901545517813
ACH-000246,-0.14060555965080354
ACH-000248,-0.2841672084490373
ACH-000250,-0.5193761395998878
ACH-000251,-0.245716696545508
ACH-000252,0.05494237535797696
ACH-000253,-0.31747158927683755
ACH-000255,-0.16081930589042484
ACH-000256,-0.2002241306578391
