,EVI5L (115704)
ACH-000004,-0.3886623104510085
ACH-000005,-0.3722368946621313
ACH-000007,-0.13273236291463025
ACH-000009,-0.02493814804454593
ACH-000011,0.018371476700856558
ACH-000012,-0.175036011196948
ACH-000013,-0.3278291670371629
ACH-000014,-0.2175400944077417
ACH-000015,-0.1945715633978097
ACH-000017,-0.14303248118714115
ACH-000018,-0.17640329348838454
ACH-000019,-0.3569935733979743
ACH-000021,-0.18752036590362925
ACH-000022,-0.13392453005272362
ACH-000025,-0.22381250532261632
ACH-000028,-0.2616209355008126
ACH-000030,-0.19742911118202391
ACH-000035,-0.1157592589435051
ACH-000036,-0.09098734489390176
ACH-000037,-0.15335714019628138
ACH-000039,-0.06272268199052443
ACH-000040,-0.09472220844003462
ACH-000041,-0.1246807130141514
ACH-000042,-0.0848801268586491
ACH-000045,-0.21893078653735884
ACH-000047,-0.26757978155026074
ACH-000052,0.062052517715162174
ACH-000053,-0.08424172489998541
ACH-000054,-0.0896826505333012
ACH-000055,-0.3586965899482279
ACH-000060,0.09169957904740307
ACH-000067,-0.09368315565746124
ACH-000070,-0.1945479011889344
ACH-000075,-0.2266817092547229
ACH-000078,-0.021297579059032682
ACH-000082,-0.06453066650039033
ACH-000085,0.02932161967243256
ACH-000086,-0.2294537744641582
ACH-000087,-0.3624358510340073
ACH-000092,-0.16579343421006112
ACH-000095,-0.17676224779244554
ACH-000097,-0.18421458128500195
ACH-000098,-0.2754450376137659
ACH-000099,-0.2416950811808179
ACH-000108,-0.1151525063708462
ACH-000113,-0.09107394512028698
ACH-000116,-0.21221517934241246
ACH-000118,-0.24648294970873025
ACH-000120,-0.014932438993037032
ACH-000123,-0.035329654900310536
ACH-000127,-0.23642038928323986
ACH-000128,-0.2633234259503649
ACH-000132,-0.062448340665604216
ACH-000133,-0.02345066059323829
ACH-000137,-0.3710999046214286
ACH-000138,-0.12491398732021462
ACH-000142,-0.21684568745696892
ACH-000143,-0.38935088725962697
ACH-000146,-0.14537339262422938
ACH-000148,-0.11732580815095606
ACH-000150,-0.08741961039107071
ACH-000152,-0.19394322689658927
ACH-000153,0.2435892974116461
ACH-000159,-0.2261025438954755
ACH-000160,-0.07931995880879977
ACH-000163,0.030460096933651325
ACH-000167,-0.07916236323372433
ACH-000168,-0.1530001455961293
ACH-000169,-0.1790400282989049
ACH-000178,-0.1294675133173883
ACH-000183,-0.1785749276179793
ACH-000188,-0.288881235158029
ACH-000189,-0.21054429360279686
ACH-000190,-0.09670750370416764
ACH-000198,-0.03120615425963
ACH-000203,-0.09261741822017223
ACH-000204,-0.3641595424793089
ACH-000206,-0.1752165572722416
