,CASZ1 (54897)
ACH-000004,-0.2601688937394828
ACH-000005,-0.34259221936882306
ACH-000007,-0.4282804060335271
ACH-000009,-0.17491748588463985
ACH-000011,0.04900203678948982
ACH-000012,-0.3767493193422108
ACH-000013,-0.23590902630464586
ACH-000014,-0.054155421317371936
ACH-000015,-0.030390658343134824
ACH-000017,-0.14721701085216374
ACH-000018,-0.3300557161695705
ACH-000019,0.1553357507343758
ACH-000021,-0.2417467979968317
ACH-000022,-0.16988641524426193
ACH-000025,-0.2451986646803584
ACH-000028,-0.1356653013778321
ACH-000030,-0.1024293222182082
ACH-000035,-0.2758772743200796
ACH-000036,0.006315189100035428
ACH-000037,-0.2759347367836561
ACH-000039,-0.1213581961011402
ACH-000040,-0.3044858313965361
ACH-000041,-0.286187421468916
ACH-000042,-0.1899608202740143
ACH-000045,-0.2201297774758948
ACH-000047,-0.2423838777195033
ACH-000052,-0.0417659614016911
ACH-000053,-0.3028172209394715
ACH-000054,-0.22287661736833536
ACH-000055,-0.4118693235143692
ACH-000060,-0.1643973398209304
ACH-000067,-0.2702856966092865
ACH-000070,-0.2524871983466083
ACH-000075,-0.4170546701194382
ACH-000078,-0.29511569130500576
ACH-000082,-0.099750898970889
ACH-000085,-0.3725239373874982
ACH-000086,-0.28566185905425234
ACH-000087,-0.4222842501388658
ACH-000092,-0.17331933845314493
ACH-000095,-0.18351777753762813
ACH-000097,0.17805794971146122
ACH-000098,-0.2674501417568529
ACH-000099,-0.2435520107343743
ACH-000108,-0.16962393350500174
ACH-000113,-0.2923718039413392
ACH-000116,-0.19848908543391575
ACH-000118,-0.14068052761500566
ACH-000120,-0.15344046273967155
ACH-000123,-0.0647203336609536
ACH-000127,-0.2232218909771578
ACH-000128,-0.3821800091785268
ACH-000132,-0.2413560464941901
ACH-000133,-0.15091140828094712
ACH-000137,-0.11472888936100015
ACH-000138,-0.1490965594595276
ACH-000142,-0.19817253822258366
ACH-000143,-0.14406427078706932
ACH-000146,-0.2181937292410036
ACH-000148,-0.2392835485862408
ACH-000150,-0.2272055653500548
ACH-000152,-0.29954169734081804
ACH-000153,-0.3174681290810669
ACH-000159,-0.2038479377073663
ACH-000160,-0.12156522836255305
ACH-000163,-0.3481832017705325
ACH-000167,-0.27577501631681045
ACH-000168,-0.3365555738845445
ACH-000169,-0.009076752907483587
ACH-000178,-0.40150861832728135
ACH-000183,-0.22414368136294632
ACH-000188,-0.13902904846382275
ACH-000189,-0.1777938640971739
ACH-000190,-0.21712876351808302
ACH-000198,-0.2034347948964924
ACH-000203,0.06596021320006791
ACH-000204,-0.2864567703855134
ACH-000206,-0.10666851401524603
ACH-000207,-0.2663652956350485
ACH-000208,-0.19671829225268686
ACH-000210,-0.4047058021105743
ACH-000211,-0.15826085106473955
ACH-000215,-0.3189992315015254
ACH-000221,-0.2354788002492613
ACH-000222,-0.31593494972918656
ACH-000223,-0.13012303656080765
ACH-000226,-0.2437898902770021
ACH-000227,-0.2413639446013297
ACH-000228,-0.07505133310087389
ACH-000231,-0.1481449366733496
ACH-000232,-0.20582617359531172
ACH-000233,-0.12647423930338075
ACH-000234,-0.2866207234106268
ACH-000235,-0.23916648700003265
ACH-000237,-0.3628209513234443
ACH-000238,-0.1514342331342271
ACH-000242,-0.5382423714628821
ACH-000243,-0.10455883432024766
ACH-000244,-0.22265352994694315
ACH-000246,-0.13538785439884374
ACH-000248,-0.6392481977894511
ACH-000250,-0.28331702621783644
ACH-000251,-0.15124558747704142
ACH-000252,-0.04699287797410291
ACH-000253,-0.3008110176179642
ACH-000255,-0.2974170561288033
ACH-000256,-0.2754892111787778
ACH-000257,-0.2917491394513149
ACH-000258,-0.9003605077878708
ACH-000259,-0.15557643611535568
ACH-000260,-0.26593644596365706
ACH-000261,-0.1476792427757578
ACH-000262,-0.09408310038170263
ACH-000263,-0.1813089011108585
ACH-000264,-0.2601029931661933
ACH-000265,-0.18285199285110476
ACH-000266,-0.17350607733427167
ACH-000272,-0.2804136343032139
ACH-000274,-0.31364128121233403
ACH-000277,-0.4054530874940202
ACH-000278,-0.1702195431044742
ACH-000279,-0.2791166810611394
ACH-000280,-0.1755472778129627
ACH-000281,-0.3123823176167694
ACH-000288,-0.41691031744583934
ACH-000291,-0.2647675327085937
ACH-000293,-0.2618346375572411
ACH-000294,-0.3973639705213057
ACH-000295,-0.2328118543282419
ACH-000296,-0.3742284917780402
ACH-000302,-0.3592667396922409
ACH-000304,-0.4092127531125889
ACH-000307,-0.1842079059803636
ACH-000308,-0.1030066743411856
ACH-000310,-0.29261617267951284
ACH-000311,-0.314852735436085
ACH-000312,-0.2798787496759234
ACH-000315,-0.26307552612219426
ACH-000316,-0.3362291050617291
ACH-000317,-0.26644016333031
ACH-000318,-0.3217539824629197
ACH-000319,-0.1890009640850649
ACH-000320,-0.27071660139495823
ACH-000322,-0.35017730100605376
ACH-000323,-0.276816647300706
ACH-000324,-0.14864563122264224
ACH-000329,-0.21474570978017707
ACH-000330,-0.4741777768180855
ACH-000331,-0.20753175855326492
ACH-000332,-0.26101060887507377
ACH-000334,-0.06307555597059666
ACH-000335,-0.28940638243613
ACH-000336,-0.215049433454228
ACH-000337,-0.0818280569815739
ACH-000338,-0.6597642795089661
ACH-000339,-0.13726179365855393
ACH-000341,-0.3086429275062934
ACH-000348,-0.2445964310006976
ACH-000350,-0.3045229601120803
ACH-000352,-0.6445914760097681
ACH-000356,-0.33447743677451064
ACH-000361,0.09233867746760237
ACH-000362,-0.3608650129952333
ACH-000363,-0.3930628731373225
ACH-000364,-0.4684260256881773
ACH-000365,-0.2211770210131813
ACH-000366,-0.2558118001131212
ACH-000368,-0.04200472222629609
ACH-000374,-0.36919186130669135
ACH-000375,-0.3202532893880796
ACH-000376,-0.12745580048045008
ACH-000381,-0.16879502261353518
ACH-000383,-0.17745536653525806
