,EEF1D (1936)
ACH-000004,-0.13758292763606364
ACH-000005,-0.10626735970121204
ACH-000007,0.0027346184108732827
ACH-000009,-0.2330037337507107
ACH-000011,-0.2392274430646344
ACH-000012,-0.12239874346880653
ACH-000013,-0.14086373894983314
ACH-000014,-0.05184246081254898
ACH-000015,-0.08971610963102254
ACH-000017,-0.2253259679719726
ACH-000018,-0.07838640548640012
ACH-000019,-0.20164741257927266
ACH-000021,-0.1892152598417081
ACH-000022,-0.09446269217996113
ACH-000025,-0.15000639728326298
ACH-000028,-0.05376235553657191
ACH-000030,-0.11151387537073587
ACH-000035,-0.11746718900112722
ACH-000036,-0.27248789195835266
ACH-000037,-0.3165495126954329
ACH-000039,-0.021618105564477616
ACH-000040,-0.1892776957323587
ACH-000041,-0.2603903591432559
ACH-000042,-0.2885883501946269
ACH-000045,-0.0077813134108241765
ACH-000047,-0.17192701350363698
ACH-000052,-0.11037326829696564
ACH-000053,-0.15923105421292108
ACH-000054,-0.1666604205383438
ACH-000055,-0.24126194749580784
ACH-000060,-0.16172900971664533
ACH-000067,-0.0664652368791917
ACH-000070,-0.13777941210921196
ACH-000075,-0.1361414801254283
ACH-000078,-0.17079997919773598
ACH-000082,-0.13139311323876754
ACH-000085,-0.15982738520328346
ACH-000086,-0.1986291928459105
ACH-000087,0.07261241658021787
ACH-000092,-0.15904960049518985
ACH-000095,-0.09252756374799892
ACH-000097,-0.17238346977790586
ACH-000098,-0.1271868490272942
ACH-000099,-0.11463283924091765
ACH-000108,-0.3604161327920711
ACH-000113,-0.2651936088016814
ACH-000116,-0.09780297736293864
ACH-000118,-0.18107926597907603
ACH-000120,-0.1461317133973722
ACH-000123,-0.18389413047148545
ACH-000127,-0.1607597360925944
ACH-000128,-0.048486927515098685
ACH-000132,-0.23974261327209645
ACH-000133,-0.20008712504230688
ACH-000137,-0.03217366556493145
ACH-000138,-0.15195175915385156
ACH-000142,-0.21660094773998748
ACH-000143,-0.06311566806000721
ACH-000146,-0.16460195811128814
ACH-000148,-0.07190948475475874
ACH-000150,-0.3570299357135261
ACH-000152,-0.08553121074866364
ACH-000153,-0.012095503299756562
ACH-000159,-0.2382354014587968
ACH-000160,-0.2376296385588549
ACH-000163,-0.06068002205713041
ACH-000167,-0.6568678717964685
ACH-000168,-0.03292832977549877
ACH-000169,-0.2606588334918794
ACH-000178,-0.294054281264467
ACH-000183,-0.17404078579099386
ACH-000188,-0.17714642684763016
ACH-000189,-0.02207627599236361
ACH-000190,-0.2308814141700876
ACH-000198,-0.058537493845874575
ACH-000203,-0.030127661688240742
ACH-000204,0.2094326124670204
ACH-000206,0.07365792257452981
ACH-000207,-0.3230993185110923
ACH-000208,-0.15731130317300035
ACH-000210,-0.28420689206201416
ACH-000211,-0.2498309310138715
ACH-000215,-0.21568225301634766
ACH-000221,-0.012294362556832134
ACH-000222,-0.3693954270854606
ACH-000223,-0.12906465327859126
ACH-000226,-0.1847026131851455
ACH-000227,-0.2478200208169218
ACH-000228,-0.1714130188396691
ACH-000231,-0.14909160548665926
ACH-000232,-0.2511458909188485
ACH-000233,-0.06450914143089309
ACH-000234,-0.22339651544110906
ACH-000235,-0.2283759935424708
ACH-000237,-0.09433026069658852
ACH-000238,-0.15963147582898504
ACH-000242,-0.21565372716860245
ACH-000243,-0.17382199442437768
ACH-000244,-0.13222524633586455
ACH-000246,-0.08438466083989303
ACH-000248,-0.27173995837463233
ACH-000250,-0.19137195084564165
ACH-000251,-0.19439059695306604
ACH-000252,-0.2897445115495142
ACH-000253,-0.1301881319316945
ACH-000255,-0.15535228675331547
ACH-000256,-0.3271688742236391
ACH-000257,-0.0691200601452048
ACH-000258,-0.07377647763809693
ACH-000259,-0.18265962039014536
ACH-000260,-0.2617250972847338
ACH-000261,-0.1765370531918917
ACH-000262,0.17604965962582628
ACH-000263,-0.2802691359731653
ACH-000264,-0.17632731484290928
ACH-000265,-0.17940506575273465
ACH-000266,-0.14429110348247706
ACH-000272,-0.08368855810773082
ACH-000274,-0.15931378341311778
ACH-000277,0.06500088713606389
ACH-000278,-0.1671578583947914
ACH-000279,-0.2725513153603393
ACH-000280,-0.26597363748813035
ACH-000281,-0.17108544169769505
ACH-000288,-0.20342579523515697
ACH-000291,-0.2304480363949799
ACH-000293,-0.10143369584110032
ACH-000294,-0.08664362739901267
ACH-000295,-0.1620007770273223
ACH-000296,-0.16550107791588178
ACH-000302,-0.13583222888549226
ACH-000304,-0.22251049610534898
ACH-000307,-0.0853206359834034
ACH-000308,-0.06251890168863443
ACH-000310,-0.010772558192570829
ACH-000311,-0.3782089638164669
ACH-000312,0.02110904185100561
ACH-000315,-0.1269559368936635
ACH-000316,-0.29768033127868104
ACH-000317,-0.1692229438097549
ACH-000318,-0.1222936180792992
ACH-000319,-0.1821830308083988
ACH-000320,-0.0953946488286001
ACH-000322,-0.30828624183115666
ACH-000323,-0.1545835811506511
ACH-000324,-0.22186717925763802
ACH-000329,-0.2397857915871733
ACH-000330,-0.2310901194374404
ACH-000331,-0.1881553734022665
ACH-000332,-0.22864322186696945
ACH-000334,0.06157071323724896
ACH-000335,-0.28696497466547083
ACH-000336,-0.4625709274993728
ACH-000337,-0.0393717388362209
ACH-000338,-0.5995183515813791
ACH-000339,-0.1742540112502842
ACH-000341,-0.09124865700202447
ACH-000348,-0.13002256242534274
ACH-000350,-0.16537921552164925
ACH-000352,-0.1816932152032216
ACH-000356,-0.1249589658148289
ACH-000361,-0.20695947327417727
ACH-000362,-0.2421270518248485
ACH-000363,-0.12778096352584833
ACH-000364,-0.19402075974967564
