,GLTSCR2 (29997)
ACH-000004,-0.5507531698859744
ACH-000005,-0.9220785073470644
ACH-000007,-0.3891798824413272
ACH-000009,-0.5777582736146237
ACH-000011,-0.5475238910410155
ACH-000012,-0.8073298221582086
ACH-000013,-0.7218776205516071
ACH-000014,-0.6593094941941333
ACH-000015,-0.8018984279340179
ACH-000017,-0.38154362960034616
ACH-000018,-0.5385100416395452
ACH-000019,-0.5958160380659704
ACH-000021,-0.693230410898277
ACH-000022,-0.7191003435389848
ACH-000025,-0.7368899457958933
ACH-000028,-0.4746688817292665
ACH-000030,-0.5118234811255405
ACH-000035,-0.6244689424424239
ACH-000036,-0.4698115723338037
ACH-000037,-0.6007178548420052
ACH-000039,-0.21177148785927147
ACH-000040,-0.3239352357120385
ACH-000041,-0.5079070929780859
ACH-000042,-0.494123660283731
ACH-000045,-0.42993593517033135
ACH-000047,-0.4996421122657968
ACH-000052,-0.6405945236463558
ACH-000053,-0.6612282975731844
ACH-000054,-0.7606403297835203
ACH-000055,-0.4683148596469502
ACH-000060,-0.4937060141527245
ACH-000067,-0.7350766633433142
ACH-000070,-0.5169171067000875
ACH-000075,-1.0720342136971859
ACH-000078,-0.6227914978407169
ACH-000082,-0.4631055780357014
ACH-000085,-0.4308637357903256
ACH-000086,-0.6849439753067788
ACH-000087,-0.6224050012296681
ACH-000092,-0.6782179480790768
ACH-000095,-0.5904901386951831
ACH-000097,-0.5487979388724324
ACH-000098,-0.6483376605133059
ACH-000099,-0.6266858696026529
ACH-000108,-0.8101845392413771
ACH-000113,-0.6626544078175589
ACH-000116,-0.7830857551746712
ACH-000118,-0.7332963201268462
ACH-000120,-0.7167300828845596
ACH-000123,-0.6170473063403229
ACH-000127,-0.6844234773651542
ACH-000128,-0.5726670862348978
ACH-000132,-0.8148915109910209
ACH-000133,-0.574043714195831
ACH-000137,-0.6947068250242352
ACH-000138,-0.5269582379076642
ACH-000142,-0.615450904590622
ACH-000143,-0.7661158787028552
ACH-000146,-0.6281657572228101
ACH-000148,-0.4214500217571461
ACH-000150,-0.4883365568778288
ACH-000152,-0.4841854891826452
ACH-000153,-0.7707442652641809
ACH-000159,-0.454408357768574
ACH-000160,-0.9124659795028134
ACH-000163,-0.5702873184662642
ACH-000167,-0.7353327984150619
ACH-000168,-0.6386030663425428
ACH-000169,-0.557376162639026
ACH-000178,-0.4756858392716087
ACH-000183,-0.4722805019509153
ACH-000188,-0.6753294198632702
ACH-000189,-0.7974873925828599
ACH-000190,-0.4380516571118092
ACH-000198,-0.5327551581357727
ACH-000203,-0.64167806312924
ACH-000204,-0.8351943994821039
ACH-000206,-0.5303356109320346
ACH-000207,-0.6623667447045891
ACH-000208,-0.6232860095930263
ACH-000210,-0.3467329092349091
ACH-000211,-0.6392793783634303
ACH-000215,-0.6430438628161428
ACH-000221,-0.7625866933103624
ACH-000222,-0.6168565251665985
ACH-000223,-0.5200180772766461
ACH-000226,-0.6280000432019921
ACH-000227,-0.2899382637708313
ACH-000228,-0.7494898695894819
ACH-000231,-0.4372690092773805
ACH-000232,-0.5673668611138453
ACH-000233,-0.4578945441021517
ACH-000234,-0.5807501801891449
ACH-000235,-0.5585024602434946
ACH-000237,-0.5842785806643123
ACH-000238,-0.6095659450078972
ACH-000242,-0.31012229780083883
ACH-000243,-0.5470069159125026
ACH-000244,-0.5497225664839043
ACH-000246,-0.6566424036092388
ACH-000248,-0.3903279686699144
ACH-000250,-0.463462410168004
ACH-000251,-0.4998704783569504
ACH-000252,-0.4843591887148756
ACH-000253,-0.6095263102891063
ACH-000255,-0.7074966037467448
ACH-000256,-0.6644285259758579
ACH-000257,-0.2849234392284708
ACH-000258,-0.6411584726992314
ACH-000259,-0.6047346098099873
ACH-000260,-0.6350956101721016
ACH-000261,-0.5277849540155386
ACH-000262,-0.4418534311168035
ACH-000263,-0.4095159881340972
ACH-000264,-0.5139624229598909
ACH-000265,-0.7408113574612992
ACH-000266,-0.7321645533539628
ACH-000272,-0.5461789120225419
ACH-000274,-0.4794089301489952
ACH-000277,-0.44932567466542656
ACH-000278,-0.6829185453532196
ACH-000279,-0.534065637644604
ACH-000280,-0.610851933639215
ACH-000281,-0.4832655029247756
ACH-000288,-0.5704803316056586
ACH-000291,-0.3905597755976748
ACH-000293,-0.5302134037618477
ACH-000294,-0.6774634614980206
ACH-000295,-0.9256834798805668
ACH-000296,-0.6020323641612471
ACH-000302,-0.7622354944995972
ACH-000304,-0.3228711262768437
ACH-000307,-0.596850071168076
ACH-000308,-0.7222117231241021
ACH-000310,-0.5651261755914652
ACH-000311,-0.400641042088077
ACH-000312,-0.689107607234561
ACH-000315,-0.6212598588271646
ACH-000316,-0.5959349717760333
ACH-000317,-0.295816571089852
ACH-000318,-0.4814575360818736
ACH-000319,-0.6324150799289078
ACH-000320,-0.4919457425124458
ACH-000322,-0.5178631569269098
ACH-000323,-0.6825589318751106
ACH-000324,-0.4699361280452941
ACH-000329,-0.6407331675693623
ACH-000330,-0.668294642495319
ACH-000331,-0.6627865683184538
ACH-000332,-0.6754036747643626
ACH-000334,-0.87156604607587
ACH-000335,-0.6726962015286022
ACH-000336,-0.5903832204659054
ACH-000337,-0.3798744808241725
ACH-000338,-0.2602605431024796
ACH-000339,-0.450491636371295
ACH-000341,-0.4845836285346725
ACH-000348,-0.6141397846387403
ACH-000350,-0.7607214757620022
ACH-000352,-0.6191374251577277
ACH-000356,-0.6071551513218584
ACH-000361,-0.7456088464791509
ACH-000362,-0.5806483086758024
ACH-000363,-0.4477733815001673
ACH-000364,-0.927649995184471
ACH-000365,-0.69775375836242
ACH-000366,-0.6306646910107054
ACH-000368,-0.5954274896877856
ACH-000374,-0.3510181016363545
ACH-000375,-0.4529058324984477
ACH-000376,-0.549054765058547
ACH-000381,-0.6738365256099496
ACH-000383,-0.6179711334349508
ACH-000387,-0.5872165156343272
ACH-000389,-0.5062890660584526
ACH-000390,-0.7109587042026589
ACH-000393,-0.6161130104764885
ACH-000395,-0.5488010986368301
ACH-000396,-0.30403424740845203
ACH-000397,-0.5599548801604914
ACH-000401,-0.2727845082314456
ACH-000402,-0.980784084795118
ACH-000403,-0.5325138976064874
ACH-000404,-0.8614862474528124
ACH-000406,-0.5536920446487337
ACH-000407,-0.9951989743634748
ACH-000408,-0.864013940486653
ACH-000410,-0.6454318308348257
ACH-000411,-0.5158233760676404
ACH-000414,-0.20026710665831665
ACH-000415,-0.5461785751074476
ACH-000416,-0.5752946207602856
ACH-000420,-0.5552365813916837
ACH-000421,-0.6044538903248186
ACH-000424,-0.5887732338061956
ACH-000425,-0.6210375607400589
ACH-000426,-0.4520154550979677
ACH-000427,-0.5671937283058256
