,CES5A (221223)
ACH-000004,-0.0355286127509642
ACH-000005,-0.137156838787193
ACH-000007,0.0259211783924088
ACH-000009,0.19012975891256864
ACH-000011,-0.01601571539183757
ACH-000012,-0.06820162256549382
ACH-000013,-0.07185265809297421
ACH-000014,-0.20626350939151708
ACH-000015,0.1295006677142124
ACH-000017,-0.027986673453569144
ACH-000018,0.08277730967692115
ACH-000019,0.06824198778519629
ACH-000021,-0.10525456626212494
ACH-000022,-0.01079102379394572
ACH-000025,-0.051575167127876485
ACH-000028,0.13816564961436492
ACH-000030,0.0491670112352115
ACH-000035,-0.41717160386648255
ACH-000036,0.056763277168808066
ACH-000037,-0.1571104582949062
ACH-000039,0.22826312493999465
ACH-000040,0.0414042554920349
ACH-000041,0.14127617897389833
ACH-000042,-0.008115986547405765
ACH-000045,0.10310965973841066
ACH-000047,0.0530656022465742
ACH-000052,-0.07810064727600961
ACH-000053,0.0783421004544512
ACH-000054,0.0026905638106128386
ACH-000055,0.04050578942284122
ACH-000060,-0.06684385934018214
ACH-000067,0.3350774002394234
ACH-000070,-0.05710567458354065
ACH-000075,-0.025140857101337788
ACH-000078,0.04665284402583055
ACH-000082,-0.07735137468079195
ACH-000085,0.11957985116229175
ACH-000086,-0.1513753392485719
ACH-000087,-0.043452453312800315
ACH-000092,-0.009060156089506822
ACH-000095,0.07823046697226728
ACH-000097,-0.017274816311996455
ACH-000098,-0.11143744256046063
ACH-000099,-0.013860104297889902
ACH-000108,-0.026287800174144872
ACH-000113,-0.09310087489877744
ACH-000116,-0.007320740500352297
ACH-000118,-0.09834773167995224
ACH-000120,0.015552275981772591
ACH-000123,0.020463134080496583
ACH-000127,-0.0626051911762715
ACH-000128,-0.0641605229155985
ACH-000132,-0.2725999089279839
ACH-000133,-0.03167451021190005
ACH-000137,-0.1183412320331912
ACH-000138,0.002268069063739273
ACH-000142,-0.1047697860476486
ACH-000143,0.0469514511197575
ACH-000146,-0.05165880410190792
ACH-000148,0.009065427397456256
ACH-000150,0.07706997119222836
ACH-000152,-0.025817685309212482
ACH-000153,-0.13663988413689368
ACH-000159,0.031414248371991825
ACH-000160,-0.0806448474262578
ACH-000163,0.08310270959092113
ACH-000167,0.27344002291878644
ACH-000168,-0.19463522106969602
ACH-000169,0.07946705325544966
ACH-000178,-0.06613747971514873
ACH-000183,-0.10203308391324306
ACH-000188,-0.0498035743247138
ACH-000189,-0.0879395781945814
ACH-000190,-0.10933274375687868
ACH-000198,0.03230738204759465
ACH-000203,-0.06508112163224293
ACH-000204,-0.014984528581924368
ACH-000206,-0.007370826835919221
ACH-000207,0.031293705538034886
ACH-000208,-0.10041305913639384
ACH-000210,0.07159171692022115
ACH-000211,-0.02733698865724444
ACH-000215,0.04214534446745008
ACH-000221,-0.0789926414061169
ACH-000222,-0.03792560497667418
ACH-000223,-0.052658862185392535
ACH-000226,-0.05777200461718698
ACH-000227,-0.11474948850023635
ACH-000228,-0.13293548571810845
ACH-000231,-0.019686929211718173
ACH-000232,0.12136084487714385
ACH-000233,-0.07189333487960888
ACH-000234,0.08888214520960129
ACH-000235,-0.08270012556528265
ACH-000237,-0.07402499569793282
ACH-000238,0.08180750990661564
ACH-000242,0.051058544436078726
ACH-000243,0.017230295011309012
ACH-000244,-0.0989888570586579
ACH-000246,0.05383655577927116
ACH-000248,-0.03674871090015306
ACH-000250,-0.007489400954605394
ACH-000251,0.006589904049161093
ACH-000252,0.05031850078473316
ACH-000253,-0.004267799950616596
ACH-000255,0.07383123753047285
ACH-000256,-0.06793770108200894
ACH-000257,0.07342173388836648
ACH-000258,-0.0369820057763224
ACH-000259,-0.13281228555603716
ACH-000260,-0.09131324058233188
ACH-000261,0.0390206342617318
ACH-000262,-0.06767804742848754
ACH-000263,0.04974138924812661
ACH-000264,-0.07601782493420672
