,RPRML (388394)
ACH-000004,-0.01068519162879437
ACH-000005,-0.13199734550805106
ACH-000007,-0.07948480572540867
ACH-000009,-0.06018381388800231
ACH-000011,-0.18878735871777325
ACH-000012,-0.24199249009140025
ACH-000013,-0.01647120425464485
ACH-000014,0.02067733273621793
ACH-000015,-0.09730184356926012
ACH-000017,0.03080106252537635
ACH-000018,-0.0773242206601863
ACH-000019,0.0039627427575023464
ACH-000021,0.1274170792739379
ACH-000022,-0.10671019256821077
ACH-000025,-0.16770119907753456
ACH-000028,0.019085934961833983
ACH-000030,-0.08908135088550946
ACH-000035,-0.07618574303570642
ACH-000036,-0.15129225228907986
ACH-000037,0.009607266792408337
ACH-000039,-0.24397365059455356
ACH-000040,-0.1301356464384719
ACH-000041,-0.13793842771320833
ACH-000042,-0.0574835756650053
ACH-000045,-0.10872523579452703
ACH-000047,-0.03647463709070413
ACH-000052,0.006517770208144465
ACH-000053,-0.06635126218589711
ACH-000054,-0.1150127975778539
ACH-000055,0.011303318249088468
ACH-000060,-0.01688240585113807
ACH-000067,-0.17951549188437765
ACH-000070,0.20645175378126576
ACH-000075,-0.08834459028283215
ACH-000078,0.0025778317793566517
ACH-000082,-0.08590838034714113
ACH-000085,0.0621759723056371
ACH-000086,-0.006058825187926606
ACH-000087,0.19120871860508346
ACH-000092,-0.12117762510399675
ACH-000095,-0.10801574844708628
ACH-000097,-0.0600329582673045
ACH-000098,0.030775084229905186
ACH-000099,0.0014893522529276439
ACH-000108,0.008268068360570079
ACH-000113,0.05416066643595757
ACH-000116,-0.2725458711469519
ACH-000118,0.012262994339130823
ACH-000120,-0.05628222537606182
ACH-000123,-0.026106847716337443
ACH-000127,0.1621173562286966
ACH-000128,-0.028592101593837287
ACH-000132,-0.31239067213438937
ACH-000133,-0.12006787902357922
ACH-000137,-0.1690040957242373
ACH-000138,-0.16836671090392852
ACH-000142,-0.1374758482231424
ACH-000143,-0.21725144231209234
ACH-000146,-0.06808549825060592
ACH-000148,-0.10490058079608773
ACH-000150,-0.012020458311946194
ACH-000152,-0.10469261968134634
