,POTEG (404785)
ACH-000004,-0.8286832419874853
ACH-000005,-1.1296708923518437
ACH-000007,-0.8719313461352366
ACH-000009,-0.6761130195559728
ACH-000011,-0.5696266577927115
ACH-000012,-0.4870572282737146
ACH-000013,-0.5654381905206375
ACH-000014,-0.6332500136212765
ACH-000015,-0.6640628440577607
ACH-000017,-0.7821785446189953
ACH-000018,-0.5925862646149703
ACH-000019,-0.6749330294160887
ACH-000021,-0.6623761579851443
ACH-000022,-0.8406268795126777
ACH-000025,-0.6089131829090157
ACH-000028,-0.5136020823519175
ACH-000030,-0.6642111003311845
ACH-000035,-0.6858072132549202
ACH-000036,-0.6481686776788071
ACH-000037,-0.6259800963223493
ACH-000039,-0.5517794250477822
ACH-000040,-0.5760243851729537
ACH-000041,-0.7488833418826023
ACH-000042,-0.6780018184097433
ACH-000045,-0.6593960637906316
ACH-000047,-0.3786094494058376
ACH-000052,-0.4931721375180733
ACH-000053,-0.7129226146004591
ACH-000054,-0.5779449269850123
ACH-000055,-0.5205511793761627
ACH-000060,-0.6361073911177011
ACH-000067,-0.6376760375884114
ACH-000070,-0.6249716989311928
ACH-000075,-0.7766917900866329
ACH-000078,-0.8393182475130164
ACH-000082,-0.4525983015223369
ACH-000085,-0.7444578437324384
ACH-000086,-0.7346297823178976
ACH-000087,-0.7191850219831153
ACH-000092,-0.8137464076980304
ACH-000095,-0.6517678220944753
ACH-000097,-0.7227683892146527
ACH-000098,-0.5959620440287776
ACH-000099,-0.6865954448344715
ACH-000108,-0.5124556050688378
ACH-000113,-0.6193351134421273
ACH-000116,-0.6728844528000334
ACH-000118,-0.4915117936984138
ACH-000120,-0.35698398607114085
ACH-000123,-0.5993842366904781
ACH-000127,-0.8061504915763317
ACH-000128,-0.6594685394367589
ACH-000132,-0.9152367360076918
ACH-000133,-0.6379339607122365
ACH-000137,-0.5472961873468591
ACH-000138,-0.5442863358150345
ACH-000142,-0.4970064303923753
ACH-000143,-0.6088193024149177
ACH-000146,-0.8247074252079555
ACH-000148,-0.6497612312732142
ACH-000150,-0.6846824222030711
ACH-000152,-0.5319670796224212
ACH-000153,-0.6293419532079251
ACH-000159,-0.7583778692563259
ACH-000160,-0.8209532924713466
ACH-000163,-0.6503049378374295
ACH-000167,-1.101535460870195
ACH-000168,-0.7266501515454779
ACH-000169,-0.6358765620455971
ACH-000178,-0.5903546021436451
