,TOE1 (114034)
ACH-000004,-0.5367052157791565
ACH-000005,-0.35275441386160056
ACH-000007,-0.4264065501709232
ACH-000009,-0.9791468500052896
ACH-000011,-0.8392517300981883
ACH-000012,-0.9106713681211992
ACH-000013,-0.9937550478182919
ACH-000014,-0.81952480850326
ACH-000015,-0.7048685750310092
ACH-000017,-0.5066049326124789
ACH-000018,-0.6310852820508613
ACH-000019,-0.4090277802903564
ACH-000021,-0.6271496697896202
ACH-000022,-0.4796975050142596
ACH-000025,-0.9068752617099852
ACH-000028,-0.3559172017098392
ACH-000030,-0.7660821124992278
ACH-000035,-0.6800304861273859
ACH-000036,-0.6725063223507082
ACH-000037,-1.243656954026303
ACH-000039,-0.5946313471572829
ACH-000040,-0.4161867099631157
ACH-000041,-0.42053294471846303
ACH-000042,-0.6820126650999808
ACH-000045,-0.4805371077251495
ACH-000047,-0.2449923996716512
ACH-000052,-0.42835829409384696
ACH-000053,-0.04039380636200735
ACH-000054,-0.1773800198389137
ACH-000055,-0.6602853956937149
ACH-000060,-1.1522657676038794
ACH-000067,-0.8130106568066253
ACH-000070,-0.5628477267246788
ACH-000075,-0.4552155337556311
ACH-000078,-0.2484817217782087
ACH-000082,-0.4235058001452996
ACH-000085,-0.6788549461908255
ACH-000086,-0.7693835364013963
ACH-000087,-0.5513723891403278
ACH-000092,-0.8417367719491758
ACH-000095,-0.2078076353647615
ACH-000097,-0.5546444459184879
ACH-000098,-0.7860094608689726
ACH-000099,-0.4169306920460896
ACH-000108,-0.29745283997958794
ACH-000113,-0.7408800899403629
ACH-000116,-0.5454016976588041
ACH-000118,-0.1979617946266161
ACH-000120,-0.9723797453785632
ACH-000123,-0.11436505388454447
ACH-000127,-0.6749550454491474
ACH-000128,-0.6924142076797112
ACH-000132,-0.9361355266151348
ACH-000133,-0.4128059536134457
ACH-000137,-0.1997372071830624
ACH-000138,-0.8324030464944936
ACH-000142,-0.7442063761364406
ACH-000143,-0.4605851677096946
ACH-000146,-0.2599066724684516
ACH-000148,-0.5732699448653431
ACH-000150,-0.28997920615963224
ACH-000152,-0.5917780416704091
ACH-000153,-0.6906221856973647
ACH-000159,-0.4091729265407695
ACH-000160,-0.6873431958651267
ACH-000163,-0.3610183948314027
ACH-000167,-0.9719606393545802
ACH-000168,-0.3718636676123379
ACH-000169,-0.17442257368642688
ACH-000178,-0.5697364434408082
ACH-000183,-0.6957487333366802
ACH-000188,-0.4352831493047597
ACH-000189,-0.11762947590222687
ACH-000190,-0.7317175834132392
ACH-000198,-0.6561814854401276
ACH-000203,-0.8362696991151564
ACH-000204,-0.2495575568684043
ACH-000206,-0.3842005178935993
ACH-000207,-0.6499076593327532
ACH-000208,-0.38643958458519706
ACH-000210,-0.60374118986436
ACH-000211,-0.3573904652429834
ACH-000215,-0.5485923151197439
ACH-000221,-0.7901066379210149
ACH-000222,-0.3316343940579362
ACH-000223,-0.9044248896449549
ACH-000226,-0.8597824757592213
ACH-000227,-0.4648483579070567
ACH-000228,-0.691260657852106
ACH-000231,-0.9811506014256928
ACH-000232,-0.9917885513387256
ACH-000233,-0.1145028442366422
ACH-000234,-0.3371890406335971
ACH-000235,-0.607818937005572
ACH-000237,-0.9460742015533722
ACH-000238,-0.6269322799033481
ACH-000242,-0.6953028339633487
ACH-000243,-0.7511322722041315
ACH-000244,-0.5068052856060182
ACH-000246,-0.7210830739342139
ACH-000248,-0.8536387911674062
ACH-000250,-0.7308385301599443
ACH-000251,-0.6053117585408636
ACH-000252,-0.4493786796142338
ACH-000253,-0.0666250880638931
ACH-000255,-0.19184832989387576
ACH-000256,-0.21818172320326307
ACH-000257,-0.4153697570452622
ACH-000258,-0.42059694439132345
ACH-000259,-0.18778001235127267
ACH-000260,-0.5532603887125775
ACH-000261,-0.17215667086891162
ACH-000262,-0.7908088882239499
ACH-000263,-0.4666254107695727
ACH-000264,-0.23484578832000216
ACH-000265,-0.6908323524268283
ACH-000266,-0.9275457422384936
ACH-000272,-0.7278104926916669
ACH-000274,-0.2268567757916473
ACH-000277,-0.3095937553282309
ACH-000278,-0.534819557698571
ACH-000279,-0.48665837047851895
ACH-000280,-0.5364789394696671
ACH-000281,-0.6873604382075417
ACH-000288,-0.6284223791773953
ACH-000291,-0.9428008978571149
ACH-000293,-0.3441974536656172
ACH-000294,-0.937948728113344
ACH-000295,-1.0045331511994822
ACH-000296,-0.6803541165055436
ACH-000302,-0.30284156222648023
ACH-000304,-0.5186821735686853
ACH-000307,-0.8312296007873107
ACH-000308,-0.4121637967419249
ACH-000310,-0.4478423283236228
ACH-000311,-0.5986999822497542
ACH-000312,-0.6490046677476528
ACH-000315,-0.5499762972371478
ACH-000316,-0.5774731661341548
ACH-000317,-0.4402697228254193
ACH-000318,-0.7728464275214642
ACH-000319,-0.3879040557063853
ACH-000320,-0.5814039854854645
ACH-000322,-0.6414529649513259
ACH-000323,-0.8157933831619726
ACH-000324,-0.4982161709402737
ACH-000329,-0.14406868997996922
ACH-000330,-0.6027727916796667
ACH-000331,-0.939458985749928
ACH-000332,-0.4006283748141261
ACH-000334,-0.37260413045965424
ACH-000335,-0.9891853699649248
ACH-000336,-0.4559016145181674
ACH-000337,-0.8978354263007902
ACH-000338,-0.5081500303019814
ACH-000339,-1.0188387896405398
ACH-000341,-0.5469747612430642
ACH-000348,-0.6855833007483655
ACH-000350,-0.9928310703864188
ACH-000352,-0.5640050992183334
ACH-000356,-0.41388858244143373
ACH-000361,-0.5370493513582563
ACH-000362,-0.5552114660308166
ACH-000363,-0.059428676711258975
ACH-000364,-0.8646903568797815
ACH-000365,-0.10313280344572484
ACH-000366,-0.4000977041679601
ACH-000368,-0.9828628726714844
ACH-000374,-0.10867839372495587
ACH-000375,-0.8295862493191064
ACH-000376,-0.8398486331948914
ACH-000381,-0.764485128586542
ACH-000383,-0.8710620991028604
ACH-000387,-0.6408412463313963
ACH-000389,-0.8645345875630058
ACH-000390,-0.7710802088567887
ACH-000393,-0.4547465525404941
ACH-000395,-0.6840754708923571
ACH-000396,-0.9789451659735632
ACH-000397,-0.9731626532423178
ACH-000401,-0.5570661536535506
ACH-000402,-0.008343165392120586
ACH-000403,-0.4376939580955492
ACH-000404,-0.2713608979404871
ACH-000406,-0.6128273796608228
ACH-000407,-1.1726674457826578
ACH-000408,-0.6368511967010948
ACH-000410,-0.8545374269406106
ACH-000411,-0.1396978483863746
ACH-000414,-0.5824441031050399
ACH-000415,-0.5474718239074632
ACH-000416,-1.0752283900883723
ACH-000420,-0.6213098006091755
ACH-000421,-0.7103692877910742
ACH-000424,-0.6731578894571075
ACH-000425,-0.4921767115100752
ACH-000426,-0.32440230592126873
ACH-000427,-0.3409456385944127
ACH-000433,-0.8403888872121619
ACH-000435,-0.9576512830843088
ACH-000436,-0.4779934379295526
ACH-000444,-0.7423233575226106
ACH-000445,-1.0554880413355547
ACH-000448,-0.4171369792322976
ACH-000450,-0.3397462529725757
ACH-000452,-0.5349822291758278
ACH-000454,-0.9473986475819134
ACH-000458,-0.7214086053782741
ACH-000459,-0.4031622803711884
ACH-000460,-0.8971008988548367
ACH-000461,-0.6352126068221364
ACH-000463,-0.5540857980848174
ACH-000464,-0.766704672189867
ACH-000466,-0.6668461404083174
ACH-000467,-0.25475851207735284
ACH-000468,-0.8178404102710278
ACH-000469,-0.4233376828482137
ACH-000470,-0.620232545163693
ACH-000471,-1.093387243266778
ACH-000472,-0.5596657656519206
ACH-000473,-0.7619115686176661
ACH-000475,-0.7923803371224921
ACH-000476,-0.5974538620732235
ACH-000477,-0.3675031980937144
ACH-000479,-0.7988449862343574
ACH-000480,-0.5269793335923044
ACH-000481,-0.7545108176807638
ACH-000483,-0.5628327401819408
ACH-000484,-0.3425560003036308
ACH-000485,-0.6836745169731117
ACH-000486,-0.4050407363109789
ACH-000487,-0.8565914541524222
ACH-000488,-0.7149914379418026
