,DOLK (22845)
ACH-000004,-0.8494572244667891
ACH-000005,-0.8549495708122227
ACH-000007,-0.6611206264755325
ACH-000009,-0.8031139600530699
ACH-000011,-0.7105268861719959
ACH-000012,-0.5054467646853886
ACH-000013,-0.5144508537029033
ACH-000014,-0.8230240709553179
ACH-000015,-0.7141909056539584
ACH-000017,-0.4339433511833696
ACH-000018,-0.6007546232047942
ACH-000019,-0.13022627872152673
ACH-000021,-0.3327020506228566
ACH-000022,-0.5426325222650029
ACH-000025,-0.5989292178592682
ACH-000028,-0.28975135671187824
ACH-000030,-0.5192295211880942
ACH-000035,-0.7304404164862264
ACH-000036,-0.6433151156409146
ACH-000037,-0.3142850893413324
ACH-000039,-0.5372251840042301
ACH-000040,-0.7036092954653711
ACH-000041,-0.6095251610117292
ACH-000042,-0.8079730546309102
ACH-000045,-0.6041452135245035
ACH-000047,-0.3938382606519656
ACH-000052,-0.8876548475328749
ACH-000053,-0.3523593360309189
ACH-000054,-0.5479305331633635
ACH-000055,-0.7109325527382491
ACH-000060,-0.5961008680216946
ACH-000067,-0.371528266368828
ACH-000070,-0.5437590576716825
ACH-000075,-0.5651854240685321
ACH-000078,-0.354695192765563
ACH-000082,-0.3539783691291014
ACH-000085,-0.6085822229346163
ACH-000086,-0.6579123359176391
ACH-000087,-0.40839744484534857
ACH-000092,-0.4526662873837113
ACH-000095,-0.18441119626097496
ACH-000097,-0.4972522073973704
ACH-000098,-0.83992857532198
ACH-000099,-0.6114681404185484
ACH-000108,-0.5981436953698528
ACH-000113,-0.3636207351974562
ACH-000116,-0.786749645407188
ACH-000118,-0.8455918609595495
ACH-000120,-0.5451097699748854
ACH-000123,-0.5692250546704295
ACH-000127,-0.6326538898035797
ACH-000128,-0.3560064855777097
ACH-000132,-0.6729908112124449
ACH-000133,-0.5012994927369219
ACH-000137,-0.6891414336494694
ACH-000138,-0.5356316454498323
ACH-000142,-0.6932093384940503
ACH-000143,-0.4675055459841129
ACH-000146,-0.3380399723319603
ACH-000148,-0.4964103996072703
ACH-000150,-0.6035949776095004
ACH-000152,-0.393877315013225
