,PODXL (5420)
ACH-000004,-0.3331664771655438
ACH-000005,0.12657569288634718
ACH-000007,-0.12057056161958278
ACH-000009,-0.10563164921399797
ACH-000011,-0.3782583556735226
ACH-000012,-0.21228216683470305
ACH-000013,0.03173320608556438
ACH-000014,-0.3314258376000127
ACH-000015,-0.19437831358679605
ACH-000017,-0.2558819245197745
ACH-000018,-0.2693890876620845
ACH-000019,-0.06044091701840746
ACH-000021,-0.2982873467324479
ACH-000022,-0.27848600602766355
ACH-000025,-0.17234352084290613
ACH-000028,-0.07365210018279214
ACH-000030,-0.10668658762611982
ACH-000035,-0.27880232808218075
ACH-000036,-0.1423207719072022
ACH-000037,-0.14468890879112106
ACH-000039,-0.2499196884782688
ACH-000040,0.02027324618510527
ACH-000041,-0.21269843021642976
ACH-000042,-0.11618997609880033
ACH-000045,-0.046716807685289394
ACH-000047,-0.23010944473709624
ACH-000052,-0.21981224821858805
ACH-000053,-0.10821010537253176
ACH-000054,-0.09351894517696034
ACH-000055,-0.13744991416076613
ACH-000060,-0.21308290339988065
ACH-000067,-0.4620368757913533
ACH-000070,-0.0989930333849292
ACH-000075,-0.3204491715608881
ACH-000078,-0.13530640223912738
ACH-000082,-0.0554875298667955
ACH-000085,-0.0962632526266034
ACH-000086,-0.07076989788146834
ACH-000087,-0.22096785489551526
ACH-000092,-0.02419422050221012
ACH-000095,-0.2025501811679545
ACH-000097,-0.1529452684574144
ACH-000098,-0.22646136949974344
ACH-000099,-0.08188298301571799
ACH-000108,-0.18365863407599506
ACH-000113,-0.13651025638160044
ACH-000116,-0.17007928682934584
ACH-000118,-0.1672371259034825
ACH-000120,-0.17575091266069967
ACH-000123,-0.14840444446516113
ACH-000127,-0.2168754181106208
ACH-000128,-0.1478534989838514
ACH-000132,-0.20914260843274884
ACH-000133,-0.2145336292340011
ACH-000137,-0.11502715910790925
ACH-000138,-0.10648930042709856
ACH-000142,-0.1395203902630498
ACH-000143,-0.026266898632557985
ACH-000146,-0.0661890800530275
ACH-000148,-0.17740522611055415
ACH-000150,-0.002020887021386368
ACH-000152,-0.20332314200026289
ACH-000153,-0.2704472108885877
ACH-000159,-0.16941557033582333
ACH-000160,-0.05055425537452425
ACH-000163,-0.1248955619511108
ACH-000167,-0.18626940431303207
ACH-000168,-0.07268019401401915
ACH-000169,0.06763409623628913
ACH-000178,-0.2675696056250572
ACH-000183,-0.3184663514275657
ACH-000188,-0.188409761077042
ACH-000189,-0.5066888412862258
ACH-000190,-0.11014525278265032
ACH-000198,-0.051539164998154405
ACH-000203,0.10606773781177767
ACH-000204,-0.32176778062534545
ACH-000206,-0.012755084545760348
ACH-000207,0.07329127424885673
ACH-000208,-0.08051843573098112
ACH-000210,-0.101279574920709
ACH-000211,-0.21879110762537976
ACH-000215,-0.10731844822160193
ACH-000221,-0.1757059118437986
ACH-000222,0.20035043248096376
ACH-000223,-0.10216220808902676
ACH-000226,-0.1832365750174879
ACH-000227,-0.07480824343704097
ACH-000228,-0.16832781595964336
ACH-000231,-0.15583670099120656
ACH-000232,-0.2920175339102737
ACH-000233,-0.18922416439509893
ACH-000234,-0.029850889097299906
ACH-000235,-0.12408148494751405
ACH-000237,-0.0902171576067184
ACH-000238,-0.1131203352959649
ACH-000242,-0.1997933095777858
ACH-000243,-0.1031616570582078
ACH-000244,-0.35577613201106784
ACH-000246,-0.22092544038804476
ACH-000248,-0.0753983807899816
ACH-000250,-0.18852598367677967
ACH-000251,-0.07433129791479934
ACH-000252,-0.0013322846957584944
ACH-000253,-0.2952373401462279
