,F11R (50848)
ACH-000004,-0.2477931170080027
ACH-000005,-0.22529447027472646
ACH-000007,-0.12483240527986082
ACH-000009,-0.27416563692712
ACH-000011,-0.1986265395514508
ACH-000012,0.0501603247589552
ACH-000013,-0.16163647397863454
ACH-000014,-0.1553232823814625
ACH-000015,-0.13934558189832166
ACH-000017,-0.0396921598686276
ACH-000018,-0.19727560004947006
ACH-000019,-0.13640064157886747
ACH-000021,-0.16117470782900312
ACH-000022,0.01961348079912416
ACH-000025,-0.2018857836433576
ACH-000028,-0.11426531844965734
ACH-000030,-0.08033106955431593
ACH-000035,-0.5902845635046926
ACH-000036,-0.052733511954935884
ACH-000037,-0.17378269309469496
ACH-000039,-0.08182434948753857
ACH-000040,-0.11629292103386207
ACH-000041,0.04583467656116077
ACH-000042,-0.07166760859668189
ACH-000045,-0.06076803186085334
ACH-000047,-0.3217652911150688
ACH-000052,-0.036027719550554366
ACH-000053,-0.10172949728271212
ACH-000054,-0.053968323075181165
ACH-000055,-0.07844729347264556
ACH-000060,-0.331174358170634
ACH-000067,-0.12333127105586167
ACH-000070,-0.3468541857729079
ACH-000075,-0.16109624732034225
ACH-000078,-0.0047863713020400885
ACH-000082,-0.025831892051882938
ACH-000085,-0.1207958383299418
ACH-000086,-0.1304827779094917
ACH-000087,-0.28481731794334736
ACH-000092,-0.2635379695263479
ACH-000095,-0.0996428363550971
ACH-000097,-0.10722615073953898
ACH-000098,-0.09024066370700848
ACH-000099,-0.0788551375667695
ACH-000108,-0.08262210403007601
ACH-000113,-0.2045078336966445
ACH-000116,-0.20776367931525988
ACH-000118,-0.4196914842454239
ACH-000120,-0.07573709155551385
ACH-000123,-0.05812836750670811
ACH-000127,-0.0014534589573917949
ACH-000128,0.12385899440820546
ACH-000132,-0.07156640613898131
ACH-000133,-0.16093064294448914
ACH-000137,-0.19182826530131727
ACH-000138,-0.0585788547347586
ACH-000142,-0.31145968673313673
ACH-000143,-0.19077687984247987
ACH-000146,-0.1484662190783535
ACH-000148,-0.08206983738330273
ACH-000150,-0.02637054173287641
ACH-000152,-0.11177415491541548
ACH-000153,0.02434910235675784
ACH-000159,-0.16866944626042454
ACH-000160,0.053294660513465215
