,RCN2 (5955)
ACH-000004,-0.04366958964611682
ACH-000005,-0.035337612699630205
ACH-000007,-0.07608872352181811
ACH-000009,-0.14977917652646536
ACH-000011,-0.06170887344604632
ACH-000012,-0.04017960042282112
ACH-000013,-0.13894791852045554
ACH-000014,-0.3366732707069495
ACH-000015,-0.041795242996480776
ACH-000017,-0.10974435122825378
ACH-000018,-0.2081497230263009
ACH-000019,-0.0717515122759705
ACH-000021,-0.052538232955178565
ACH-000022,-0.17744586704394116
ACH-000025,-0.08822793589934286
ACH-000028,-0.09916023468451744
ACH-000030,-0.1038984254420134
ACH-000035,-0.11412582778972995
ACH-000036,-0.2044780065811044
ACH-000037,-0.0960030060358774
ACH-000039,-0.5211641003786378
ACH-000040,-0.15228565128362578
ACH-000041,-0.07632527547631986
ACH-000042,-0.11625407856432947
ACH-000045,0.013846664119714313
ACH-000047,-0.05801276828668275
ACH-000052,-0.18186831177333174
ACH-000053,-0.09196276289753057
ACH-000054,-0.10968382842657064
ACH-000055,0.024296840168191683
ACH-000060,-0.02301689777383151
ACH-000067,-0.09692424042401486
ACH-000070,-0.08456120566077123
ACH-000075,-0.09347358528868396
ACH-000078,-0.04801449557447696
ACH-000082,-0.05246567684284841
ACH-000085,0.00551046077279942
ACH-000086,-0.14653517650008255
ACH-000087,-0.12147853257586685
ACH-000092,-0.17277309814589198
ACH-000095,-0.20782063642153634
ACH-000097,-0.1883332321099364
ACH-000098,-0.12381128925855678
ACH-000099,-0.21847365117088746
ACH-000108,-0.12488064660489545
ACH-000113,-0.1285537754851871
ACH-000116,-0.2309383710272876
ACH-000118,0.006779372395402635
ACH-000120,-0.04289826434043724
ACH-000123,-0.05025639750790039
ACH-000127,-0.14273097661127104
ACH-000128,-0.1487939203948858
ACH-000132,-0.15547724890520578
ACH-000133,-0.2437301411285649
ACH-000137,-0.02473948320904847
ACH-000138,-0.034293767537870425
ACH-000142,-0.14646032756898214
ACH-000143,-0.004880984560566915
ACH-000146,-0.12797788056282794
ACH-000148,-0.14855978616488244
ACH-000150,-0.19104514232286626
ACH-000152,-0.021876076638767856
ACH-000153,0.11853071435424352
ACH-000159,-0.15581651929112747
ACH-000160,-0.13144908445877695
ACH-000163,-0.11661773456596786
