,MARCKS (4082)
ACH-000004,-0.0238325049714562
ACH-000005,-0.2517168678477085
ACH-000007,-0.1999748071121527
ACH-000009,-0.07777806591917433
ACH-000011,-0.11850119239266307
ACH-000012,-0.14052679384048128
ACH-000013,-0.13971485574724155
ACH-000014,-0.11827770120987713
ACH-000015,-0.22275672873870547
ACH-000017,-0.35858494623692344
ACH-000018,-0.12915204920810658
ACH-000019,-0.2651986074315975
ACH-000021,-0.34000672401677234
ACH-000022,-0.1247691121652288
ACH-000025,-0.08073867703328247
ACH-000028,-0.2012707495027088
ACH-000030,-0.1401362690086133
ACH-000035,-0.0974154302671952
ACH-000036,-0.21433777490836328
ACH-000037,-0.4931846401540638
ACH-000039,-0.041403012194738915
ACH-000040,-0.2460090604016014
ACH-000041,-0.2705517468581143
ACH-000042,-0.3324284651022977
ACH-000045,-0.10851382313446614
ACH-000047,-0.2612455334949369
ACH-000052,-0.1951793412213867
ACH-000053,-0.059060363756728025
ACH-000054,-0.14236313334191678
ACH-000055,-0.16095864036229904
ACH-000060,-0.2306191613059458
ACH-000067,-0.2272288432362846
ACH-000070,-0.09089385239516934
ACH-000075,-0.3590011935328437
ACH-000078,0.139982268335732
ACH-000082,-0.23100621487747586
ACH-000085,-0.23761182031871436
ACH-000086,-0.24380625611295226
ACH-000087,-0.1453124934719958
ACH-000092,-0.18979949500167714
ACH-000095,-0.1280399252978878
ACH-000097,-0.28678224159702065
ACH-000098,-0.2606378624791945
ACH-000099,-0.3191061160453471
ACH-000108,-0.3700688004714869
ACH-000113,-0.19507737105710016
ACH-000116,-0.24627798286577934
ACH-000118,-0.1923758542414555
ACH-000120,-0.033803252374497765
ACH-000123,-0.1214879992563583
ACH-000127,-0.1705826193930257
ACH-000128,-0.2491397046936093
ACH-000132,-0.2715591458090745
ACH-000133,-0.2576435917186664
ACH-000137,-0.14159185915262185
ACH-000138,-0.09558397944238683
ACH-000142,-0.18191875899644525
ACH-000143,-0.4064691860905745
ACH-000146,-0.145915103617492
ACH-000148,-0.03602071937760205
ACH-000150,-0.08063396558723543
ACH-000152,-0.014364812253325216
ACH-000153,0.09531942128981584
ACH-000159,-0.26489023749225304
ACH-000160,-0.4688703618782973
ACH-000163,-0.17000542702423224
ACH-000167,-0.5099243150235533
ACH-000168,-0.03867792439899684
ACH-000169,0.046302471720879264
ACH-000178,-0.21973923685696428
ACH-000183,-0.056667722829328214
ACH-000188,-0.0892337914413986
ACH-000189,-0.005653364928650778
ACH-000190,-0.29172939957956345
ACH-000198,-0.23875377384209406
ACH-000203,-0.08137446608177483
ACH-000204,-0.3088875476235547
ACH-000206,-0.26294429892120746
ACH-000207,-0.14902742864947086
ACH-000208,-0.1341474664183606
ACH-000210,-0.049492066846192215
ACH-000211,-0.07249320300867104
ACH-000215,-0.1707169424622726
ACH-000221,-0.2275729597817511
ACH-000222,0.06431877541112989
ACH-000223,-0.24469984187322966
ACH-000226,-0.30460543332124895
ACH-000227,-0.2938773069617912
ACH-000228,-0.16550473323813147
ACH-000231,-0.08640190186954763
ACH-000232,-0.11433175266530635
ACH-000233,-0.037212751822523
ACH-000234,-0.12766678326147873
ACH-000235,-0.1226239799428205
ACH-000237,0.04141633914127539
ACH-000238,-0.11822172658885308
ACH-000242,0.13160045654096958
ACH-000243,-0.2036898805966024
ACH-000244,-0.32235003110104765
ACH-000246,-0.06331360125068193
ACH-000248,-0.3300758794958236
ACH-000250,-0.12071546341334075
ACH-000251,-0.10408395733185646
ACH-000252,-0.3465068203799961
ACH-000253,-0.15560302235849566
ACH-000255,-0.2457227569756908
ACH-000256,-0.18828324682414835
ACH-000257,0.012497231079304715
ACH-000258,-0.194092262626754
ACH-000259,-0.2755734831641045
ACH-000260,-0.19782763854680066
ACH-000261,-0.025628130649337003
ACH-000262,-0.20089435042564668
ACH-000263,-0.15538890616314574
ACH-000264,-0.08456917573102044
ACH-000265,-0.19158330905221604
ACH-000266,-0.34612160759242433
ACH-000272,-0.1647493439017207
ACH-000274,-0.1670947259694732
ACH-000277,-0.22718197759014805
ACH-000278,-0.09854086259427347
ACH-000279,-0.15185395073715988
ACH-000280,0.049101911272364004
ACH-000281,-0.2014531061769906
ACH-000288,0.0699548183976304
ACH-000291,-0.1822139642308756
ACH-000293,-0.18817007143691453
ACH-000294,-0.12241512259206044
ACH-000295,-0.05375610422761664
ACH-000296,0.0527608103817099
ACH-000302,-0.14761743536499453
ACH-000304,-0.2079946540533052
ACH-000307,-0.10660231439242984
ACH-000308,-0.16333707711306572
ACH-000310,0.02448633144814516
ACH-000311,-0.4866726108949518
ACH-000312,-0.2706790988105881
ACH-000315,-0.36997275182803796
ACH-000316,-0.12356263825914986
ACH-000317,-0.15989774284364422
ACH-000318,-0.11319642067911545
ACH-000319,-0.17071938611571455
ACH-000320,-0.4134669213677187
ACH-000322,-0.6386976074301167
ACH-000323,-0.11804860119499168
ACH-000324,-0.09941942586627052
ACH-000329,-0.1503371540315834
ACH-000330,-0.11164144573498064
ACH-000331,-0.24611975627953214
ACH-000332,-0.2949868215694782
ACH-000334,-0.0036310078507351736
ACH-000335,-0.18420808773176334
ACH-000336,0.012210671389752013
ACH-000337,-0.10964417134433938
ACH-000338,0.1050706338300073
ACH-000339,-0.09427527714806068
ACH-000341,-0.06802522191793726
ACH-000348,-0.40520382238487374
ACH-000350,-0.08051151825752909
ACH-000352,-0.13979940842887534
ACH-000356,-0.3928175424184794
ACH-000361,-0.7411154698017465
ACH-000362,-0.06306566480197692
ACH-000363,-0.05512261742891953
ACH-000364,-0.2270270181448779
ACH-000365,-0.11810375474516105
ACH-000366,-0.02709267356591549
ACH-000368,-0.1905183619320371
ACH-000374,0.034237358811892354
ACH-000375,-0.2271028782060999
ACH-000376,-0.20311787058156347
ACH-000381,-0.04732617298468264
ACH-000383,-0.17140277282678426
ACH-000387,-0.2416573457512852
ACH-000389,-0.31307476144234964
ACH-000390,-0.14221838891834004
ACH-000393,-0.19701818686740166
ACH-000395,-0.09101531741143837
ACH-000396,-0.21082269811682816
ACH-000397,-0.17420533355798998
ACH-000401,-0.2247076689475504
ACH-000402,0.0818149200313588
ACH-000403,-0.2305592697413665
ACH-000404,-0.15266059745202154
ACH-000406,-0.10136527165147953
ACH-000407,-0.2570475815629017
ACH-000408,-0.16906924655775354
