,NOXA1 (10811)
ACH-000004,-0.15352220768708627
ACH-000005,0.17161911086432016
ACH-000007,-0.10116788391505888
ACH-000009,-0.266235331787125
ACH-000011,-0.28378236069763146
ACH-000012,-0.2353202788460813
ACH-000013,-0.2027982122965607
ACH-000014,-0.14748091585234213
ACH-000015,-0.13880883809085393
ACH-000017,-0.20916093328114013
ACH-000018,0.006801264502495972
ACH-000019,-0.014142622626331447
ACH-000021,-0.11555701798248445
ACH-000022,-0.21982563755353915
ACH-000025,-0.17024237361582392
ACH-000028,0.05547309532403258
ACH-000030,-0.08243763403353434
ACH-000035,-0.09241412366081116
ACH-000036,-0.13295930799052805
ACH-000037,-0.07252676118165621
ACH-000039,-0.20282515567975304
ACH-000040,-0.1394900477806984
ACH-000041,-0.19253380606725606
ACH-000042,-0.29846708504340336
ACH-000045,-0.06947615099181584
ACH-000047,-0.15258889232431402
ACH-000052,-0.11431589180830565
ACH-000053,-0.19705154763260166
ACH-000054,-0.17247955455147568
ACH-000055,-0.15222166070994372
ACH-000060,-0.21061910284910754
ACH-000067,-0.20716596095461745
ACH-000070,-0.12808281703913826
ACH-000075,-0.16339562380595765
ACH-000078,-0.3235660467292656
ACH-000082,-0.14767218393981474
ACH-000085,-0.23868439171986294
ACH-000086,-0.010231372169841236
ACH-000087,-0.1089943706305112
ACH-000092,-0.13605827290554828
ACH-000095,-0.11809554534642105
ACH-000097,-0.048132595781776914
ACH-000098,-0.1191991366247157
ACH-000099,-0.22809118974817946
ACH-000108,-0.09382464058411943
ACH-000113,-0.14439782611889754
ACH-000116,-0.214474250627896
ACH-000118,-0.06920364512780536
ACH-000120,-0.2544350783713123
ACH-000123,-0.1263952959626129
ACH-000127,-0.2232220842037712
ACH-000128,-0.15803561404782573
ACH-000132,-0.1869616179412432
ACH-000133,-6.196232318699156e-05
ACH-000137,-0.10000282194727624
ACH-000138,-0.1033594644430123
ACH-000142,-0.04716194156813596
ACH-000143,-0.13023004432445073
ACH-000146,-0.23767262227531016
ACH-000148,-0.17501213056229978
ACH-000150,-0.3281249996345675
ACH-000152,-0.2278250882977808
