,LARS2 (23395)
ACH-000004,-0.37292179110586937
ACH-000005,-0.5322828093545044
ACH-000007,-0.9031070486935524
ACH-000009,-0.4278424864197515
ACH-000011,-0.08936950918406755
ACH-000012,-0.7330729128688743
ACH-000013,-0.5293936845641832
ACH-000014,-0.4016716292918696
ACH-000015,-0.7060903952979458
ACH-000017,-0.4122705209145539
ACH-000018,-0.8747885200511368
ACH-000019,-0.6728490379876667
ACH-000021,-0.4541009692145437
ACH-000022,-0.6884817588922878
ACH-000025,-0.7038800756520599
ACH-000028,-0.8541764708981009
ACH-000030,-0.5799185628098206
ACH-000035,-0.6778626561882297
ACH-000036,-0.07340003621252643
ACH-000037,-0.3787685231307629
ACH-000039,-0.39610070889291343
ACH-000040,-0.3732500771053242
ACH-000041,-0.557837465370787
ACH-000042,-0.3234227019845637
ACH-000045,-0.4447627254989676
ACH-000047,-0.8508988670414684
ACH-000052,-0.6850375091719529
ACH-000053,-0.33124223427541033
ACH-000054,-0.5706968884891711
ACH-000055,-0.3702292219653865
ACH-000060,-0.4115844889762456
ACH-000067,-0.5908566171987957
ACH-000070,-0.3882865321801665
ACH-000075,-0.41586975726348296
ACH-000078,-0.2551593355113916
ACH-000082,-0.29060644730649304
ACH-000085,-0.2798436705054637
ACH-000086,-0.899714381283652
ACH-000087,-0.8678582974150021
ACH-000092,-0.26091639429585545
ACH-000095,-0.09890239062052253
ACH-000097,-0.4237210868790501
ACH-000098,-0.4667421967343309
ACH-000099,-0.5814859898763362
ACH-000108,-0.26827768404499136
ACH-000113,-0.4517851459968126
ACH-000116,-0.4900896275449773
ACH-000118,-0.8146217681794099
ACH-000120,-0.42885881583234997
ACH-000123,-0.5546951741829751
ACH-000127,-1.0763441060793653
ACH-000128,-0.46179372417664705
ACH-000132,-0.3557694753212313
ACH-000133,-0.5627061873159728
ACH-000137,-0.31610316527539906
ACH-000138,-0.4773946084379844
ACH-000142,-0.3148506838169113
ACH-000143,-0.6662594279891821
ACH-000146,-0.4937939897774037
ACH-000148,-0.5648858988769998
ACH-000150,-0.8855192055587957
ACH-000152,-0.5423794663893345
ACH-000153,-0.5401704653376808
ACH-000159,-0.4699609954794508
ACH-000160,-0.6600158501262241
ACH-000163,-0.4808292050979563
ACH-000167,-0.04258144147411703
ACH-000168,-0.12522901779239798
ACH-000169,-0.6558972380685455
ACH-000178,-0.5640274925791197
ACH-000183,-0.6691929444970809
ACH-000188,-0.6583493662970735
ACH-000189,-0.7978425708916786
ACH-000190,-0.9351237146909204
ACH-000198,-0.5526206298595419
ACH-000203,-0.6700852139271074
ACH-000204,-0.3968818881509606
ACH-000206,-0.1706533837345449
ACH-000207,-0.7707326237734445
ACH-000208,-0.2504315305028368
ACH-000210,-0.7407792328505183
ACH-000211,-0.4003125344852141
ACH-000215,-0.644683227786678
ACH-000221,-0.800752269244026
ACH-000222,-0.5771624510158232
ACH-000223,-0.4708132882552018
ACH-000226,-0.250885517417265
ACH-000227,-0.4558267924496213
ACH-000228,-0.548690919871408
ACH-000231,-0.6508042863064766
ACH-000232,-0.6752380569642588
ACH-000233,-0.3459522873190416
ACH-000234,-0.4571370895868449
ACH-000235,-0.34877330275100576
ACH-000237,-0.28112946930194976
ACH-000238,-0.7908930536826034
ACH-000242,-0.336027600684701
ACH-000243,-0.2981609392704848
ACH-000244,-0.4159287275245496
ACH-000246,-0.7454016946475635
ACH-000248,-0.9654396439517156
ACH-000250,-0.11846042969071448
ACH-000251,-0.5109211503936166
ACH-000252,-0.8054723985702744
ACH-000253,-0.2477021496519616
ACH-000255,-0.4309305869517628
ACH-000256,-0.259368127303642
ACH-000257,-0.6391382062502281
ACH-000258,-0.5757004435044785
ACH-000259,-0.5995096791256282
ACH-000260,-0.3567904903134863
ACH-000261,-0.3389749693496609
ACH-000262,-0.5096972294682525
ACH-000263,-0.4321208914222112
ACH-000264,-0.4188902771926685
ACH-000265,-0.7864693949682896
ACH-000266,-0.1873582888591404
ACH-000272,-0.3948334540457151
ACH-000274,-0.2781502710143656
ACH-000277,-0.5777101868354021
ACH-000278,-0.1716679253483467
ACH-000279,-0.9278307711647666
ACH-000280,-0.38579615831394426
ACH-000281,-0.7425015438436803
ACH-000288,-0.8999514554697527
ACH-000291,-0.5400844241536159
ACH-000293,-0.5171127524003497
ACH-000294,-0.6133232069136871
ACH-000295,-0.5754798735000379
ACH-000296,-0.4849641624613363
ACH-000302,-0.4160999956607836
ACH-000304,-0.725145155058496
ACH-000307,-0.6251145996020024
ACH-000308,-0.40208347944462014
ACH-000310,-0.29327786181620297
ACH-000311,-0.3538833087731792
ACH-000312,-0.8138531233422917
ACH-000315,-0.6104205175454672
ACH-000316,-0.4609337973777433
ACH-000317,-1.7017148161714708
ACH-000318,-0.5175221092413801
ACH-000319,-0.2533043844141347
ACH-000320,-0.7322556495526696
ACH-000322,-0.2500587685656145
ACH-000323,-0.6305366122388573
ACH-000324,-0.4896970918795611
ACH-000329,-0.5762501119735756
ACH-000330,-0.5499195850532557
ACH-000331,-0.5215441675158539
ACH-000332,-0.11034341266403623
ACH-000334,-0.5311642313256386
ACH-000335,-0.8005189952484224
ACH-000336,-0.2577425721867805
ACH-000337,-0.6739893294293549
ACH-000338,-0.6304582877499189
ACH-000339,-0.6033839058836796
ACH-000341,-0.5275833170694528
ACH-000348,-0.3858981882238155
ACH-000350,-0.28586936710793714
ACH-000352,-0.5007573044496716
ACH-000356,-0.6055428304788857
ACH-000361,-0.30255767756764235
ACH-000362,-0.3141428051594965
ACH-000363,-0.4421902706900783
ACH-000364,-0.4382413166920718
ACH-000365,-0.8820136726748216
ACH-000366,-0.4995749824373603
ACH-000368,-0.3317763009665419
ACH-000374,-0.9669152702120696
ACH-000375,-0.5162080967283521
ACH-000376,-0.8383842262111724
ACH-000381,-0.7403793879031023
ACH-000383,-0.495997973879793
ACH-000387,-0.4911373497120455
ACH-000389,-0.2876722347876149
ACH-000390,-0.5053880504792742
ACH-000393,-0.2691187030127601
ACH-000395,-0.25570221730702564
ACH-000396,-0.7068212017079119
ACH-000397,-0.0654559644378837
ACH-000401,-0.6814074017452005
ACH-000402,-0.6833411283410574
ACH-000403,-0.3406162215827186
ACH-000404,-0.7349804748120233
ACH-000406,-0.5859478391324288
ACH-000407,-0.5270045547840378
ACH-000408,-0.8562683502975623
ACH-000410,-0.4479652120669021
ACH-000411,-0.2531153119558408
ACH-000414,-0.40595865931486624
ACH-000415,-0.5456619156447127
ACH-000416,-0.3385325596263721
ACH-000420,-0.3025399222703522
ACH-000421,-0.3839172781566783
ACH-000424,-0.5585925883061882
ACH-000425,-0.3308247120710424
ACH-000426,-0.2295514641596868
ACH-000427,-0.6081853456236179
ACH-000433,-0.46059700867183095
ACH-000435,-0.4971975520135999
ACH-000436,-0.15631488069423416
ACH-000444,-0.506460027240044
ACH-000445,-0.5870339342676236
ACH-000448,-0.2921873193833459
ACH-000450,-0.6093014383828844
ACH-000452,-0.3280728160070696
ACH-000454,-0.8857132173811241
ACH-000458,-0.7854054957167973
ACH-000459,-1.1351109500813326
ACH-000460,-0.5622633665634804
ACH-000461,-0.9954140875628132
ACH-000463,-0.3093065016091154
ACH-000464,-0.44976548273958267
ACH-000466,-0.4317419426110933
ACH-000467,-0.82589547327664
ACH-000468,-0.5063760003024859
ACH-000469,-0.7368653591526805
ACH-000470,-0.3414124474906857
ACH-000471,-0.23514696992133066
ACH-000472,-0.5125297383644625
ACH-000473,-0.4996140049314067
ACH-000475,-0.6280446300371977
ACH-000476,-0.5944172573893485
ACH-000477,-0.5155624293207733
ACH-000479,-0.744514518693443
ACH-000480,-0.718981084269481
ACH-000481,-0.35491457420102424
ACH-000483,-0.7427957624498789
ACH-000484,-0.3641091954792239
ACH-000485,-0.2271471085897269
ACH-000486,-0.6235312387376262
ACH-000487,-0.8469421980220686
ACH-000488,-0.7668748458129776
ACH-000490,-0.5367843234552662
ACH-000491,-0.6107912585980179
ACH-000495,-0.2801885928776593
ACH-000496,-0.3078543222076386
ACH-000499,-1.0809195301587686
ACH-000500,-0.8076016394075282
ACH-000502,-0.2934359323322417
ACH-000503,-0.5994074506291822
ACH-000505,-0.2320595495051976
ACH-000507,-0.6612581619595289
ACH-000510,-0.6171240899601577
ACH-000511,-0.6929703155434636
ACH-000512,-0.9331032670757152
ACH-000516,-0.2232501667900608
ACH-000517,-0.21017505273176326
ACH-000518,-0.9064630677180984
ACH-000520,-0.08825501591508575
ACH-000521,-0.3991680555191904
ACH-000522,-0.5620153409910512
ACH-000524,-0.2580703788757496
ACH-000527,-0.4211019843208255
ACH-000528,-0.6818176917891106
ACH-000537,-0.6890582079213621
ACH-000541,-0.2691054192677761
ACH-000542,-0.342015093321009
ACH-000544,-1.0068456776779129
ACH-000545,-0.7238250204926119
ACH-000547,-0.6562380331085578
ACH-000548,-0.4388980168908101
ACH-000549,-0.8287477625758319
ACH-000550,-0.4912654797317103
ACH-000552,-0.7567917686002287
ACH-000556,-0.3575353285440163
ACH-000557,-0.1729523059687308
ACH-000569,-0.6302053304622838
ACH-000570,-0.4127361690070748
ACH-000571,-0.4297260390149523
ACH-000573,-0.5395202248253026
ACH-000576,-0.14289481470429413
ACH-000579,-0.8282938989082756
ACH-000580,-0.5632982316875708
ACH-000584,-0.5043758037817149
ACH-000585,-0.38279463835744826
ACH-000588,-0.5605627380800049
ACH-000589,-0.7350692512013236
ACH-000591,-0.5074185837015069
ACH-000593,-0.6790933222219074
ACH-000600,-0.42365853181730395
ACH-000601,-0.7539009906095833
ACH-000605,-0.5521747477551252
ACH-000606,-0.8390238412183656
ACH-000608,-0.3201956515838853
ACH-000614,-0.8115030902096746
ACH-000616,-0.458793228489131
ACH-000618,-0.7857168751368439
ACH-000619,-0.7732574895293343
ACH-000620,-0.7592842503775205
ACH-000621,-0.32934713792417514
ACH-000622,-0.4983750698876394
ACH-000623,-0.3207758372877516
ACH-000624,-0.252669309197345
ACH-000627,-0.6686883685570594
ACH-000630,-0.8997791259017721
ACH-000631,-0.5662711037503373
ACH-000632,-0.4090436260992927
ACH-000633,-0.9392464184914924
ACH-000637,-0.5507356374791614
ACH-000638,-0.4846626426198568
ACH-000646,-0.5908982616660695
ACH-000647,-0.5801197613133786
ACH-000648,-0.3824203906022072
ACH-000649,-0.6950781994696693
ACH-000651,-1.2224659655601922
ACH-000652,-0.6529143592480098
ACH-000653,-0.4156296997666519
ACH-000657,-0.4639336821901298
ACH-000658,-0.4053752781982304
ACH-000661,-0.4933047911792369
ACH-000662,-0.21614134397268087
ACH-000663,-0.5864243909878852
ACH-000665,-0.2485266871926973
ACH-000671,-0.9213311738739064
ACH-000672,-0.7722257748041199
ACH-000673,-0.05613114053764927
ACH-000676,-0.8536795248130307
ACH-000677,-1.0572630941651862
ACH-000681,-0.5617463504670479
ACH-000683,-0.4857374079862612
ACH-000684,-0.4172707456529702
ACH-000688,-0.5065290545327643
ACH-000693,-0.8541371093493568
ACH-000694,-1.0150300348332622
ACH-000695,-0.9131927616422492
ACH-000696,-0.5086598075451504
ACH-000697,-0.4039053392936133
ACH-000699,-0.4208231942586125
ACH-000701,-0.54980145721874
ACH-000706,-0.8883990413366091
ACH-000711,-0.5572351940753147
ACH-000713,-0.7016594467545854
ACH-000714,0.06474480718417569
ACH-000718,-0.2510557041844143
ACH-000720,-0.6554589024963713
ACH-000721,-0.8528893817384999
ACH-000724,-0.5287833556892282
ACH-000725,-0.5399500755504564
ACH-000732,-0.6599117088900114
ACH-000734,-1.0565541398767435
ACH-000735,-0.6922095206944345
ACH-000736,-0.3518682697780243
ACH-000738,-0.8178992148001807
ACH-000746,-0.8319303729365732
ACH-000747,-0.9245334021760488
ACH-000748,-0.1315270147044384
ACH-000753,-0.5977527083107032
ACH-000756,-0.4475815540118699
ACH-000757,-0.6541451207658645
ACH-000758,-0.8318727615060272
ACH-000760,-0.5478806867853692
ACH-000762,-0.7987254654961581
ACH-000763,-0.5110880206454379
ACH-000764,-0.4452033789207566
ACH-000765,-0.672753994568474
ACH-000766,-0.3751904709523496
ACH-000767,-0.451833086958965
ACH-000768,-0.559129515623307
ACH-000769,-0.7859473305399052
ACH-000770,-0.4096966747598237
ACH-000771,-0.7967097095608764
ACH-000773,-0.04405664184204497
ACH-000776,-0.5609593674592189
ACH-000777,-0.843228537632635
ACH-000778,-0.5530445940667625
ACH-000781,-0.5074456266250519
ACH-000782,-0.5694234933460391
ACH-000783,-0.13049781550523654
ACH-000784,-0.7969815571610824
ACH-000785,-0.5531000219532789
ACH-000787,-0.6168585077827273
ACH-000788,-0.18468878419116705
ACH-000791,-0.3570380640993497
