,RNPC3 (55599)
ACH-000004,-1.20835082694772
ACH-000005,-1.7250131166549727
ACH-000007,-1.3898633059303125
ACH-000009,-1.4718113785584968
ACH-000011,-1.2651746790329206
ACH-000012,-1.471424502261495
ACH-000013,-1.3113047612129225
ACH-000014,-1.3807541545345363
ACH-000015,-1.3195930584573012
ACH-000017,-1.2528744859921677
ACH-000018,-1.1450775685154608
ACH-000019,-1.2311615491776209
ACH-000021,-1.4317815627136838
ACH-000022,-1.5735621165094706
ACH-000025,-1.4453400597016126
ACH-000028,-1.4927640207167323
ACH-000030,-1.4371651275382509
ACH-000035,-1.2116175360596837
ACH-000036,-1.3154196043090916
ACH-000037,-1.3658217084762403
ACH-000039,-1.4490844964104133
ACH-000040,-1.213104946243035
ACH-000041,-1.337664875762287
ACH-000042,-1.3602646495730042
ACH-000045,-1.4535919584483317
ACH-000047,-1.3739104307360774
ACH-000052,-0.9989985052575008
ACH-000053,-1.4527212359864754
ACH-000054,-1.4347739284498824
ACH-000055,-1.131109881595974
ACH-000060,-1.241968425820509
ACH-000067,-1.3288638468152654
ACH-000070,-1.4941236055988358
ACH-000075,-1.1862508482689238
ACH-000078,-1.1507290072359388
ACH-000082,-1.5683798362531631
ACH-000085,-1.544637242331548
ACH-000086,-1.1325148644242342
ACH-000087,-1.1976071146474043
ACH-000092,-1.3134801776900664
ACH-000095,-1.2837082529352284
ACH-000097,-1.5042226164629584
ACH-000098,-1.331989908928136
ACH-000099,-1.2080016404818608
ACH-000108,-1.1114600020433951
ACH-000113,-1.4742804531070757
ACH-000116,-1.4392722964494242
ACH-000118,-1.4837463348757385
ACH-000120,-1.466494176435065
ACH-000123,-1.2308853770670578
ACH-000127,-1.2133427562660921
ACH-000128,-1.1552662370497904
ACH-000132,-1.4581487083221354
ACH-000133,-1.4346748606661532
ACH-000137,-1.1869088818155051
ACH-000138,-1.267179841776188
ACH-000142,-1.2595617059116542
ACH-000143,-1.4836630977395848
ACH-000146,-1.461020472105497
ACH-000148,-1.5571422886043147
ACH-000150,-1.446727608175258
ACH-000152,-1.2769141175484093
ACH-000153,-1.7208655477596446
ACH-000159,-1.1611614100297234
ACH-000160,-1.501740446297988
ACH-000163,-1.3949318577943008
ACH-000167,-2.388159130858699
ACH-000168,-1.3156511208311512
ACH-000169,-1.2699294375958528
ACH-000178,-1.3448727726883711
ACH-000183,-1.2269870902649886
ACH-000188,-1.3091869195201356
ACH-000189,-1.2820621269048398
ACH-000190,-1.4123498695147774
ACH-000198,-1.412052870368965
ACH-000203,-1.528590323656794
ACH-000204,-1.307136388941262
ACH-000206,-1.8511389154626712
ACH-000207,-1.512185511623995
ACH-000208,-1.1980406039079021
ACH-000210,-1.2208333945708485
ACH-000211,-1.4125676588701481
ACH-000215,-1.295377883067213
ACH-000221,-1.21215711443872
ACH-000222,-1.3402305019566825
ACH-000223,-1.3231515643629987
ACH-000226,-1.2961932433595331
ACH-000227,-1.508390801818709
ACH-000228,-1.645631229148408
ACH-000231,-1.3675535326330337
ACH-000232,-1.3717355199692096
ACH-000233,-1.5887540266159816
ACH-000234,-1.4047769182377663
ACH-000235,-1.328942970806567
ACH-000237,-1.4247598452681491
ACH-000238,-1.2480777413389263
ACH-000242,-0.947703854899792
ACH-000243,-1.5268205306371467
ACH-000244,-1.2261881413456277
ACH-000246,-1.4052450565232617
ACH-000248,-1.3149618604359243
ACH-000250,-1.1014578379583495
ACH-000251,-1.9507811389479144
ACH-000252,-1.508719423762596
ACH-000253,-1.435688657765598
ACH-000255,-1.3130900804498593
ACH-000256,-1.4010266662365312
ACH-000257,-1.4734131132613693
ACH-000258,-1.0932576414521895
ACH-000259,-1.1876934863466413
ACH-000260,-1.44676080251412
ACH-000261,-1.5459972468661736
ACH-000262,-1.3420485212970128
ACH-000263,-1.4707886195622433
ACH-000264,-1.6154237657474642
ACH-000265,-1.4772261019796196
ACH-000266,-1.441707308470655
ACH-000272,-1.2288763978990225
ACH-000274,-1.3788905168644647
ACH-000277,-1.5922916575501025
ACH-000278,-1.621823523786284
ACH-000279,-1.3106599440824152
ACH-000280,-1.0795802542989443
ACH-000281,-0.9474177316561944
ACH-000288,-1.422335132164996
ACH-000291,-1.5247611668780114
ACH-000293,-1.6635005704293842
ACH-000294,-1.5160730822390942
ACH-000295,-1.6434769290383275
ACH-000296,-1.08623285648618
ACH-000302,-1.5068219316877978
ACH-000304,-2.031419382811326
ACH-000307,-1.352276432468203
ACH-000308,-1.2123053442154783
ACH-000310,-1.0908454539624317
ACH-000311,-1.7038500704286663
ACH-000312,-1.2475794394945527
ACH-000315,-1.3226843459908395
ACH-000316,-1.288659534999964
ACH-000317,-1.2693915457730782
ACH-000318,-1.66238903648572
ACH-000319,-1.6761521984868946
ACH-000320,-1.5450265589543617
ACH-000322,-1.1440020484569808
ACH-000323,-1.4372722387167238
ACH-000324,-1.1581651325767812
ACH-000329,-1.1957718486496884
ACH-000330,-1.3070794321163828
ACH-000331,-1.5456036210534376
ACH-000332,-1.5912732929484654
ACH-000334,-1.63091904359362
ACH-000335,-1.1878406358486922
ACH-000336,-1.5771337273110302
ACH-000337,-1.4631776982029698
ACH-000338,-0.7666950841636174
ACH-000339,-1.4586632622647888
ACH-000341,-1.830437094232536
ACH-000348,-1.6690044768327508
ACH-000350,-1.5897374715922448
ACH-000352,-1.5110881069743274
ACH-000356,-1.4937912922883048
ACH-000361,-1.577862996984331
ACH-000362,-1.527946891803215
ACH-000363,-1.4532166236415056
ACH-000364,-1.4800376235300947
ACH-000365,-1.439610850669793
ACH-000366,-1.1843280053286949
ACH-000368,-1.1792206183729044
ACH-000374,-1.5168294173917796
ACH-000375,-1.2077465062466817
ACH-000376,-1.5601110618402787
ACH-000381,-1.4704953005804136
ACH-000383,-1.2265152116614524
ACH-000387,-1.7629303262898963
ACH-000389,-1.584251131984616
ACH-000390,-1.5661536477272349
ACH-000393,-1.3958555435774709
ACH-000395,-1.0528804688954019
ACH-000396,-1.0304345871695355
ACH-000397,-1.4902657879814345
ACH-000401,-1.4737412487651018
ACH-000402,-1.3232622432698558
ACH-000403,-1.2090317689268149
ACH-000404,-1.4330027121533442
ACH-000406,-1.5302836712247083
ACH-000407,-1.3340369954239033
ACH-000408,-1.1837878918453268
ACH-000410,-1.208396398246426
ACH-000411,-1.4548870844674426
ACH-000414,-1.6335487587325808
ACH-000415,-1.4539013610713292
ACH-000416,-1.2308977411969484
ACH-000420,-1.1488145704179058
ACH-000421,-1.6200869110669205
ACH-000424,-1.157354414580111
ACH-000425,-1.293374077561113
ACH-000426,-2.151992617892128
ACH-000427,-1.5934115095945192
ACH-000433,-0.8888677626835886
ACH-000435,-1.4703574327665363
ACH-000436,-1.5672314970593424
ACH-000444,-1.1097252750742617
ACH-000445,-1.0794675355456775
ACH-000448,-1.4010361694916535
