,SCD5 (79966)
ACH-000004,0.1149311345060642
ACH-000005,0.03092866569122465
ACH-000007,0.15387346397465265
ACH-000009,0.04779881574886486
ACH-000011,-0.16160977861035053
ACH-000012,-0.16037580789691672
ACH-000013,0.04156198434005578
ACH-000014,0.0029476123354480388
ACH-000015,-0.08561749689317746
ACH-000017,-0.11195091343319684
ACH-000018,-0.15081291395474525
ACH-000019,-0.1011104103520524
ACH-000021,-0.153499309210014
ACH-000022,-0.06826737185517306
ACH-000025,0.015383467134532132
ACH-000028,-0.07758981937080213
ACH-000030,-0.17203071021539165
ACH-000035,-0.03432255723495093
ACH-000036,-0.10007141879318124
ACH-000037,-0.1589780667345993
ACH-000039,0.058823810245826086
ACH-000040,0.07633549734654273
ACH-000041,-0.15299427963654885
ACH-000042,-0.1213792569574116
ACH-000045,-0.043387631406892994
ACH-000047,-0.09216400264616076
ACH-000052,-0.02428815832092149
ACH-000053,0.054913439838382316
ACH-000054,-0.2611658138848064
ACH-000055,-0.025168193966415318
ACH-000060,-0.14489384282116904
ACH-000067,-0.05257296850043011
ACH-000070,-0.16014805386844608
ACH-000075,-0.2927305531537722
ACH-000078,-0.03524062861587025
ACH-000082,-0.13459952441351136
ACH-000085,-0.06280740428785501
ACH-000086,0.022068140787627172
ACH-000087,-0.19599193229278872
ACH-000092,-0.012269683529434026
ACH-000095,-0.03277462718382832
ACH-000097,-0.1701136753428285
ACH-000098,-0.11696024944154515
ACH-000099,-0.05680937704407511
ACH-000108,-0.06618175636556073
ACH-000113,-0.06269419804281877
ACH-000116,-0.059408393312049675
ACH-000118,-0.14927621702212798
ACH-000120,-0.1404122436178147
ACH-000123,-0.2442459847610237
ACH-000127,-0.16874463541869852
ACH-000128,-0.16918030859721953
ACH-000132,-0.17508662945546075
ACH-000133,-0.0006242437130901703
ACH-000137,0.005238435227874847
ACH-000138,-0.06791046284114688
ACH-000142,-0.0676763759638796
ACH-000143,-0.10377672212793873
ACH-000146,-0.09226810341237304
ACH-000148,-0.08739737847848977
ACH-000150,-0.08368904057185562
ACH-000152,-0.18754415243099454
ACH-000153,-0.11146157721560322
ACH-000159,-0.1945842092285848
ACH-000160,-0.20363764447916405
ACH-000163,-0.18964963025791576
ACH-000167,0.3654229211209056
ACH-000168,-0.017594739909827326
ACH-000169,-0.15500582794905654
ACH-000178,-0.04734138927634353
ACH-000183,0.026226424870896672
ACH-000188,-0.115840726550862
ACH-000189,-0.4592329881731429
ACH-000190,-0.08736771249641995
ACH-000198,-0.24802965237630906
ACH-000203,-0.16093672778255635
ACH-000204,-0.19251502502356727
ACH-000206,0.01752249266405056
ACH-000207,0.0010215348927450443
ACH-000208,-0.0975676879834521
ACH-000210,0.005039387295748736
ACH-000211,-0.13580696869154207
ACH-000215,-0.03758672325000837
ACH-000221,0.019042104069691458
ACH-000222,-0.12384244151066673
ACH-000223,-0.18763459270672492
ACH-000226,-0.09329762076582664
ACH-000227,-0.09203961585584608
ACH-000228,-0.1789787830519366
ACH-000231,-0.13373203931753572
ACH-000232,0.004805808652398077
ACH-000233,0.038526838535128304
ACH-000234,0.01904399577830732
ACH-000235,-0.10244424053962793
ACH-000237,-0.030866881189758888
ACH-000238,0.09103317631530754
ACH-000242,-0.2659482999353371
ACH-000243,-0.12852684880666554
ACH-000244,0.0630844522881889
ACH-000246,0.02056943640773884
ACH-000248,-0.043370456240786316
