,NHP2L1 (4809)
ACH-000004,-1.2069764426099472
ACH-000005,-1.1307740771003767
ACH-000007,-1.0280555535122844
ACH-000009,-1.2221786239826151
ACH-000011,-0.881207977026454
ACH-000012,-1.039218376700911
ACH-000013,-1.1854853347665888
ACH-000014,-0.9954703462017812
ACH-000015,-1.1941445632312937
ACH-000017,-1.1371117355649727
ACH-000018,-0.9256292033612452
ACH-000019,-1.1423259894226945
ACH-000021,-1.0189618118425947
ACH-000022,-1.068482994557428
ACH-000025,-1.2260849992621194
ACH-000028,-1.056370171516997
ACH-000030,-1.0903062166481103
ACH-000035,-1.0046409140031514
ACH-000036,-1.0728897192652278
ACH-000037,-1.1286682979643654
ACH-000039,-1.145366590808797
ACH-000040,-0.8705442488794817
ACH-000041,-1.1219822461088012
ACH-000042,-1.247663365405456
ACH-000045,-1.1410654689146016
ACH-000047,-1.1305379660481505
ACH-000052,-0.9990219084722016
ACH-000053,-1.0598814027261774
ACH-000054,-1.0330846154791973
ACH-000055,-0.9641846470959652
ACH-000060,-0.7321873400463377
ACH-000067,-1.0062613867652943
ACH-000070,-1.080733564408374
ACH-000075,-1.0516669732931292
ACH-000078,-1.014790522049348
ACH-000082,-1.0718172857604722
ACH-000085,-0.8755724974908554
ACH-000086,-0.8972812397065104
ACH-000087,-1.0975928005739826
ACH-000092,-1.2420890759518532
ACH-000095,-1.0034917469882547
ACH-000097,-0.9773748093899332
ACH-000098,-1.1303762870181924
ACH-000099,-1.076593947424359
ACH-000108,-1.0418676231036543
ACH-000113,-1.0667216977467988
ACH-000116,-1.0955115485961575
ACH-000118,-1.1035719233365728
ACH-000120,-0.9491247828348154
ACH-000123,-1.216713922014396
ACH-000127,-1.0086937434960586
ACH-000128,-1.229631062538732
ACH-000132,-1.1909297219417252
ACH-000133,-1.136579372517502
ACH-000137,-1.1392912405860407
ACH-000138,-1.0578981170592487
ACH-000142,-1.017038831622191
ACH-000143,-0.995606828321466
ACH-000146,-1.185262408223
ACH-000148,-0.9724069130487004
ACH-000150,-0.9307342310881156
ACH-000152,-1.0958571207580394
ACH-000153,-1.2086630113667578
ACH-000159,-0.8659667936141429
ACH-000160,-1.309574071487236
ACH-000163,-0.9818742845078262
ACH-000167,-1.8402953834720708
ACH-000168,-1.0682368353420508
ACH-000169,-0.9663289146569854
ACH-000178,-1.1077064413314113
ACH-000183,-0.9608661808346934
ACH-000188,-1.0192304966529089
ACH-000189,-0.9012542921690474
ACH-000190,-1.0393894466052949
ACH-000198,-1.2402254696810342
ACH-000203,-1.4536134341684712
ACH-000204,-1.1441538238270323
ACH-000206,-1.339659442249835
ACH-000207,-1.2440441127619728
ACH-000208,-1.0911236237524504
ACH-000210,-1.3559820119297863
ACH-000211,-0.9872933983092294
ACH-000215,-1.1510782490172111
ACH-000221,-1.597342676229633
ACH-000222,-0.927508434893368
ACH-000223,-1.2808253454373075
ACH-000226,-0.9474358058346508
ACH-000227,-1.3226515705134747
ACH-000228,-1.2410426107762444
ACH-000231,-1.1473154963052614
ACH-000232,-1.2295092863632957
ACH-000233,-1.0700347256852436
ACH-000234,-0.9808894032787571
