,SERBP1 (26135)
ACH-000004,-0.325551602148717
ACH-000005,-0.3794026035137471
ACH-000007,-0.6820710094429524
ACH-000009,-0.4956599993728269
ACH-000011,-0.683969775326847
ACH-000012,-0.5018474601174238
ACH-000013,-0.6000904754281523
ACH-000014,-0.6067800301446292
ACH-000015,-0.5600552639342707
ACH-000017,-0.3521811926539824
ACH-000018,-0.36147113444604256
ACH-000019,-0.5482844201725819
ACH-000021,-0.7272903506962899
ACH-000022,-0.5399614169259391
ACH-000025,-0.6003938051515555
ACH-000028,-0.6629934848365968
ACH-000030,-0.4069403963107743
ACH-000035,-0.28882585135027106
ACH-000036,-0.5715113567939041
ACH-000037,-0.40203399631701664
ACH-000039,-0.4987489216700525
ACH-000040,-0.3705476376545239
ACH-000041,-0.5294843931884256
ACH-000042,-0.27413797727691874
ACH-000045,-0.3957822416121611
ACH-000047,-0.3615758687762301
ACH-000052,-0.5520234254780249
ACH-000053,-0.35442972034105513
ACH-000054,-0.4264308606122303
ACH-000055,-0.6362278993620024
ACH-000060,-0.21239813049211292
ACH-000067,-0.37311801528267
ACH-000070,-0.7546034041405341
ACH-000075,-0.4405501784621133
ACH-000078,-0.6973467090305935
ACH-000082,-0.1848205872672067
ACH-000085,-0.59014136822133
ACH-000086,-0.7272439344108367
ACH-000087,-0.7008104069578858
ACH-000092,-0.6342490642616894
ACH-000095,-0.3442674776915665
ACH-000097,-0.7274674479218396
ACH-000098,-0.5661101524924205
ACH-000099,-0.5901800296840638
ACH-000108,-0.3388754571183292
ACH-000113,-0.35668724902264504
ACH-000116,-0.1817631973324526
ACH-000118,-0.33865872613420794
ACH-000120,-0.6137303460547189
ACH-000123,-0.735947119702257
ACH-000127,-0.4446885430369909
ACH-000128,-0.5729148177520972
ACH-000132,-0.4461341461087133
ACH-000133,-0.3533131705633794
ACH-000137,-0.3863821691235146
ACH-000138,-0.6268483967347959
ACH-000142,-0.4648779791959842
ACH-000143,-0.517318245828332
ACH-000146,-0.12904335078196247
ACH-000148,-0.5589516067013499
ACH-000150,-0.4211845730702093
ACH-000152,-0.5568356650250315
ACH-000153,-0.5280868478152421
ACH-000159,-0.5763445116809184
ACH-000160,-0.3868953364836539
ACH-000163,-0.8861716208306487
ACH-000167,-0.2565512730549953
ACH-000168,-0.35044057183049393
ACH-000169,-0.4202903983184713
ACH-000178,-0.4719356237602277
ACH-000183,-0.5757643621560823
ACH-000188,-0.6065593853159064
ACH-000189,-0.047407474440891315
ACH-000190,-0.5155715602523461
ACH-000198,-0.631829159388566
ACH-000203,-0.9700051745980992
ACH-000204,-0.15070511691507235
ACH-000206,-1.0696704300332045
ACH-000207,-0.7290701872576113
ACH-000208,-0.42403900570090813
ACH-000210,-0.5208870784482186
ACH-000211,-0.5052844288213787
ACH-000215,-0.5139482393187487
ACH-000221,-0.7926553536370321
ACH-000222,-0.5559297673242685
ACH-000223,-0.5565219743608382
ACH-000226,-0.519876297805205
ACH-000227,-0.6168131894588448
ACH-000228,-0.3159286984458247
ACH-000231,-0.6051623437765291
ACH-000232,-0.5059823031151943
ACH-000233,-0.2621377245981033
ACH-000234,-0.5327761544853958
ACH-000235,-0.3068095589371575
ACH-000237,-0.7810860277240275
ACH-000238,-0.7533538785475795
ACH-000242,-0.8301508954888069
ACH-000243,-0.32539699707331704
ACH-000244,-0.43194007753087504
ACH-000246,-0.5407795462885665
ACH-000248,-0.6603643482507761
ACH-000250,-0.4920276226990492
ACH-000251,-0.634094402111559
ACH-000252,-0.2940681683684682
ACH-000253,-0.28491434135121396
ACH-000255,-0.4297694883515365
ACH-000256,-0.5933760580144178
ACH-000257,-0.5568341910012908
ACH-000258,-0.5847845515568396
ACH-000259,-0.2744621934020724
ACH-000260,-0.439712826660116
ACH-000261,-0.558923187176936
ACH-000262,-0.5079767562993996
ACH-000263,-0.4928861786533354
ACH-000264,-0.5117635448529184
ACH-000265,-0.6433193251358448
ACH-000266,-0.18615710441434904
ACH-000272,-0.5432106583132135
ACH-000274,-0.4376035557204652
ACH-000277,-0.30475881224939644
ACH-000278,-0.3430678346669514
