,RPH3A (22895)
ACH-000004,-0.21502211944959912
ACH-000005,0.0051917682365046226
ACH-000007,-0.07062600180929507
ACH-000009,-0.2165399735616183
ACH-000011,0.050737868825476325
ACH-000012,-0.07906369517330555
ACH-000013,-0.14309312276137728
ACH-000014,-0.17874333272002668
ACH-000015,-0.051936570611501635
ACH-000017,-0.12725892540956496
ACH-000018,-0.32633878841294833
ACH-000019,-0.2089260856117118
ACH-000021,-0.2229959333833369
ACH-000022,-0.09939645133432194
ACH-000025,-0.18344107400247736
ACH-000028,-0.015746177293285476
ACH-000030,-0.06174042633710121
ACH-000035,-0.06991492943538087
ACH-000036,-0.0854964363943887
ACH-000037,-0.13133514520523007
ACH-000039,-0.19489746537216654
ACH-000040,-0.17550358181586276
ACH-000041,-0.27561531210778123
ACH-000042,-0.12519847679053545
ACH-000045,-0.08876718177675112
ACH-000047,-0.06545911141081569
ACH-000052,-0.10942491812439556
ACH-000053,-0.1360866727788075
ACH-000054,-0.09330469522795057
ACH-000055,0.059067292970461184
ACH-000060,0.006340017190780514
ACH-000067,-0.13512449818954056
ACH-000070,-0.2360097935575901
ACH-000075,-0.06834468015960543
ACH-000078,-0.10458513839180274
ACH-000082,-0.07210586179580232
ACH-000085,-0.07610238323617259
ACH-000086,-0.09439033234033188
ACH-000087,-0.33551572953260483
ACH-000092,-0.09364305918435308
ACH-000095,-0.027059883750103902
ACH-000097,-0.0924321292735017
ACH-000098,-0.032620401337955435
ACH-000099,-0.06332267438185339
ACH-000108,-0.1838812435407562
ACH-000113,0.003863664923593821
ACH-000116,-0.03672471092824757
ACH-000118,-0.19489836627509166
ACH-000120,-0.09416215828236298
ACH-000123,-0.17054595462236702
ACH-000127,-0.020231339199849704
ACH-000128,-0.12081593914213515
ACH-000132,-0.07882982850446066
ACH-000133,-0.1549178525377233
ACH-000137,-0.1192258078981839
ACH-000138,-0.04758866779069499
ACH-000142,-0.14567061149580568
ACH-000143,-0.07239329464894945
ACH-000146,-0.13073259080468205
ACH-000148,-0.037660592488878215
ACH-000150,-0.04813867083774211
ACH-000152,-0.2123440424223876
ACH-000153,0.0057678239357685365
ACH-000159,-0.1055594124433177
ACH-000160,-0.12093962969977785
ACH-000163,-0.0666145608729533
ACH-000167,-0.058466996275511225
ACH-000168,0.08933571674578834
ACH-000169,-0.1694063225391986
ACH-000178,-0.1095051441939746
ACH-000183,-0.07330000119002134
ACH-000188,-0.0017848591521909141
ACH-000189,0.08377357143128289
ACH-000190,-0.28859524367112865
ACH-000198,-0.10790492058361066
ACH-000203,-0.09961287671061902
ACH-000204,0.07459463657759426
ACH-000206,-0.18444710882726026
ACH-000207,-0.052323335627371084
ACH-000208,0.035906679525462275
ACH-000210,-0.040526291865678535
ACH-000211,-0.07557969542260408
ACH-000215,-0.12818925353899893
ACH-000221,-0.07383127403926278
ACH-000222,-0.09998470527458736
ACH-000223,-0.07433081505276493
ACH-000226,-0.11371120505336765
