,RIPPLY2 (134701)
ACH-000004,-0.20639097420381847
ACH-000005,0.09700832971948188
ACH-000007,0.08999075901822517
ACH-000009,0.1557808891152276
ACH-000011,0.005885228774418531
ACH-000012,0.060530793095682364
ACH-000013,0.028308396297198668
ACH-000014,0.06970802038759799
ACH-000015,0.015356823737382872
ACH-000017,-0.0683693300059789
ACH-000018,0.0030228120006807217
ACH-000019,0.11466353466662553
ACH-000021,-0.1064773247582728
ACH-000022,0.01919609825012388
ACH-000025,-0.03161443891345197
ACH-000028,-0.13979137001082634
ACH-000030,-0.06806278779195299
ACH-000035,0.03124712971189855
ACH-000036,0.006889276340105261
ACH-000037,-0.059286579382217215
ACH-000039,-0.12218572176133193
ACH-000040,0.01702282326895274
ACH-000041,-0.02361761903307483
ACH-000042,-0.010747880867751115
ACH-000045,0.04288611651253217
ACH-000047,-0.07253433476509585
ACH-000052,-0.08615340193079167
ACH-000053,0.029702890766807436
ACH-000054,0.07383428323709629
ACH-000055,-0.011684719313353409
ACH-000060,0.01939711554991404
ACH-000067,-0.0166322206477212
ACH-000070,-0.2593859385515166
ACH-000075,0.10477350653860022
ACH-000078,-0.09889315703890213
ACH-000082,-0.09612293668912583
ACH-000085,-0.06720569859847503
ACH-000086,0.038382891643297314
ACH-000087,0.051781372251183684
ACH-000092,-0.0492501117114024
ACH-000095,0.03270999166849664
ACH-000097,-0.13547985544868346
ACH-000098,0.007740262083459494
ACH-000099,-0.0099409672650599
ACH-000108,0.06357031460609394
ACH-000113,0.10260726788933396
ACH-000116,0.028611610854575205
ACH-000118,0.004381673889717121
ACH-000120,0.056710378182001774
ACH-000123,0.026863274736226798
ACH-000127,-0.03893571163831083
ACH-000128,0.07667461264905888
ACH-000132,0.029898975974431637
ACH-000133,0.02687543808482884
ACH-000137,-0.07689147441937133
ACH-000138,0.076369567685533
ACH-000142,0.010186866053529291
ACH-000143,0.10902448934497172
ACH-000146,-0.061432914793347615
ACH-000148,0.032609066210284185
ACH-000150,0.19025102303284244
ACH-000152,-0.04256221796295987
ACH-000153,-0.0882702706083443
ACH-000159,-0.010026073275583523
ACH-000160,0.06240363619603815
ACH-000163,-0.029954426246725136
ACH-000167,0.0953714217129196
ACH-000168,0.1807128617341573
ACH-000169,-0.009857884785141487
ACH-000178,0.02644880522998547
ACH-000183,-0.0873803532183932
ACH-000188,0.059134236775521924
ACH-000189,-0.0073708072104916485
ACH-000190,-0.16622666683411672
ACH-000198,0.01573096209018124
ACH-000203,-0.002735048703545684
ACH-000204,-0.0819352502851534
ACH-000206,-0.04827210755997357
ACH-000207,0.04050913219967802
ACH-000208,-0.06394340563826963
ACH-000210,0.0016610163424374733
ACH-000211,-0.009788218940051824
ACH-000215,0.1114224364939166
ACH-000221,0.12484365701602305
ACH-000222,-0.016621968846276612
ACH-000223,-0.11954073806997854
ACH-000226,-0.15489618730016505
ACH-000227,0.05069993861919166
ACH-000228,-0.0952556725634662
ACH-000231,0.055318762752880966
ACH-000232,0.004964562829709375
ACH-000233,0.02147506106600572
ACH-000234,0.04383827713727029
ACH-000235,0.021681126073648218
ACH-000237,0.07528005267185699
ACH-000238,-0.04422222348509803
ACH-000242,-0.06764896081930011
ACH-000243,0.04469653139170518
ACH-000244,0.18728515647959176
ACH-000246,0.0205568069130857
ACH-000248,0.07830027574675133
ACH-000250,0.07771204136739958
ACH-000251,-0.11454434650554572
ACH-000252,-0.011373743298952962
ACH-000253,0.03538326121377358
ACH-000255,-0.07051049538563214
ACH-000256,-0.13401071917291807
ACH-000257,0.09438196930848804
ACH-000258,0.11647624333476245
ACH-000259,0.06641670506059086
ACH-000260,-0.01899633639473956
ACH-000261,0.010438262444311636
ACH-000262,0.16477233290270935
ACH-000263,-0.1248429030299708
ACH-000264,-0.10692474453933576
ACH-000265,-0.005754112943051108
ACH-000266,0.025849197757346957
ACH-000272,0.029911181022240437
ACH-000274,0.04327337502168093
ACH-000277,0.04986257626820765
ACH-000278,-0.06538644320009063
ACH-000279,-0.08610963204505592
ACH-000280,0.023222796841361387
ACH-000281,0.11211994350856022
ACH-000288,0.0642610032838109
ACH-000291,0.09505604708064354
ACH-000293,0.1087024675229925
ACH-000294,0.1954241909993727
ACH-000295,-0.0479795877279303
ACH-000296,0.3542986827538477
ACH-000302,0.044797290353248184
ACH-000304,0.09539740568191858
ACH-000307,-0.028270517407980107
ACH-000308,-0.09014154027567614
ACH-000310,-0.06981943255677209
ACH-000311,-0.06447398846153862
ACH-000312,0.15022437496173416
ACH-000315,0.11907938027681535
ACH-000316,-0.041613863776036826
ACH-000317,0.10392349425993888
ACH-000318,0.09266177586604576
ACH-000319,-0.042907476097793336
ACH-000320,-0.032011816480566994
ACH-000322,-0.18001297897469215
ACH-000323,0.12939444831978322
ACH-000324,0.14071150293387338
ACH-000329,0.05308316955905418
ACH-000330,0.020047758857080798
ACH-000331,-0.004674189264701746
ACH-000332,0.09418906640032043
ACH-000334,-0.13084113339956888
ACH-000335,-0.11030137053440904
ACH-000336,0.3489696251032963
ACH-000337,0.002427415412427841
ACH-000338,0.04621606634570048
ACH-000339,-0.050276672160930735
ACH-000341,-0.11774859486308965
ACH-000348,0.08886899196836688
ACH-000350,0.05930368563275019
ACH-000352,-0.05171884550528516
ACH-000356,0.1033324073854079
ACH-000361,0.27888077222236035
ACH-000362,0.10581570448314648
ACH-000363,0.013716654977875428
ACH-000364,0.06023459434397228
ACH-000365,0.07301577306883804
ACH-000366,0.06019317283035106
ACH-000368,0.2735993506815286
ACH-000374,-0.0794699931633148
ACH-000375,-0.01617042225525079
ACH-000376,-0.18609099741430166
ACH-000381,0.0570288457754076
ACH-000383,0.0427190580044447
ACH-000387,-0.05235472030274746
ACH-000389,-0.10584977243571322
ACH-000390,0.023575260826553875
ACH-000393,-0.07910588984178217
ACH-000395,0.2616158017735441
ACH-000396,-0.3737205595802671
ACH-000397,-0.033761953959950415
ACH-000401,-0.10216851030195637
ACH-000402,-0.23632533830339625
ACH-000403,-0.002900331889582875
ACH-000404,0.11105573494543956
ACH-000406,0.05169406654789998
ACH-000407,-0.049466434863238734
ACH-000408,0.08463398430104509
ACH-000410,-0.08415495064810986
ACH-000411,-0.27178670749850103
ACH-000414,-0.012581084126119768
ACH-000415,0.019569551280579103
ACH-000416,0.014258926356440804
ACH-000420,0.05025257379007587
ACH-000421,0.07738872019443463
ACH-000424,-0.246707131960788
ACH-000425,0.02233584600567169
ACH-000426,-0.04881426626159581
ACH-000427,-0.14001539184917647
ACH-000433,-0.0331523926659863
ACH-000435,0.4172872180264892
ACH-000436,0.11318056818386404
ACH-000444,0.09880047431963757
ACH-000445,0.09900895372615452
ACH-000448,-0.12360079979728568
ACH-000450,-0.07321175175914729
ACH-000452,-0.01815207636410886
ACH-000454,-0.21561902525960824
ACH-000458,0.07862473185478377
ACH-000459,-0.21464482505709534
ACH-000460,0.03502470670596927
ACH-000461,0.1175649754896744
ACH-000463,-0.034087304766167975
ACH-000464,0.13988078266506604
ACH-000466,-0.03306525043068395
ACH-000467,0.09547127948433516
ACH-000468,-0.057804385270403325
ACH-000469,0.13592260146208548
ACH-000470,0.1380337851001393
ACH-000471,0.016082207720358187
ACH-000472,0.07205493956655623
ACH-000473,0.057543822788536925
ACH-000475,0.04830789074337817
ACH-000476,0.015421971343891509
ACH-000477,0.1677993279423486
ACH-000479,0.10869893486066558
ACH-000480,0.14073739774809918
ACH-000481,0.056689881893540225
ACH-000483,-0.059400532956593685
ACH-000484,0.01913474471522878
ACH-000485,0.09971852018261343
ACH-000486,0.001264841838792988
ACH-000487,-0.0027497586663153
ACH-000488,-0.02885580967300117
ACH-000490,-0.02377198315378986
ACH-000491,-0.19515400979448186
ACH-000495,-0.0433914849473315
ACH-000496,-0.04733568626662359
ACH-000499,0.026901369825368997
ACH-000500,-0.01980752236949349
ACH-000502,0.038083054961658265
ACH-000503,0.04670972597854699
ACH-000505,0.005215757439531028
ACH-000507,-0.0039438381808044095
ACH-000510,0.009183930668129829
ACH-000511,-0.04172702179507462
ACH-000512,-0.1404480266154978
ACH-000516,0.06746135028830494
ACH-000517,0.03158474042024528
ACH-000518,0.04091756934543979
ACH-000520,0.12901579200216873
ACH-000521,0.030202065731731606
ACH-000522,0.05595374753973188
ACH-000524,0.047650249641734435
ACH-000527,0.03883342630707362
ACH-000528,0.09999922532501217
ACH-000537,0.18387533690089092
ACH-000541,0.35917056474123377
ACH-000542,0.07804449301962305
ACH-000544,-0.10399940447402133
ACH-000545,-0.08832865203199368
ACH-000547,0.14390259479899825
ACH-000548,0.03408944573678919
ACH-000549,-0.06075896851838941
ACH-000550,0.03578537369413594
ACH-000552,0.06102961703523365
ACH-000556,-0.06677718896193638
ACH-000557,0.08805380086661051
ACH-000569,0.10282370192586092
ACH-000570,-0.02062098813033761
ACH-000571,0.030453940078644787
ACH-000573,0.034260553235819
ACH-000576,0.014215517337773802
ACH-000579,0.16571360533516594
ACH-000580,0.04207051158050156
ACH-000584,0.05102954643204872
ACH-000585,0.04773784064811985
ACH-000588,0.04242044320058599
ACH-000589,0.10880366138369872
ACH-000591,-0.041001600540102864
ACH-000593,0.13304688196258127
ACH-000600,0.06191649199716043
ACH-000601,0.04497056502711275
ACH-000605,-0.06484199414052129
ACH-000606,-0.03651219358607137
ACH-000608,0.09172412301897298
ACH-000614,-0.062494079964967926
ACH-000616,0.009262354422284964
ACH-000618,-0.068744499184968
ACH-000619,0.09740741202732822
ACH-000620,0.07329303743576446
ACH-000621,-0.01492038557320458
ACH-000622,-0.030977277475190683
ACH-000623,0.1093226996748099
ACH-000624,0.025823215173027055
ACH-000627,0.026274810792900085
ACH-000630,0.040464725963719014
ACH-000631,0.15460953626298984
ACH-000632,0.04506213407959382
ACH-000633,-0.005868703445713653
ACH-000637,0.06644093235774885
ACH-000638,-0.05350792287404819
ACH-000646,0.031107873733689288
ACH-000647,-0.06421357708942982
ACH-000648,0.028869492648625518
ACH-000649,0.14976671936501246
ACH-000651,0.06788770506549087
ACH-000652,-0.07457217639564674
ACH-000653,-0.11235756252640602
ACH-000657,-0.02532615632051595
ACH-000658,0.07835568387788702
ACH-000661,0.056933926279025875
ACH-000662,0.2750284554020367
ACH-000663,0.06968257990844559
ACH-000665,0.028835172000090187
ACH-000671,0.1269144642355978
ACH-000672,0.3328455913489226
ACH-000673,0.02558759430197613
ACH-000676,0.07347188153038241
ACH-000677,-0.1130267675526526
ACH-000681,0.0786363131845613
ACH-000683,-0.011549288335628924
ACH-000684,-0.0702854649253968
ACH-000688,0.10344682551713257
ACH-000693,0.003749434148291734
ACH-000694,0.10216547016848254
ACH-000695,0.04580708285892862
ACH-000696,-0.017345065875580518
ACH-000697,0.0912707122136773
ACH-000699,-0.11175620085437743
ACH-000701,0.10903939991649124
ACH-000706,-0.048010640928063314
ACH-000711,0.021914002206498032
ACH-000713,-0.030416848764033742
ACH-000714,0.016702478322425447
ACH-000718,0.08518399484702506
ACH-000720,0.07823325846442344
ACH-000721,0.021317579722103817
ACH-000724,0.1151349374386552
ACH-000725,-0.11328437746806523
ACH-000732,0.002846912590862005
ACH-000734,-0.06916226452722568
ACH-000735,-0.01617851566369621
ACH-000736,0.07964157244771893
ACH-000738,-0.08605644616771294
ACH-000746,-0.06401225984892679
ACH-000747,0.007905736833004825
ACH-000748,0.014443212695769796
ACH-000753,0.017959869722930368
ACH-000756,0.056849362450003216
ACH-000757,0.07450740663456433
ACH-000758,-0.18589864433721634
ACH-000760,0.04107465789455538
ACH-000762,-0.2001776982788256
ACH-000763,0.10856434605238416
ACH-000764,0.12067509907968448
ACH-000765,-0.15588069664159726
ACH-000766,0.060101514756768684
ACH-000767,0.07211077544059574
ACH-000768,-0.1618793620056858
ACH-000769,0.10265955308574408
