,ATP6V0C (527)
ACH-000004,-1.4864944790549774
ACH-000005,-1.6591241443214395
ACH-000007,-1.520896578460499
ACH-000009,-1.318730156511169
ACH-000011,-1.19650561618881
ACH-000012,-1.4090051731578748
ACH-000013,-1.185039716848685
ACH-000014,-1.620741293634179
ACH-000015,-1.4041786822779827
ACH-000017,-1.5601505668087263
ACH-000018,-1.340289798182568
ACH-000019,-1.3183022740472998
ACH-000021,-1.357756772721899
ACH-000022,-1.1956365941276108
ACH-000025,-1.5711115564362357
ACH-000028,-1.3348929959513025
ACH-000030,-1.4309401340059489
ACH-000035,-1.3823742578514495
ACH-000036,-1.2370115651942766
ACH-000037,-1.1984223556173583
ACH-000039,-1.4872427657053973
ACH-000040,-1.32420938025649
ACH-000041,-1.2233700251471635
ACH-000042,-1.142701846273485
ACH-000045,-1.3873082905244625
ACH-000047,-1.4279801601457045
ACH-000052,-1.3905566331052992
ACH-000053,-1.4088421453154318
ACH-000054,-1.4771530819623595
ACH-000055,-1.4904283964006242
ACH-000060,-1.1881937325073046
ACH-000067,-1.3109779837177715
ACH-000070,-1.5361892891247022
ACH-000075,-1.5310834271655906
ACH-000078,-1.404350024104864
ACH-000082,-1.3194045484138324
ACH-000085,-1.2143513042711338
ACH-000086,-1.251542503970306
ACH-000087,-1.2765092460766452
ACH-000092,-1.272499697099233
ACH-000095,-1.5423266475104085
ACH-000097,-1.3718861335563697
ACH-000098,-1.4523140469404507
ACH-000099,-1.1678469654538852
ACH-000108,-1.4033971003133645
ACH-000113,-1.4011961489171187
ACH-000116,-1.3569026114914928
ACH-000118,-1.2563754679958312
ACH-000120,-1.2908732423528857
ACH-000123,-1.4016347751603069
ACH-000127,-1.4767587435375986
ACH-000128,-1.2879640407873507
ACH-000132,-1.3587517593592509
ACH-000133,-1.5963100673805568
ACH-000137,-1.0746265618847142
ACH-000138,-1.339115800030809
ACH-000142,-1.3473925127577828
ACH-000143,-1.5159783725462963
ACH-000146,-1.7248100194024916
ACH-000148,-1.4759844590977813
ACH-000150,-1.382729481896935
ACH-000152,-1.1606682304818905
ACH-000153,-1.4487612021822922
ACH-000159,-1.2791332458113067
ACH-000160,-1.182982684265515
ACH-000163,-1.2080784222059524
ACH-000167,-2.5526530045076683
ACH-000168,-1.283663719189382
ACH-000169,-1.4297761109513152
ACH-000178,-1.3782251904942255
ACH-000183,-1.395034810987063
ACH-000188,-1.2770941616942157
ACH-000189,-1.4491980444188992
ACH-000190,-1.4353243555359931
ACH-000198,-1.353906242158871
ACH-000203,-2.235706199464897
ACH-000204,-1.4680481854246599
ACH-000206,-1.489170206980505
ACH-000207,-1.41521427103121
ACH-000208,-1.2978844937100718
ACH-000210,-1.2770223632874491
