,CARS (833)
ACH-000004,-1.1035650866861249
ACH-000005,-1.1041333620776492
ACH-000007,-0.9325587911537768
ACH-000009,-0.9806360823207698
ACH-000011,-1.0026280376480228
ACH-000012,-1.1287652132358568
ACH-000013,-1.070846433704923
ACH-000014,-1.0475784218933797
ACH-000015,-0.9180095269884736
ACH-000017,-1.0932539605045826
ACH-000018,-1.1989603628739889
ACH-000019,-1.3012878369992442
ACH-000021,-0.9950069687465156
ACH-000022,-1.019730293067539
ACH-000025,-0.91891023456177
ACH-000028,-1.1061476630692564
ACH-000030,-1.0193421792345356
ACH-000035,-1.2288412079521516
ACH-000036,-1.1550611993930842
ACH-000037,-1.2196431963709229
ACH-000039,-1.0453094256693305
ACH-000040,-1.1446647076956775
ACH-000041,-1.2643885045028507
ACH-000042,-1.201888646207992
ACH-000045,-0.9173835855471676
ACH-000047,-0.971978913192996
ACH-000052,-1.039527997004135
ACH-000053,-1.2064770045663014
ACH-000054,-1.0933142498230874
ACH-000055,-1.0078822874997675
ACH-000060,-1.0315530073851231
ACH-000067,-0.9194326965740284
ACH-000070,-0.9441582039069184
ACH-000075,-1.039005128532252
ACH-000078,-1.2700362958808245
ACH-000082,-1.0496094461999124
ACH-000085,-0.704477774607022
ACH-000086,-1.0643362847625046
ACH-000087,-0.9614458038459566
ACH-000092,-1.1205741723385525
ACH-000095,-1.1074893610602146
ACH-000097,-1.1338379152136924
ACH-000098,-1.2213722624177348
ACH-000099,-1.181646193850432
ACH-000108,-1.240390082245595
ACH-000113,-1.012403311209449
ACH-000116,-1.1418756156644698
ACH-000118,-0.8374071171413813
ACH-000120,-1.1706869788052523
ACH-000123,-1.168765662103542
ACH-000127,-1.0240392592961798
ACH-000128,-1.0397752668264668
ACH-000132,-1.1002982441083842
ACH-000133,-1.0777670702609237
ACH-000137,-1.193487705027962
ACH-000138,-1.0011119605820011
ACH-000142,-1.034691348530221
ACH-000143,-1.041989808154673
ACH-000146,-1.147878363878833
ACH-000148,-1.0955988274420492
