,CDC42BPB (9578)
ACH-000004,-0.13122944079612234
ACH-000005,-0.3095942979158138
ACH-000007,-0.025283479077150443
ACH-000009,-0.2099296272712656
ACH-000011,0.22095694557406698
ACH-000012,-0.12125405283325315
ACH-000013,0.001302730964936873
ACH-000014,0.03987605026372154
ACH-000015,0.10073686610866424
ACH-000017,0.036952149564506764
ACH-000018,-0.14992632323982438
ACH-000019,-0.10530575049294308
ACH-000021,-0.04725334348244512
ACH-000022,-0.1381477436622201
ACH-000025,-0.16369834693961707
ACH-000028,-0.195175929454056
ACH-000030,0.20333606784964134
ACH-000035,0.056608345612572435
ACH-000036,-0.0362568355720936
ACH-000037,-0.02847439972821486
ACH-000039,-0.16644589261922071
ACH-000040,-0.07319536533748057
ACH-000041,-0.1330871400594502
ACH-000042,0.016228371998262058
ACH-000045,0.06308054609856968
ACH-000047,-0.036784737468905114
ACH-000052,-0.15554484627443654
ACH-000053,-0.03644926228148165
ACH-000054,0.04527772527023957
ACH-000055,0.04831230137570168
ACH-000060,0.01556078561182834
ACH-000067,0.009387540212798156
ACH-000070,-0.01804052939488648
ACH-000075,-0.037934350443550015
ACH-000078,-0.1506978115081536
ACH-000082,-0.10909143639351512
ACH-000085,0.0036251819230853147
ACH-000086,-0.03468417333891157
ACH-000087,-0.08625524104657954
ACH-000092,0.055280094904805004
ACH-000095,-0.055524553967172686
ACH-000097,-0.2178065664334444
ACH-000098,-0.09656427647269533
ACH-000099,-0.04265742303660375
ACH-000108,0.02616572125314981
ACH-000113,0.053925675776586114
ACH-000116,-0.0839858474765986
ACH-000118,-0.13626058223624266
ACH-000120,-0.10015949940971483
ACH-000123,-0.06886930968217796
ACH-000127,0.05286537735189318
ACH-000128,0.2307903792323923
ACH-000132,-0.0019408622881969843
ACH-000133,-0.16455777586272416
ACH-000137,-0.16284327268740895
ACH-000138,-0.14520990780722814
ACH-000142,-0.2517343995906141
ACH-000143,-0.21123175363471186
ACH-000146,-0.06687310784230895
ACH-000148,-0.08248930460874344
ACH-000150,-0.010220617673251251
ACH-000152,-0.2524593158168825
ACH-000153,-0.2747082866206402
ACH-000159,0.048473058222976095
ACH-000160,-0.11833200189449945
ACH-000163,-0.058511269751272535
ACH-000167,0.3044235460462679
ACH-000168,-0.11012926436593692
ACH-000169,0.08579464509403746
ACH-000178,0.1259797139098719
ACH-000183,0.08327302425118903
ACH-000188,-0.07444018468629568
ACH-000189,0.22993445325411316
ACH-000190,0.020451184950848897
