,SALL3 (27164)
ACH-000004,0.13846417764323296
ACH-000005,-0.11873774428627555
ACH-000007,-0.14687625252761696
ACH-000009,-0.051153786906046037
ACH-000011,-0.026876475071072457
ACH-000012,-0.05102811773386414
ACH-000013,0.05840368696050309
ACH-000014,-0.1237224865185842
ACH-000015,0.02500500881638241
ACH-000017,0.0186244214974401
ACH-000018,0.1421176120860632
ACH-000019,0.06281592709079292
ACH-000021,0.012889795301681772
ACH-000022,-0.08200795048999379
ACH-000025,-0.02539721326276936
ACH-000028,-0.03474235499096392
ACH-000030,-0.09856782779981478
ACH-000035,0.02472556049848789
ACH-000036,-0.2100929091109019
ACH-000037,0.02175860697584672
ACH-000039,-0.1448289020878884
ACH-000040,-0.13872169902899942
ACH-000041,-0.03256829634737324
ACH-000042,-0.023036019983904688
ACH-000045,0.13047621043175675
ACH-000047,-0.18205080003280444
ACH-000052,-0.09399841303191778
ACH-000053,-0.05272756557138364
ACH-000054,-0.0878432350214479
ACH-000055,-0.1436088295884577
ACH-000060,-0.06056649087345284
ACH-000067,0.10342797561609107
ACH-000070,-0.04691385436406397
ACH-000075,-0.03586596536525835
ACH-000078,0.09231303800582796
ACH-000082,-0.05372888868453394
ACH-000085,-0.15382747878731148
ACH-000086,0.08361326333150618
ACH-000087,0.0896488340644146
ACH-000092,-0.05953260219279974
ACH-000095,-0.17226054714530478
ACH-000097,0.055309867948723834
ACH-000098,-0.03620109654338758
ACH-000099,-0.08082915810023986
ACH-000108,0.08267284602059112
ACH-000113,-0.09641212820864073
ACH-000116,0.028044955803314137
ACH-000118,-0.06889483608775046
ACH-000120,0.02453522889246116
ACH-000123,-0.03967178228386439
ACH-000127,-0.006485424979759085
ACH-000128,-0.0907303066121254
ACH-000132,-0.0656715201263427
ACH-000133,0.03521768109701997
ACH-000137,-0.0473002069382671
ACH-000138,0.09752051999858928
ACH-000142,0.029135866165459073
ACH-000143,-0.17527716729729476
ACH-000146,-0.11052502676130817
ACH-000148,0.029674549449925824
ACH-000150,0.14876447015222805
ACH-000152,0.07403566403323013
ACH-000153,0.048264652708070996
ACH-000159,-0.14193223678363956
ACH-000160,0.013680972371695223
