,VEZT (55591)
ACH-000004,-0.2720493410200801
ACH-000005,-0.4144435732148846
ACH-000007,-0.481281072544735
ACH-000009,-0.6791855384716321
ACH-000011,-0.4399575122981168
ACH-000012,-0.5366574954707005
ACH-000013,-0.3456244813869593
ACH-000014,-0.3464692218197774
ACH-000015,-0.4498255768182859
ACH-000017,-0.31303840934950666
ACH-000018,-0.4359484998066795
ACH-000019,-0.2879443107254083
ACH-000021,-0.26442358230416296
ACH-000022,-0.25186426191573563
ACH-000025,-0.5856573301121931
ACH-000028,-0.3242804383911476
ACH-000030,-0.6414161506701171
ACH-000035,-0.4489099057640307
ACH-000036,-0.4949588485354246
ACH-000037,-0.4181709706637465
ACH-000039,-0.40759510221229456
ACH-000040,-0.5791531383776857
ACH-000041,-0.20452000751158333
ACH-000042,-0.5712741628153886
ACH-000045,-0.4551120567101498
ACH-000047,-0.3030741020523581
ACH-000052,-0.6861734330013722
ACH-000053,-0.2205530112084564
ACH-000054,-0.328580661626974
ACH-000055,-0.5659869643600927
ACH-000060,-0.5528951997599773
ACH-000067,-0.8040498259768144
ACH-000070,-0.28061321183238513
ACH-000075,-0.5087946776574693
ACH-000078,-0.6067223674084865
ACH-000082,-0.3979243169246125
ACH-000085,-0.7712742170032459
ACH-000086,-0.7263072708721174
ACH-000087,-0.3993698095171536
ACH-000092,-0.5153885443052045
ACH-000095,-0.40724729179685865
ACH-000097,-0.3271166825242333
ACH-000098,-0.44888707660408295
ACH-000099,-0.34484729617929194
ACH-000108,-0.32961482136931985
ACH-000113,-0.30607866671574857
ACH-000116,-0.4189602615097859
ACH-000118,-0.6236635575899335
ACH-000120,-0.42650379283059137
ACH-000123,-0.5072941186308305
ACH-000127,-0.6257632198449733
ACH-000128,-0.5247089926643524
ACH-000132,-0.41477000924183005
ACH-000133,-0.5464633445156097
ACH-000137,-0.3959278498508977
ACH-000138,-0.4264999190790972
ACH-000142,-0.4007636667421818
ACH-000143,-0.4759658488765083
ACH-000146,-0.2482643139303841
ACH-000148,-0.4143195930329074
ACH-000150,-0.6123879372116289
ACH-000152,-0.6313835113857496
ACH-000153,-0.6654291174951821
ACH-000159,-0.08416627535708034
ACH-000160,-0.5124534514553895
ACH-000163,-0.4571850361856097
ACH-000167,-0.2538005800158809
ACH-000168,-0.3505335049563751
ACH-000169,-0.3429363409914962
ACH-000178,-0.3490333248825713
ACH-000183,-0.3833364088478294
ACH-000188,-0.4799527830046598
ACH-000189,-0.3103960836842033
ACH-000190,-0.6931783334142443
ACH-000198,-0.471603072357699
ACH-000203,-0.4212994898937253
ACH-000204,-0.32862716169864525
ACH-000206,-0.3500061307304601
ACH-000207,-0.5116988816404402
ACH-000208,-0.668978578994137
ACH-000210,-0.3866709459660602
ACH-000211,-0.4696926731612372
ACH-000215,-0.5188743737162984
ACH-000221,-0.26390242395774793
ACH-000222,-0.30210811103822843
ACH-000223,-0.5585460610660172
ACH-000226,-0.4404750314660596
ACH-000227,-0.2856951866854205
ACH-000228,-0.2744918084355983
