,AQPEP (206338)
ACH-000004,-0.2320584556335706
ACH-000005,-0.06156901040911805
ACH-000007,0.18768700741331015
ACH-000009,0.02548279862107249
ACH-000011,-0.05151787370645743
ACH-000012,0.019963988480536668
ACH-000013,-0.06769300470569388
ACH-000014,-0.12529948743495095
ACH-000015,-0.18335891731000248
ACH-000017,-0.07144919655700997
ACH-000018,-0.16225518528680796
ACH-000019,0.06413963434505222
ACH-000021,-0.03036767897521604
ACH-000022,-0.0791271182942166
ACH-000025,-0.06966211659861468
ACH-000028,-0.04922929873294758
ACH-000030,0.018656664568231174
ACH-000035,-0.08636870612622873
ACH-000036,0.12693335159588975
ACH-000037,-0.04919824332185164
ACH-000039,-0.004723284747538265
ACH-000040,0.06516950759248126
ACH-000041,-0.009503182951374176
ACH-000042,-0.06900826488567681
ACH-000045,-0.037829630849078255
ACH-000047,-0.07033168687699305
ACH-000052,-0.281606642410736
ACH-000053,0.02065489341433172
ACH-000054,-0.12444012489494535
ACH-000055,0.06778948501474931
ACH-000060,0.004173274389998575
ACH-000067,-0.1352800159405827
ACH-000070,-0.02504563396271587
ACH-000075,-0.11352918734555174
ACH-000078,0.005604032116201768
ACH-000082,-0.12565012773630913
ACH-000085,-0.11459110157239227
ACH-000086,-0.010876854676008992
ACH-000087,0.04161689027681565
ACH-000092,0.02099483082738209
ACH-000095,-0.050083339740207934
ACH-000097,0.03761528448552517
ACH-000098,-0.03249491298273631
ACH-000099,0.1021011726163238
ACH-000108,0.03741516209067012
ACH-000113,-0.015302978396182118
ACH-000116,-0.01736121713810564
ACH-000118,-0.0481067541899661
ACH-000120,-0.18318313660152125
ACH-000123,0.05754798084122696
ACH-000127,-0.06533028456426998
ACH-000128,0.01241428413244424
ACH-000132,-0.04298487745065333
ACH-000133,-0.058175305447895675
ACH-000137,-0.23636754845111785
ACH-000138,-0.10761490075921436
ACH-000142,-0.01948924753489796
ACH-000143,-0.14319652496338411
ACH-000146,0.08557544358001735
ACH-000148,0.039284123681887294
ACH-000150,0.10332711792369936
ACH-000152,0.01797754406642521
ACH-000153,-0.0036420228969561742
ACH-000159,-0.0706424156775648
ACH-000160,-0.12678283541736585
ACH-000163,-0.008821844176140027
ACH-000167,0.5169445638200776
ACH-000168,0.06152041456574659
ACH-000169,0.04144610129915068
ACH-000178,-0.15771853378114842
ACH-000183,-0.039237243805629936
ACH-000188,-0.02864575279548958
ACH-000189,-0.21302120388239132
ACH-000190,-0.2775508369021977
ACH-000198,-0.16017009435058358
ACH-000203,-0.4720286061847872
ACH-000204,-0.2285784970923156
ACH-000206,0.15641640103223814
ACH-000207,0.04067508491374552
ACH-000208,-0.1560759240060947
ACH-000210,0.1600777114610044
ACH-000211,0.003865137229762272
ACH-000215,0.028178959202672712
ACH-000221,-0.09769883974939947
ACH-000222,-0.09876198680024632
ACH-000223,0.0094451505862067
ACH-000226,-0.1364027475258312
ACH-000227,0.07131817696997059
ACH-000228,0.01683376013896893
ACH-000231,0.02382672972227584
ACH-000232,-0.06891379346666307
ACH-000233,-0.07062890301414428
ACH-000234,0.12238579896818412
ACH-000235,-0.05602128238005173
ACH-000237,-0.053123713076138335
ACH-000238,-0.1278338674949888
ACH-000242,0.27721641704901634
ACH-000243,-0.07819156463801384
ACH-000244,0.2799702928275665
ACH-000246,0.06724788492778258
ACH-000248,-0.07421093007633668
ACH-000250,-0.01979619850082191
ACH-000251,-0.3703555926891259
ACH-000252,0.27330550743170445
ACH-000253,0.012861553735611498
ACH-000255,-0.07445865570202766
ACH-000256,-0.024402366533904287
ACH-000257,-0.2797078270167184
ACH-000258,0.10566545543343682
ACH-000259,0.011432183617905937
ACH-000260,0.0628145367607911
ACH-000261,-0.07684814728880437
ACH-000262,-0.013737647960667732
ACH-000263,0.1599931146362398
ACH-000264,0.00978933391859388
ACH-000265,0.024661414643853744
ACH-000266,-0.10091675093324773
ACH-000272,0.07208243682061607
ACH-000274,-0.04028851471352711
ACH-000277,-0.07284904384563935
ACH-000278,0.14939343076742426
ACH-000279,-0.10489287471424803
ACH-000280,-0.0300595258059967
ACH-000281,-0.07072910839069545
ACH-000288,-0.0005088827971444804
ACH-000291,0.03541206966974875
ACH-000293,0.04549532750090757
ACH-000294,-0.05114505641884884
ACH-000295,0.1782867771666907
ACH-000296,-0.06863487770805274
ACH-000302,-0.05120967377184178
